web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654880878-163","https://www.google.com/maps/place/The+Jewish+Museum+of+New+Jersey/@40.7570166,-74.3069605,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+nj!3m6!1s0x89c254626ddd2e37:0x3e5596ceb35aa1b7!8m2!3d40.7552814!4d-74.1699471!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkJjVmxQUTNGQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This museum features permanent & visiting exhibits on New Jersey's Jewish history plus a gift shop."
"1654880929-168","https://www.google.com/maps/place/Military+Park/@40.7570166,-74.3069605,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+newark+nj!3m5!1s0x89c25381b1a11177:0x58a388ae11bc9475!8m2!3d40.7391262!4d-74.1695195!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJoTWtscU5HaG5SUkFC","Military Park","4.4","militarypark.com","51 Park Pl, Newark, NJ 07102","null","null","https://lh5.googleusercontent.com/p/AF1QipPLPWaso5Mtu8PMZL5GIE7F1tYWJnA3T1QrCCgu=w426-h240-k-no","null"
"1654880939-169","https://www.google.com/maps/place/The+Newark+Museum+of+Art/@40.7570166,-74.3069605,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+nj!3m6!1s0x89c254800f03fbe5:0xc3102364a9100bc7!8m2!3d40.7425815!4d-74.1713888!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QYVhaaGExSkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Displays of American art, interior decor & more plus a planetarium & an interactive nature exhibit."
"1654880868-162","https://www.google.com/maps/place/Vonda's+Kitchen/@40.738058,-74.2017958,14z/data=!4m9!1m2!2m1!1sfood+in+newark+nj!3m5!1s0x89c2536e501c04df:0x903f46d2892c30b!8m2!3d40.7312388!4d-74.184974!15sChFmb29kIGluIG5ld2FyayBualoTIhFmb29kIGluIG5ld2FyayBuapIBFnNvdXRoZXJuX3VzX3Jlc3RhdXJhbnQ","Vonda's Kitchen","4.2","vondaskitchennj.com","183 W Kinney St, Newark, NJ 07103","null","null","https://lh5.googleusercontent.com/p/AF1QipMRc9uzjmgiTmTiOdKzg75iLtoqBxFPLED-akZG=w408-h544-k-no","null"
"1654880858-161","https://www.google.com/maps/place/Vonda's+Kitchen/@40.738058,-74.2017958,14z/data=!4m10!1m2!2m1!1sfood+in+newark+nj!3m6!1s0x89c2536e501c04df:0x903f46d2892c30b!8m2!3d40.7312388!4d-74.184974!10e1!15sChFmb29kIGluIG5ld2FyayBualoTIhFmb29kIGluIG5ld2FyayBuapIBFnNvdXRoZXJuX3VzX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Laid-back, neighborhood fixture with artful decor preparing Southern comfort food with a twist."
"1654880899-165","https://www.google.com/maps/place/Branch+Brook+Park/@40.7570166,-74.3069605,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+nj!3m6!1s0x89c25491d00b5073:0xcd870898964045ff!8m2!3d40.759629!4d-74.1810895!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YTA1NlVFeG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Scenic, 360-acre park featuring cherry trees, lakes & bridges plus bicycling & other activities."
"1654880888-164","https://www.google.com/maps/place/The+Jewish+Museum+of+New+Jersey/@40.7570166,-74.3069605,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+newark+nj!3m5!1s0x89c254626ddd2e37:0x3e5596ceb35aa1b7!8m2!3d40.7552814!4d-74.1699471!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkJjVmxQUTNGQlJSQUI","The Jewish Museum of New Jersey","4.5","jewishmuseumnj.org","145 Broadway, Newark, NJ 07104","null","null","https://lh5.googleusercontent.com/p/AF1QipOh4pH82K7rx2QA05Ip-J9rvAFSdbhz0Tjpb9l2=w408-h306-k-no","null"
"1654880909-166","https://www.google.com/maps/place/Branch+Brook+Park/@40.7570166,-74.3069605,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+newark+nj!3m5!1s0x89c25491d00b5073:0xcd870898964045ff!8m2!3d40.759629!4d-74.1810895!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YTA1NlVFeG5FQUU","Branch Brook Park","4.6","essexcountyparks.org","& Park Avenue, Lake St, Newark, NJ 07104","null","null","https://lh5.googleusercontent.com/p/AF1QipPpFc9e6Fk6sRcSZkp_PmZsgW6juvv7uIuDnDSe=w408-h306-k-no","null"
"1654880949-170","https://www.google.com/maps/place/The+Newark+Museum+of+Art/@40.7570166,-74.3069605,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+newark+nj!3m5!1s0x89c254800f03fbe5:0xc3102364a9100bc7!8m2!3d40.7425815!4d-74.1713888!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QYVhaaGExSkJFQUU","The Newark Museum of Art","4.6","newarkmuseumart.org","49 Washington St, Newark, NJ 07102","null","null","https://lh5.googleusercontent.com/p/AF1QipP-u173IP29JIQ2BbML7Y3AJMgqA7gdoi8996KV=w408-h306-k-no","null"
"1654880919-167","https://www.google.com/maps/place/Military+Park/@40.7570166,-74.3069605,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+newark+nj!3m6!1s0x89c25381b1a11177:0x58a388ae11bc9475!8m2!3d40.7391262!4d-74.1695195!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbmV3YXJrIG5qWhsiGXRoaW5ncyB0byBkbyBpbiBuZXdhcmsgbmqSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJoTWtscU5HaG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Triangular tree-lined green with a large war memorial, other statues & ample space for leisure."
