web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881146-177","https://www.google.com/maps/place/Rutgers+Geology+Museum/@40.4630225,-74.7413423,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m6!1s0x89c3c653fe141105:0x292cbcb6042731c!8m2!3d40.4986346!4d-74.4466665!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOek5XWlVVRWRCRUFF","null","null","null","null","Accessibility    Wheelchair accessible parking lot   Wheelchair accessible entrance   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Minerals, fossil collections, geologic specimens & a mummy in a historic museum built in 1872."
"1654881156-178","https://www.google.com/maps/place/Rutgers+Geology+Museum/@40.4630225,-74.7413423,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m5!1s0x89c3c653fe141105:0x292cbcb6042731c!8m2!3d40.4986346!4d-74.4466665!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOek5XWlVVRWRCRUFF","Rutgers Geology Museum","4.4","geologymuseum.rutgers.edu","85 Somerset St, New Brunswick, NJ 08901","null","null","https://lh5.googleusercontent.com/p/AF1QipM35thVbH61yko4_jWXZngW1JTLg_Qhzo_G9Z2P=w408-h544-k-no","null"
"1654881115-174","https://www.google.com/maps/place/Boyd+Park/@40.4630225,-74.7413423,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m5!1s0x89c3c645e402d891:0xfc841643bcaca8f8!8m2!3d40.489994!4d-74.4365143!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnJibDlsY1c1blJSQUI","Boyd Park","4.4","null","New Brunswick, NJ 08904","null","null","https://lh5.googleusercontent.com/p/AF1QipO2BIKBosDo5gsguinkhYgMIaZzc8rqX6fl4gK6=w408-h306-k-no","null"
"1654881166-179","https://www.google.com/maps/place/Zimmerli+Art+Museum,+Rutgers+University/@40.4630225,-74.7413423,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m6!1s0x89c3c6539a5cb6d9:0x5893b84788193c70!8m2!3d40.4997532!4d-74.4458397!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBCmFydF9tdXNldW2aASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUXlkR1pGZGhBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Museum at Rutgers University with 60,000 objects of ancient & modern art from around the world."
"1654881084-171","https://www.google.com/maps/place/Sahara+Restaurant/@40.5000666,-74.4891845,14z/data=!4m10!1m2!2m1!1sfood+in+new+brunswick+nj!3m6!1s0x89c3c6ff3e35125b:0xc9ebce3f3d21e043!8m2!3d40.5000309!4d-74.4541943!10e1!15sChhmb29kIGluIG5ldyBicnVuc3dpY2sgbmpaGiIYZm9vZCBpbiBuZXcgYnJ1bnN3aWNrIG5qkgEYbWVkaXRlcnJhbmVhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Chandeliered dining space dishes up Mediterranean cuisine within its mural-filled brick walls."
"1654881105-173","https://www.google.com/maps/place/Boyd+Park/@40.4630225,-74.7413423,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m6!1s0x89c3c645e402d891:0xfc841643bcaca8f8!8m2!3d40.489994!4d-74.4365143!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnJibDlsY1c1blJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Raritan riverfront park with skyline views, open green space, an amphitheater & a historic towpath."
"1654881095-172","https://www.google.com/maps/place/Sahara+Restaurant/@40.4895795,-74.4542291,14z/data=!4m9!1m2!2m1!1sfood+in+new+brunswick+nj!3m5!1s0x89c3c6ff3e35125b:0xc9ebce3f3d21e043!8m2!3d40.5000309!4d-74.4541943!15sChhmb29kIGluIG5ldyBicnVuc3dpY2sgbmpaGiIYZm9vZCBpbiBuZXcgYnJ1bnN3aWNrIG5qkgEYbWVkaXRlcnJhbmVhbl9yZXN0YXVyYW50","Sahara Restaurant","4.4","saharacafenj.com","165 Easton Ave, New Brunswick, NJ 08901","null","null","https://lh5.googleusercontent.com/p/AF1QipODbq2JVPjZRHrtgoHT-ELm6pIf84nItVDzRZyH=w408-h306-k-no","null"
"1654881176-180","https://www.google.com/maps/place/Zimmerli+Art+Museum,+Rutgers+University/@40.4630225,-74.7413423,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m5!1s0x89c3c6539a5cb6d9:0x5893b84788193c70!8m2!3d40.4997532!4d-74.4458397!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBCmFydF9tdXNldW2aASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUXlkR1pGZGhBQg","Zimmerli Art Museum, Rutgers University","4.7","zimmerli.rutgers.edu","71 Hamilton St, New Brunswick, NJ 08901","null","null","https://lh5.googleusercontent.com/p/AF1QipOW_pkq-SeJ-aXSxhbklmkL_-_zz4JLKjrEAkn0=w408-h272-k-no","null"
"1654881125-175","https://www.google.com/maps/place/Rutgers+Gardens/@40.4630225,-74.7413423,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m6!1s0x89c3c6115f240d2b:0xabd5f6861ac4469f!8m2!3d40.4734192!4d-74.4227371!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlhRmxVTFZsbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Serene, year-round destination featuring botanical gardens & a bamboo forest, plus areas for events."
"1654881135-176","https://www.google.com/maps/place/Rutgers+Gardens/@40.4630225,-74.7413423,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+brunswick+nj!3m5!1s0x89c3c6115f240d2b:0xabd5f6861ac4469f!8m2!3d40.4734192!4d-74.4227371!15sCiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBualoiIiB0aGluZ3MgdG8gZG8gaW4gbmV3IGJydW5zd2ljayBuapIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlhRmxVTFZsbkVBRQ","Rutgers Gardens","4.6","rutgersgardens.rutgers.edu","112 Log Cabin Rd, North Brunswick Township, NJ 08902","null","null","https://lh5.googleusercontent.com/p/AF1QipOKu2hceoyepEkMH5vb3Ft9hZiew-bsylIv3Vsl=w408-h306-k-no","null"
