web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654879992-1200","https://www.google.com/maps/place/Albuquerque+Museum/@35.0979995,-106.9458424,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m5!1s0x87220cd325a50223:0x35a3c35c800557ae!8m2!3d35.097595!4d-106.668247!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TkU5VE9WVm5FQUU","Albuquerque Museum","4.7","albuquerquemuseum.org","2000 Mountain Rd NW, Albuquerque, NM 87104","null","null","https://lh5.googleusercontent.com/p/AF1QipNdVoyVaAQXh5HIIvB39llw4F6_h3QXUKPUbaBt=w426-h240-k-no","null"
"1654879930-1194","https://www.google.com/maps/place/Frontier+Restaurant/@35.1219937,-106.6753012,12z/data=!4m6!1m2!2m1!1sfood+in+albuquerque!3m2!1s0x87220b6880d2f8c3:0x1e534374f8b1cf50!15sChNmb29kIGluIGFsYnVxdWVycXVlWhUiE2Zvb2QgaW4gYWxidXF1ZXJxdWWSARpzb3V0aHdlc3Rlcm5fdXNfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGQwNUhjRmwzRUFF","Frontier Restaurant","4.5","frontierrestaurant.com","2400 Central Ave SE, Albuquerque, NM 87106","null","null","https://lh5.googleusercontent.com/p/AF1QipN6OvCglTZZ3N1Ptgq8-N9wlN_OfJhFxZ4hvxEv=w408-h306-k-no","null"
"1654879950-1196","https://www.google.com/maps/place/Cliff's+Amusement+Park/@35.0979995,-106.9458424,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m5!1s0x872274fb70a8baaf:0xc4cfbb8511b54c1!8m2!3d35.1432318!4d-106.5881678!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgEOYW11c2VtZW50X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBjRXBmT1hWQlJSQUI","Cliff's Amusement Park","4.4","cliffsamusementpark.com","4800 Osuna Rd NE, Albuquerque, NM 87109","null","null","https://lh5.googleusercontent.com/p/AF1QipP7aOI1sGjC-JNY5naolK2r5JFTm1nhECXPDmwx=w426-h240-k-no","null"
"1654879961-1197","https://www.google.com/maps/place/Petroglyph+National+Monument/@35.0979995,-106.9458424,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m6!1s0x87226c5a118c04c9:0xafb5958da022b2f2!8m2!3d35.124381!4d-106.7525097!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgENbmF0aW9uYWxfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWJIVTNUMVZuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Archaeological site showcasing thousands of prehistoric Native American drawings on stone walls."
"1654879971-1198","https://www.google.com/maps/place/Petroglyph+National+Monument/@35.0979995,-106.9458424,11z/data=!3m1!5s0x87220cbe4b06d99d:0x69918efae1496ba8!4m6!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m2!1s0x87226c5a118c04c9:0xafb5958da022b2f2!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgENbmF0aW9uYWxfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWJIVTNUMVZuRUFF","Petroglyph National Monument","4.6","nps.gov","Western Trail NW, Albuquerque, NM 87120","null","null","https://lh5.googleusercontent.com/p/AF1QipNDlwayPYrdUS6-mmla2-GKxfl-mNOay220zfjB=w408-h306-k-no","null"
"1654879920-1193","https://www.google.com/maps/place/Frontier+Restaurant/@35.1219937,-106.6753012,12z/data=!4m10!1m2!2m1!1sfood+in+albuquerque!3m6!1s0x87220b6880d2f8c3:0x1e534374f8b1cf50!8m2!3d35.0808562!4d-106.619413!10e1!15sChNmb29kIGluIGFsYnVxdWVycXVlWhUiE2Zvb2QgaW4gYWxidXF1ZXJxdWWSARpzb3V0aHdlc3Rlcm5fdXNfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGQwNUhjRmwzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Down-to-earth counter-serve restaurant offering homestyle Southwestern fare since 1971."
"1654880012-1202","https://www.google.com/maps/place/New+Mexico+Museum+of+Natural+History+and+Science/@35.1289486,-106.7531895,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m5!1s0x87220cd2b519870f:0x780df887461461f6!8m2!3d35.0979995!4d-106.665691!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgEWbmF0dXJhbF9oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWJrNVFkVGxuUlJBQg","New Mexico Museum of Natural History and Science","4.7","nmnaturalhistory.org","1801 Mountain Rd NW, Albuquerque, NM 87104","null","null","https://lh5.googleusercontent.com/p/AF1QipOAGlKba5ne92kUCP4Q9CKsDW3vHubULOv_oJtE=w408-h306-k-no","null"
"1654879981-1199","https://www.google.com/maps/place/Albuquerque+Museum/@35.0979995,-106.9458424,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m6!1s0x87220cd325a50223:0x35a3c35c800557ae!8m2!3d35.097595!4d-106.668247!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15TkU5VE9WVm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Local history museum featuring maps, photos & crafts depicting the history of Albuquerque."
"1654879940-1195","https://www.google.com/maps/place/Cliff's+Amusement+Park/@35.0979995,-106.9458424,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m6!1s0x872274fb70a8baaf:0xc4cfbb8511b54c1!8m2!3d35.1432318!4d-106.5881678!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgEOYW11c2VtZW50X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBjRXBmT1hWQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant","null","Amusement park with seasonal hours featuring rides, roller coasters, games, a water park & more."
"1654880002-1201","https://www.google.com/maps/place/New+Mexico+Museum+of+Natural+History+and+Science/@35.0979995,-106.9458424,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+albuquerque+nm!3m6!1s0x87220cd2b519870f:0x780df887461461f6!8m2!3d35.0979995!4d-106.665691!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gYWxidXF1ZXJxdWUgbm1aICIedGhpbmdzIHRvIGRvIGluIGFsYnVxdWVycXVlIG5tkgEWbmF0dXJhbF9oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWJrNVFkVGxuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Expansive museum featuring stones & gems, dinosaur skeletons & a time travel simulation ride."
