web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654880385-1215","https://www.google.com/maps/place/Recycled+Roadrunner+Sculpture/@32.2603473,-107.3840718,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m6!1s0x86de15788c81adef:0xae1e1b8e9c934ef4!8m2!3d32.282291!4d-106.866343!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhPR1JxT1V4M0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This off-beat landmark was constructed using cast-off materials such as old sneakers & electronics."
"1654880437-1220","https://www.google.com/maps/place/Museum+of+Nature+%26+Science/@32.3681079,-106.9916591,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m5!1s0x86de3d5e702e888d:0x1ed40ccf81d1895f!8m2!3d32.312616!4d-106.7795971!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBNazE1ZWpOblJSQUI","Museum of Nature & Science","4.7","las-cruces.org","411 N Downtown Mall, Las Cruces, NM 88001","null","null","https://lh5.googleusercontent.com/p/AF1QipOplifMMd2_x20kMcrdTvAR5PwPlMDYeJk0SDXc=w493-h240-k-no","null"
"1654880457-1222","https://www.google.com/maps/place/New+Mexico+Farm+and+Ranch+Heritage+Museum/@32.3681079,-106.9916591,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m5!1s0x86de181c5d57653d:0xf50cfe6c1f2bf5c4!8m2!3d32.2999926!4d-106.7206138!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnphblJmVVMxUlJSQUI","New Mexico Farm and Ranch Heritage Museum","4.6","nmfarmandranchmuseum.org","4100 Dripping Springs Rd, Las Cruces, NM 88011","null","null","https://lh5.googleusercontent.com/p/AF1QipMldHy8ENsnfFFDCUtoIuiaa08fiphx64g6CvZf=w408-h306-k-no","null"
"1654880416-1218","https://www.google.com/maps/place/Mesilla+Valley+Bosque+State+Park/@32.3681079,-106.9916591,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m5!1s0x86de15d48324c321:0xda004cd5e94a1e76!8m2!3d32.2603473!4d-106.8237691!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SAQpzdGF0ZV9wYXJr","Mesilla Valley Bosque State Park","4.5","emnrd.state.nm.us","5000 Calle Del Norte, Las Cruces, NM 88005","null","null","https://lh5.googleusercontent.com/p/AF1QipNyLK3l5LUPnZlelUNATSTtOjfNwF5myt1U3RBl=w408-h306-k-no","null"
"1654880426-1219","https://www.google.com/maps/place/Museum+of+Nature+%26+Science/@32.3681079,-106.9916591,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m6!1s0x86de3d5e702e888d:0x1ed40ccf81d1895f!8m2!3d32.312616!4d-106.7795971!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBNazE1ZWpOblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Quaint museum with regionally focused natural history exhibits, including some on local wildlife."
"1654880365-1213","https://www.google.com/maps/place/Cracker+Barrel+Old+Country+Store/@32.2898052,-106.8581688,13z/data=!4m10!1m2!2m1!1sfood+in+la+cruces+nm!3m6!1s0x86de163b547c3141:0x5bf866f3642e239f!8m2!3d32.2898052!4d-106.788131!10e1!15sChRmb29kIGluIGxhIGNydWNlcyBubVoWIhRmb29kIGluIGxhIGNydWNlcyBubZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Homey chain restaurant serving American comfort food, with an on-site general store."
"1654880406-1217","https://www.google.com/maps/place/Mesilla+Valley+Bosque+State+Park/@32.2603473,-107.3840718,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m6!1s0x86de15d48324c321:0xda004cd5e94a1e76!8m2!3d32.2603473!4d-106.8237691!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SAQpzdGF0ZV9wYXJr","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Natural area along the Rio Grande with trails popular for hiking & birding, plus ranger-led tours."
"1654880395-1216","https://www.google.com/maps/place/Recycled+Roadrunner+Sculpture/@32.2603473,-107.3840718,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m2!1s0x86de15788c81adef:0xae1e1b8e9c934ef4!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhPR1JxT1V4M0VBRQ","Recycled Roadrunner Sculpture","4.7","null",".282291, -.866343, 32 AL-106, Las Cruces, NM 88005","null","null","https://lh5.googleusercontent.com/p/AF1QipNqIVzX58BZ20MK7fdeAYJvZGawkihXp0avoQMh=w412-h240-k-no","null"
"1654880375-1214","https://www.google.com/maps/place/Cracker+Barrel+Old+Country+Store/@32.3161448,-106.8034073,13z/data=!4m6!1m2!2m1!1sfood+in+la+cruces+nm!3m2!1s0x86de163b547c3141:0x5bf866f3642e239f!15sChRmb29kIGluIGxhIGNydWNlcyBubVoWIhRmb29kIGluIGxhIGNydWNlcyBubZIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Cracker Barrel Old Country Store","4.4","crackerbarrel.com","1490 Hickory Dr, Las Cruces, NM 88005","null","null","https://lh5.googleusercontent.com/p/AF1QipN95EfjqfbP-_Ng9as57SifGSns5gbUv4f6nNci=w426-h240-k-no","null"
"1654880447-1221","https://www.google.com/maps/place/New+Mexico+Farm+and+Ranch+Heritage+Museum/@32.3681079,-106.9916591,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+la+cruces+nm!3m6!1s0x86de181c5d57653d:0xf50cfe6c1f2bf5c4!8m2!3d32.2999926!4d-106.7206138!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbGEgY3J1Y2VzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsYSBjcnVjZXMgbm2SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnphblJmVVMxUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Interactive exhibits bringing to life the history of farming, ranching & rural life in New Mexico."
