web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654880688-153","https://www.google.com/maps/place/Gran+Quivira+Visitor+Center/@34.2595807,-106.6535531,10z/data=!4m11!1m3!2m2!1sthings+to+do+in+los+lunas+nm!6e1!3m6!1s0x871f0c4428ccfe03:0x3db4a4ebf382f616!8m2!3d34.2595807!4d-106.0932504!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SAQ1uYXRpb25hbF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyYVhKTWFGTjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Visitor center amid the historical Spanish missions at Salinas Pueblo Missions National Monument."
"1654880667-151","https://www.google.com/maps/place/Weck's/@34.7959442,-106.748994,14z/data=!4m10!1m2!2m1!1sfood+in+los+lunas+nm!3m6!1s0x872203160102c867:0x18fc4e8e929fe134!8m2!3d34.8092396!4d-106.6995718!10e1!15sChRmb29kIGluIGxvcyBsdW5hcyBubVoWIhRmb29kIGluIGxvcyBsdW5hcyBubZIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Local chain serving hearty American breakfast & lunch fare in a casual setting with a retro vibe."
"1654880749-159","https://www.google.com/maps/place/National+Museum+of+Nuclear+Science+%26+History/@35.1432329,-107.1484286,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+los+lunas+nm!3m6!1s0x8718a082f53dfcf5:0xa0f8d3217f67af45!8m2!3d35.0660411!4d-106.5336339!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNU1HUjFWa2gzRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Compact educational spot featuring exhibits chronicling the development of nuclear science."
"1654880739-158","https://www.google.com/maps/place/ABQ+BioPark/@35.1432329,-107.1484286,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+los+lunas+nm!3m5!1s0x87220cc2cc1c1055:0x52cc653371258502!8m2!3d35.0779794!4d-106.6630959!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhlRFptTUdwM1JSQUI","ABQ BioPark","4.5","cabq.gov","903 10th St SW, Albuquerque, NM 87102","null","null","https://lh5.googleusercontent.com/p/AF1QipO3oPywuELjUlRmxoobXMDtM2-8gPPypINHQvZV=w408-h326-k-no","null"
"1654880708-155","https://www.google.com/maps/place/Sandia+Peak+Tramway/@35.1432329,-107.1484286,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+los+lunas+nm!3m6!1s0x87189e8cfbdf7855:0xdee0b10202a6352b!8m2!3d35.1907104!4d-106.479402!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXliMlptV1U1M0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","2.7-mi. aerial tram ride, with Albuquerque & mountain views, to a peak with trails, skiing & dining."
"1654880759-160","https://www.google.com/maps/place/National+Museum+of+Nuclear+Science+%26+History/@35.1432329,-107.1484286,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+los+lunas+nm!3m5!1s0x8718a082f53dfcf5:0xa0f8d3217f67af45!8m2!3d35.0660411!4d-106.5336339!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNU1HUjFWa2gzRUFF","National Museum of Nuclear Science & History","4.8","nuclearmuseum.org","601 Eubank Blvd SE, Albuquerque, NM 87123","null","null","https://lh5.googleusercontent.com/p/AF1QipOlZaav8Q9t0lBFpQyYmu1t-Xb3fv-xj29vZ-It=w408-h276-k-no","null"
"1654880718-156","https://www.google.com/maps/place/Sandia+Peak+Tramway/@35.1432329,-107.1484286,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+los+lunas+nm!3m5!1s0x87189e8cfbdf7855:0xdee0b10202a6352b!8m2!3d35.1907104!4d-106.479402!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXliMlptV1U1M0VBRQ","Sandia Peak Tramway","4.7","sandiapeak.com","30 Tramway Rd NE, Albuquerque, NM 87122","null","null","https://lh5.googleusercontent.com/p/AF1QipMvM7UqFYzSrqJkP5mFIcd4Tu7ij3Q2UrYkR01F=w408-h272-k-no","null"
"1654880698-154","https://www.google.com/maps/place/Gran+Quivira+Visitor+Center/@34.2595807,-106.6535531,10z/data=!4m10!1m3!2m2!1sthings+to+do+in+los+lunas+nm!6e1!3m5!1s0x871f0c4428ccfe03:0x3db4a4ebf382f616!8m2!3d34.2595807!4d-106.0932504!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SAQ1uYXRpb25hbF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyYVhKTWFGTjNFQUU","Gran Quivira Visitor Center","4.8","nps.gov","105 South Ripley Avenue, Mountainair, NM 87036","null","null","https://lh5.googleusercontent.com/p/AF1QipMRPHijblzPt1i9P-4UpMkB0Pkd3b13SSnDTUCG=w426-h240-k-no","null"
"1654880728-157","https://www.google.com/maps/place/ABQ+BioPark/@35.1432329,-107.1484286,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+los+lunas+nm!3m6!1s0x87220cc2cc1c1055:0x52cc653371258502!8m2!3d35.0779794!4d-106.6630959!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbG9zIGx1bmFzIG5tWh4iHHRoaW5ncyB0byBkbyBpbiBsb3MgbHVuYXMgbm2SAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhlRFptTUdwM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Over 250 species of animal life in a natural environment, including polar bears, monkeys & koalas."
"1654880677-152","https://www.google.com/maps/place/Weck's/@34.7959442,-106.748994,14z/data=!4m9!1m2!2m1!1sfood+in+los+lunas+nm!3m5!1s0x872203160102c867:0x18fc4e8e929fe134!8m2!3d34.8092396!4d-106.6995718!15sChRmb29kIGluIGxvcyBsdW5hcyBubVoWIhRmb29kIGluIGxvcyBsdW5hcyBubZIBCnJlc3RhdXJhbnQ","Weck's","4.4","wecksinc.com","3463 Main St NE, Los Lunas, NM 87031","null","null","https://lh5.googleusercontent.com/p/AF1QipNwhNlCQZYtYuFDN--1QkgbiLntxOehk4s2FrQ=w493-h240-k-no","null"
