web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654880173-1203","https://www.google.com/maps/place/The+Pantry/@35.6605614,-106.0136227,13z/data=!4m10!1m2!2m1!1sfood+in+santa+fe+nm!3m6!1s0x87185a8066dce807:0xd2279f7b509d76ba!8m2!3d35.6648618!4d-105.9724172!10e1!15sChNmb29kIGluIHNhbnRhIGZlIG5tWhUiE2Zvb2QgaW4gc2FudGEgZmUgbm2SARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Stalwart bustling eatery serves up a variety of classic regional dishes in a comfortable atmosphere."
"1654880204-1206","https://www.google.com/maps/place/Georgia+O'Keeffe+Museum/@35.6320862,-106.1583806,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m5!1s0x87185040ada953dd:0x8148d7f8c1e98a79!8m2!3d35.6891463!4d-105.9412933!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MTjJSbWJEVm5SUkFC","Georgia O'Keeffe Museum","4.6","okeeffemuseum.org","217 Johnson St, Santa Fe, NM 87501","null","null","https://lh5.googleusercontent.com/p/AF1QipOXZin6CPeBJweUKG52sMiis5ltqn49YXnm3Vco=w408-h272-k-no","null"
"1654880245-1210","https://www.google.com/maps/place/Meow+Wolf+Santa+Fe/@35.6320862,-106.1583806,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m2!1s0x87185080edd4e191:0x8953006a6de51870!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oYUhabExYaFJSUkFC","Meow Wolf Santa Fe","4.7","tickets.meowwolf.com","1352 Rufina Cir, Santa Fe, NM 87507","null","null","https://lh5.googleusercontent.com/p/AF1QipNyjDgQgtcuCBSyuNd_Z_6GXUDt_Dds6nDgAEGn=w408-h544-k-no","null"
"1654880224-1208","https://www.google.com/maps/place/Museum+of+International+Folk+Art/@35.6320862,-106.1583806,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m5!1s0x871850fc2e1fd0eb:0x83ab3168051a4bf2!8m2!3d35.664126!4d-105.926582!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oZERkUFdWTkJFQUU","Museum of International Folk Art","4.7","moifa.org","On Museum Hill, 706 Camino Lejo, Santa Fe, NM 87505","null","null","https://lh5.googleusercontent.com/p/AF1QipOMs46gFlIsxSHZD600WLcv_7GluR60p4LPaCwo=w408-h306-k-no","null"
"1654880183-1204","https://www.google.com/maps/place/The+Pantry/@35.6605614,-106.0136227,13z/data=!4m6!1m2!2m1!1sfood+in+santa+fe+nm!3m2!1s0x87185a8066dce807:0xd2279f7b509d76ba!15sChNmb29kIGluIHNhbnRhIGZlIG5tWhUiE2Zvb2QgaW4gc2FudGEgZmUgbm2SARNhbWVyaWNhbl9yZXN0YXVyYW50","The Pantry","4.6","pantrysantafe.com","1820 Cerrillos Rd, Santa Fe, NM 87505","null","null","https://lh5.googleusercontent.com/p/AF1QipMgOq6NqGkHhz6LQvlO7kh4DSEEmLMIr4cMca66=w426-h240-k-no","null"
"1654880255-1211","https://www.google.com/maps/place/Santa+Fe+Plaza/@35.6320862,-106.1583806,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m6!1s0x87185046e335ce91:0x5b171d7e169f0cb!8m2!3d35.6874277!4d-105.9385121!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeE5uTkVZa0pSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Historic city plaza with benches, a bandstand & ethnic markets, plus festivals & community events."
"1654880266-1212","https://www.google.com/maps/place/Santa+Fe+Plaza/@35.6320862,-106.1583806,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m5!1s0x87185046e335ce91:0x5b171d7e169f0cb!8m2!3d35.6874277!4d-105.9385121!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeE5uTkVZa0pSRUFF","Santa Fe Plaza","4.7","santafenm.gov","63 Lincoln Ave, Santa Fe, NM 87501","null","null","https://lh5.googleusercontent.com/p/AF1QipNf12NhwHZMrPJ_ycMxal1aAZF2fC_BtooVkcor=w408-h306-k-no","null"
"1654880214-1207","https://www.google.com/maps/place/Museum+of+International+Folk+Art/@35.6320862,-106.1583806,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m6!1s0x871850fc2e1fd0eb:0x83ab3168051a4bf2!8m2!3d35.664126!4d-105.926582!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oZERkUFdWTkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","80,000-sq-ft homage to global folk art & culture, featuring art & artifacts from over 100 countries."
"1654880193-1205","https://www.google.com/maps/place/Georgia+O'Keeffe+Museum/@35.6320862,-106.1583806,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m6!1s0x87185040ada953dd:0x8148d7f8c1e98a79!8m2!3d35.6891463!4d-105.9412933!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MTjJSbWJEVm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Rotating exhibits of the work of Georgia O'Keeffe include paintings, sculptures & sketches."
"1654880235-1209","https://www.google.com/maps/place/Meow+Wolf+Santa+Fe/@35.6320862,-106.1583806,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+santa+fe+nm!3m6!1s0x87185080edd4e191:0x8953006a6de51870!8m2!3d35.6545961!4d-105.9968321!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2FudGEgZmUgbm1aHSIbdGhpbmdzIHRvIGRvIGluIHNhbnRhIGZlIG5tkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oYUhabExYaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids","null","Unique & immersive art installations with multimedia elements & a mysterious narrative throughout."
