web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881866-1291","https://www.google.com/maps/place/Nevada+State+Railroad+Museum/@39.1990424,-120.0693751,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m6!1s0x8099a01256661e9b:0xf8281c37a741649b!8m2!3d39.148596!4d-119.7683!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgELcmFpbF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlkM0pZY1ZOM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","This center for the preservation of Nevada's railroad history features many historic trains & cars."
"1654881845-1289","https://www.google.com/maps/place/Nevada+State+Museum/@39.1990424,-120.0693751,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m6!1s0x80990aa2f4568b09:0xf140ca834c2f399e!8m2!3d39.1678858!4d-119.7674165!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54T0hacFIwVlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum featuring exhibits on the history of Nevada, particularly the historic Carson City Mint."
"1654881814-1286","https://www.google.com/maps/place/Fuji+Park/@39.1990424,-120.0693751,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m5!1s0x8099a1d20770c7ef:0x57442513c9d4591a!8m2!3d39.1152707!4d-119.7773972!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSblh6UTJWRkIzRUFF","Fuji Park","4.4","null","601 Old Clear Crk Rd, Carson City, NV 89701","null","null","https://lh5.googleusercontent.com/p/AF1QipOet4WxLBRRCCJSmE7XelKUV5xC5jCsXf6ibWlH=w426-h240-k-no","null"
"1654881804-1285","https://www.google.com/maps/place/Fuji+Park/@39.1990424,-120.0693751,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m6!1s0x8099a1d20770c7ef:0x57442513c9d4591a!8m2!3d39.1152707!4d-119.7773972!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSblh6UTJWRkIzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Many events take place at this 14-acre site with a playground, picnic tables & heated restrooms."
"1654881876-1292","https://www.google.com/maps/place/Nevada+State+Railroad+Museum/@39.1990424,-120.0693751,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m5!1s0x8099a01256661e9b:0xf8281c37a741649b!8m2!3d39.148596!4d-119.7683!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgELcmFpbF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUXlkM0pZY1ZOM0VBRQ","Nevada State Railroad Museum","4.6","carsonrailroadmuseum.org","2180 S Carson St, Carson City, NV 89701","null","null","https://lh5.googleusercontent.com/p/AF1QipNEHjC1kwHKrNRmhLtZe0FmxDiQvieCoRII38Xb=w408-h271-k-no","null"
"1654881835-1288","https://www.google.com/maps/place/Children's+Museum+of+Northern+Nevada/@39.1990424,-120.0693751,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m5!1s0x80990aa297892cf7:0xd829192520199e51!8m2!3d39.168907!4d-119.7664449!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgEQY2hpbGRyZW5zX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWGJTMWlTMHRSRUFF","Children's Museum of Northern Nevada","4.3","cmnn.org","813 N Carson St, Carson City, NV 89701","null","null","https://lh5.googleusercontent.com/p/AF1QipNG5f5ZO5_g03AFvrihce8DJObDFP5elYPcSF_y=w408-h306-k-no","null"
"1654881856-1290","https://www.google.com/maps/place/Nevada+State+Museum/@39.1990424,-120.0693751,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m2!1s0x80990aa2f4568b09:0xf140ca834c2f399e!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54T0hacFIwVlJFQUU","Nevada State Museum","4.7","carsonnvmuseum.org","600 N Carson St, Carson City, NV 89701","null","null","https://lh5.googleusercontent.com/p/AF1QipP7u0ftfBhxWu1y0hC2ShtfNW81AHqHu9muumIR=w408-h306-k-no","null"
"1654881825-1287","https://www.google.com/maps/place/Children's+Museum+of+Northern+Nevada/@39.1990424,-120.0693751,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+carson+city+nv!3m6!1s0x80990aa297892cf7:0xd829192520199e51!8m2!3d39.168907!4d-119.7664449!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2Fyc29uIGNpdHkgbnZaICIedGhpbmdzIHRvIGRvIGluIGNhcnNvbiBjaXR5IG52kgEQY2hpbGRyZW5zX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWGJTMWlTMHRSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Long-standing, festive museum offering a variety of interactive exhibits for kids & special events."
"1654881783-1283","https://www.google.com/maps/place/Sassafras+Eclectic+Food+Joint/@39.1608583,-119.793787,13z/data=!4m10!1m2!2m1!1sfood+in+carson+city+nv!3m6!1s0x80990aa218a69a23:0x9cef72380a51a446!8m2!3d39.193575!4d-119.7523077!10e1!15sChZmb29kIGluIGNhcnNvbiBjaXR5IG52WhgiFmZvb2QgaW4gY2Fyc29uIGNpdHkgbnaSARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Funky venue featuring unique, globally inspired dishes, plus draft brews, cocktails & live music."
"1654881794-1284","https://www.google.com/maps/place/Sassafras+Eclectic+Food+Joint/@39.1608583,-119.793787,13z/data=!4m9!1m2!2m1!1sfood+in+carson+city+nv!3m5!1s0x80990aa218a69a23:0x9cef72380a51a446!8m2!3d39.193575!4d-119.7523077!15sChZmb29kIGluIGNhcnNvbiBjaXR5IG52WhgiFmZvb2QgaW4gY2Fyc29uIGNpdHkgbnaSARNhbWVyaWNhbl9yZXN0YXVyYW50","Sassafras Eclectic Food Joint","4.4","sassafrascarsoncity.com","1500 Old Hot Springs Rd, Carson City, NV 89706","null","null","https://lh5.googleusercontent.com/p/AF1QipP2jCAyxfR3JJd5iXkszCZHH0-c88T-M9QsgT7v=w426-h240-k-no","null"
