web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654882075-221","https://www.google.com/maps/place/The+Cheesecake+Factory/@36.1484642,-115.2979956,11z/data=!4m10!1m2!2m1!1sfood+in+henderson+nv!3m6!1s0x80c8d1dd46d7a241:0xf02b1d4d6a55847c!8m2!3d36.0218845!4d-115.0831571!10e1!15sChRmb29kIGluIGhlbmRlcnNvbiBudloWIhRmb29kIGluIGhlbmRlcnNvbiBudpIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","American chain restaurant offering sizable portions from a vast menu including signature cheesecake"
"1654882156-229","https://www.google.com/maps/place/Cowabunga+Bay+Water+Park/@36.1237249,-115.4497292,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+henderson+nv!3m6!1s0x80c8d0ea40d0747d:0x8fb513dea3bebd75!8m2!3d36.0721665!4d-115.0252184!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSAQp3YXRlcl9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJIYUdOUFFYTjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Sprawling seasonal water park with multiple slides, a wave pool & a kids' area, plus restaurants."
"1654882166-230","https://www.google.com/maps/place/Cowabunga+Bay+Water+Park/@36.1237249,-115.4497292,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+henderson+nv!3m5!1s0x80c8d0ea40d0747d:0x8fb513dea3bebd75!8m2!3d36.0721665!4d-115.0252184!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSAQp3YXRlcl9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJIYUdOUFFYTjNSUkFC","Cowabunga Bay Water Park","4.4","cowabungavegas.com","900 Galleria Dr, Henderson, NV 89011","null","null","https://lh5.googleusercontent.com/p/AF1QipN8iVVZCuot0wOVLDqmAEZl3SM81N3x-yGuY0UE=w599-h240-k-no","null"
"1654882095-223","https://www.google.com/maps/place/Lion+Habitat+Ranch+inc/@35.9701335,-115.4356203,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+henderson+nv!3m6!1s0x80c8cc3a29fafff5:0x9dc0265b5ce9dcea!8m2!3d35.9701335!4d-115.1554689!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhkMjl5Tm5aQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Several lions & a giraffe live at this sanctuary with optional guided tours & feeding experiences."
"1654882146-228","https://www.google.com/maps/place/Clark+County+Museum/@36.1237249,-115.4497292,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+henderson+nv!3m5!1s0x80c8d5b603bf8a25:0x3d9efca1930dcd5f!8m2!3d36.0100546!4d-114.9454087!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhkSEpxUjNoQlJSQUI","Clark County Museum","4.7","clarkcountynv.gov","1830 S Boulder Hwy, Henderson, NV 89002","null","null","https://lh5.googleusercontent.com/p/AF1QipMuCEz6SJTNpfNc-MC-XV-hsP-pIYZagB2T43YD=w408-h544-k-no","null"
"1654882105-224","https://www.google.com/maps/place/Lion+Habitat+Ranch+inc/@36.0101166,-115.225581,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+henderson+nv!3m5!1s0x80c8cc3a29fafff5:0x9dc0265b5ce9dcea!8m2!3d35.9701335!4d-115.1554689!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhkMjl5Tm5aQlJSQUI","Lion Habitat Ranch inc","4.6","lionhabitatranch.org","382 Bruner Ave, Henderson, NV 89044","null","null","https://lh5.googleusercontent.com/p/AF1QipNfgZFloG6v0ejhQNDH3VdCgGWl4cwbX-Yi55eC=w408-h327-k-no","null"
"1654882085-222","https://www.google.com/maps/place/The+Cheesecake+Factory/@36.1484642,-115.2979956,11z/data=!4m9!1m2!2m1!1sfood+in+henderson+nv!3m5!1s0x80c8d1dd46d7a241:0xf02b1d4d6a55847c!8m2!3d36.0218845!4d-115.0831571!15sChRmb29kIGluIGhlbmRlcnNvbiBudloWIhRmb29kIGluIGhlbmRlcnNvbiBudpIBCnJlc3RhdXJhbnQ","The Cheesecake Factory","4.4","thecheesecakefactory.com","160 S Green Valley Pkwy, Henderson, NV 89052","null","null","https://lh5.googleusercontent.com/p/AF1QipMBe1U4gS3PpVbDc4sWizguo2JIGdNqE3CCkYbT=w408-h306-k-no","null"
"1654882126-226","https://www.google.com/maps/place/Henderson+Bird+Viewing+Preserve/@36.0101166,-115.225581,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+henderson+nv!3m5!1s0x80c8d0cdaddad69d:0x4be31dd339f7f44f!8m2!3d36.0751801!4d-115.0022709!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSARJiaXJkX3dhdGNoaW5nX2FyZWGaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhRXh0YzJOQkVBRQ","Henderson Bird Viewing Preserve","4.8","cityofhenderson.com","350 E Galleria Dr, Henderson, NV 89011","null","null","https://lh5.googleusercontent.com/p/AF1QipPK6YHZH_z5plp5JlGTQ19rldd105G8NR6xSk-t=w408-h272-k-no","null"
"1654882115-225","https://www.google.com/maps/place/Henderson+Bird+Viewing+Preserve/@36.0101166,-115.225581,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+henderson+nv!3m6!1s0x80c8d0cdaddad69d:0x4be31dd339f7f44f!8m2!3d36.0751801!4d-115.0022709!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSARJiaXJkX3dhdGNoaW5nX2FyZWGaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhRXh0YzJOQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Part of a migratory flyway, this preserve with ponds & trails offers views of birds & wildlife."
"1654882136-227","https://www.google.com/maps/place/Clark+County+Museum/@36.0101166,-115.225581,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+henderson+nv!3m6!1s0x80c8d5b603bf8a25:0x3d9efca1930dcd5f!8m2!3d36.0100546!4d-114.9454087!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gaGVuZGVyc29uIG52Wh4iHHRoaW5ncyB0byBkbyBpbiBoZW5kZXJzb24gbnaSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhkSEpxUjNoQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Regional museum featuring historical buildings, mining artifacts & exhibit hall on a 30-acre site."
