web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881934-219","https://www.google.com/maps/place/Fremont+Street+Experience/@36.1394805,-115.4265223,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+las+vegas!3m6!1s0x80c8c39fe106ae7b:0x19ef4a53d2cc5034!8m2!3d36.1695567!4d-115.1417415!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzSPT93QJaGyIZdGhpbmdzIHRvIGRvIGluIGxhcyB2ZWdhc2IJCczmkK7VIzkJYgkJkgQw4Wum3C9iCQmKqatwZG22LGIJCdbtbuKor_4KkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5MZFU1NVoxQjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","null","null","Sprawling 24-hour mall featuring a huge LED canopy, casino & restaurant access, plus entertainment."
"1654881883-214","https://www.google.com/maps/place/Bellagio+Fountain/@36.1233333,-115.4490403,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+las+vegas!3m5!1s0x80c8c43aaa9a0bb3:0xe2474a6cdc71f0d6!8m2!3d36.1128901!4d-115.1740155!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzWhsiGXRoaW5ncyB0byBkbyBpbiBsYXMgdmVnYXOSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxYemwyVDNOUlJSQUI","Bellagio Fountain","4.8","bellagio.com","3600 S Las Vegas Blvd, Las Vegas, NV 89109","null","null","https://lh5.googleusercontent.com/p/AF1QipNvJYDK6BIXup5Oep3CiorE29dbqSFYjQGq_c85=w408-h306-k-no","null"
"1654881852-211","https://www.google.com/maps/place/Peppermill+Restaurant+and+Fireside+Lounge/@36.1482047,-115.1924996,13z/data=!4m10!1m2!2m1!1sfood+in+las+veegas!3m6!1s0x80c8c46d101964a3:0x16f5b670e1907cb8!8m2!3d36.1337625!4d-115.1631306!10e1!15sChJmb29kIGluIGxhcyB2ZWVnYXNaFCISZm9vZCBpbiBsYXMgdmVlZ2FzkgETYW1lcmljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGFVdDJkbTkzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Neon-lit lounge with romantic booths, fruity cocktails, elegant servers & flaming reflection pool."
"1654881913-217","https://www.google.com/maps/place/Red+Rock+Canyon+National+Conservation+Area/@36.1944273,-115.7184481,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+las+vegas!3m6!1s0x80c8bd0795a08535:0x74ced81d2afcb24c!8m2!3d36.1944273!4d-115.4382967!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzWhsiGXRoaW5ncyB0byBkbyBpbiBsYXMgdmVnYXOSARBuYXRpb25hbF9yZXNlcnZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZFVsaFpGVjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Natural wonder with red rocks draws those looking to hike, rock climb or go for a scenic drive."
"1654881872-213","https://www.google.com/maps/place/Bellagio+Fountain/@36.1233333,-115.4490403,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+las+vegas!3m6!1s0x80c8c43aaa9a0bb3:0xe2474a6cdc71f0d6!8m2!3d36.1128901!4d-115.1740155!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzWhsiGXRoaW5ncyB0byBkbyBpbiBsYXMgdmVnYXOSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxYemwyVDNOUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Soaring, iconic fountains featuring dramatic aquatic shows choreographed with music & lights."
"1654881893-215","https://www.google.com/maps/place/Gondola+Rides+at+the+Venetian/@36.1233333,-115.4490403,11z/data=!3m1!5s0x80c8c43e5fe7780d:0xf87b9091b549198b!4m10!1m2!2m1!1sthings+to+do+in+las+vegas!3m6!1s0x80c8c43e5d97c919:0x3c6c9f60e39e820e!8m2!3d36.1233333!4d-115.1688889!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzWhsiGXRoaW5ncyB0byBkbyBpbiBsYXMgdmVnYXOSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhiMlZNVkd0UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Venetian Resort attraction offering indoor & outdoor boat rides on traditional gondolas."
"1654881862-212","https://www.google.com/maps/place/Peppermill+Restaurant+and+Fireside+Lounge/@36.1482047,-115.1924996,13z/data=!4m9!1m2!2m1!1sfood+in+las+veegas!3m5!1s0x80c8c46d101964a3:0x16f5b670e1907cb8!8m2!3d36.1337625!4d-115.1631306!15sChJmb29kIGluIGxhcyB2ZWVnYXNaFCISZm9vZCBpbiBsYXMgdmVlZ2FzkgETYW1lcmljYW5fcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGFVdDJkbTkzUlJBQg","Peppermill Restaurant and Fireside Lounge","4.5","peppermilllasvegas.com","2985 Las Vegas Blvd S, Las Vegas, NV 89109","null","null","https://lh5.googleusercontent.com/p/AF1QipPzIrH_q2wBpknrVPdD3m9Gu5tg12oBq8zvsg9-=w408-h271-k-no","null"
"1654881923-218","https://www.google.com/maps/place/Red+Rock+Canyon+National+Conservation+Area/@36.1394805,-115.4265223,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+las+vegas!3m2!1s0x80c8bd0795a08535:0x74ced81d2afcb24c!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzWhsiGXRoaW5ncyB0byBkbyBpbiBsYXMgdmVnYXOSARBuYXRpb25hbF9yZXNlcnZlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZFVsaFpGVjNFQUU","Red Rock Canyon National Conservation Area","4.8","blm.gov","1000 Scenic Loop Dr, Las Vegas, NV 89161","null","null","https://lh5.googleusercontent.com/p/AF1QipPH6MAvA28twTBaVhKSj2_49WSUkxUcT2BDy0s3=w408-h306-k-no","null"
"1654881944-220","https://www.google.com/maps/place/Fremont+Street+Experience/@36.1394805,-115.4265223,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+las+vegas!3m5!1s0x80c8c39fe106ae7b:0x19ef4a53d2cc5034!8m2!3d36.1695567!4d-115.1417415!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzSPT93QJaGyIZdGhpbmdzIHRvIGRvIGluIGxhcyB2ZWdhc2IJCczmkK7VIzkJYgkJkgQw4Wum3C9iCQmKqatwZG22LGIJCdbtbuKor_4KkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5MZFU1NVoxQjNFQUU","Fremont Street Experience","4.6","vegasexperience.com","425 E Fremont St, Las Vegas, NV 89101","null","null","https://lh5.googleusercontent.com/p/AF1QipMx5dr33UuwneFcIzFDfR2HoQlkfd_cs7XOzXCy=w408-h272-k-no","null"
"1654881903-216","https://www.google.com/maps/place/Gondola+Rides+at+the+Venetian/@36.1944273,-115.7184481,11z/data=!3m1!5s0x80c8c43e5fe7780d:0xf87b9091b549198b!4m9!1m2!2m1!1sthings+to+do+in+las+vegas!3m5!1s0x80c8c43e5d97c919:0x3c6c9f60e39e820e!8m2!3d36.1233333!4d-115.1688889!15sChl0aGluZ3MgdG8gZG8gaW4gbGFzIHZlZ2FzWhsiGXRoaW5ncyB0byBkbyBpbiBsYXMgdmVnYXOSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhiMlZNVkd0UlJSQUI","Gondola Rides at the Venetian","4.4","venetian.com","3355 S Las Vegas Blvd, Las Vegas, NV 89109","null","null","https://lh5.googleusercontent.com/p/AF1QipOaoGfmnZuLE_DnfCJfm-aV1LA6KlcQvE65D7QE=w408-h306-k-no","null"
