web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654882080-1301","https://www.google.com/maps/place/Virgin+Valley+Heritage+Museum/@36.610404,-114.8533347,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m6!1s0x80ca2b465a5e61a7:0xf42730e1b06d1925!8m2!3d36.8041385!4d-114.0687239!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUnZhRkJSYmhBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Cozy, local history museum offering pioneer artifacts & rotating exhibits, plus photos & activities."
"1654882019-1295","https://www.google.com/maps/place/Valley+of+Fire+State+Park/@36.5073322,-115.655846,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m6!1s0x80c96b2bca0cabf5:0x4c5d735aaf7cb075!8m2!3d36.5073322!4d-114.5352405!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTE1GcHVSVnAzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Petrified wood & red sandstone are 2 of the natural features found at this hiking & camping spot."
"1654882049-1298","https://www.google.com/maps/place/Gold+Butte+National+Monument/@36.610404,-114.8533347,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m2!1s0x80c95f471be5f48d:0x6ec4bdbc001baeb9!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgENbmF0aW9uYWxfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOdmFsOWxORVpCRUFF","Gold Butte National Monument","4.6","blm.gov","4701 N. Torrey Pines Drive, Las Vegas, NV  89130","null","null","https://lh5.googleusercontent.com/p/AF1QipOxbPq_WN2imKtOazXbWTiwVh9JmDxDFButwgsn=w426-h240-k-no","null"
"1654881998-1293","https://www.google.com/maps/place/D+Thai+Bistro+Mesquite/@36.7998862,-114.1189149,14z/data=!4m10!1m2!2m1!1sfood+in+mesquite+nv!3m6!1s0x80ca2ae60ce3d441:0x274769a4dacc64d4!8m2!3d36.8087154!4d-114.1069741!10e1!15sChNmb29kIGluIG1lc3F1aXRlIG52WhUiE2Zvb2QgaW4gbWVzcXVpdGUgbnaSAQ90aGFpX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Classic Thai cuisine prepared in an unassuming dining room decorated with colorful art."
"1654882091-1302","https://www.google.com/maps/place/Virgin+Valley+Heritage+Museum/@36.610404,-114.8533347,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m5!1s0x80ca2b465a5e61a7:0xf42730e1b06d1925!8m2!3d36.8041385!4d-114.0687239!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgEXaGlzdG9yaWNhbF9wbGFjZV9tdXNldW2aASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUnZhRkJSYmhBQg","Virgin Valley Heritage Museum","4.6","mesquitenv.gov","35 W Mesquite Blvd, Mesquite, NV 89027","null","null","https://lh5.googleusercontent.com/p/AF1QipO2_UlBOFCi0JDeUzc2eA3m1P-AL0eV1DyfgBrf=w408-h306-k-no","null"
"1654882029-1296","https://www.google.com/maps/place/Valley+of+Fire+State+Park/@36.610404,-114.8533347,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m2!1s0x80c96b2bca0cabf5:0x4c5d735aaf7cb075!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgEKc3RhdGVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTE1GcHVSVnAzRUFF","Valley of Fire State Park","4.8","parks.nv.gov","29450 Valley of Fire Hwy, Overton, NV 89040","null","null","https://lh5.googleusercontent.com/p/AF1QipPW8k82vLB8a4tVPvHdk8ZXdzwdBVt9JxJld1pP=w408-h271-k-no","null"
"1654882039-1297","https://www.google.com/maps/place/Gold+Butte+National+Monument/@36.610404,-114.8533347,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m6!1s0x80c95f471be5f48d:0x6ec4bdbc001baeb9!8m2!3d36.3778334!4d-114.1651794!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgENbmF0aW9uYWxfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOdmFsOWxORVpCRUFF","null","null","null","null","null","Amenities    Good for kids","null","Remote desert area with hikes to rock art sites, bighorn sheep hunting & a mining ghost town."
"1654882008-1294","https://www.google.com/maps/place/D+Thai+Bistro+Mesquite/@36.7998862,-114.1189149,14z/data=!4m6!1m2!2m1!1sfood+in+mesquite+nv!3m2!1s0x80ca2ae60ce3d441:0x274769a4dacc64d4!15sChNmb29kIGluIG1lc3F1aXRlIG52WhUiE2Zvb2QgaW4gbWVzcXVpdGUgbnaSAQ90aGFpX3Jlc3RhdXJhbnQ","D Thai Bistro Mesquite","4.6","dthaibistromesquitenv.com","1085 W Pioneer Blvd, Mesquite, NV 89027","null","null","https://lh5.googleusercontent.com/p/AF1QipNkI2AJXoSSNY8ufBAkqbmCBjmkg7esAOqgmjjq=w408-h306-k-no","null"
"1654882060-1299","https://www.google.com/maps/place/Mesquite+Gaming/@36.610404,-114.8533347,9z/data=!3m1!5s0x80ca2ade93a5ae71:0xa9407973767d480b!4m10!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m6!1s0x80ca2adfa3b6ba45:0xfafd3b673e3b1fc8!8m2!3d36.8022995!4d-114.1007655!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgEGY2FzaW5vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5IZW1OUUxVNW5FQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","null","null","Entertainment venue with a casino, spa & steakhouse, plus a bowling alley & 2 golf courses."
"1654882070-1300","https://www.google.com/maps/place/Mesquite+Gaming/@36.610404,-114.8533347,9z/data=!3m1!5s0x80ca2ade93a5ae71:0xa9407973767d480b!4m9!1m2!2m1!1sthings+to+do+in+mesquite+nv!3m5!1s0x80ca2adfa3b6ba45:0xfafd3b673e3b1fc8!8m2!3d36.8022995!4d-114.1007655!15sCht0aGluZ3MgdG8gZG8gaW4gbWVzcXVpdGUgbnZaHSIbdGhpbmdzIHRvIGRvIGluIG1lc3F1aXRlIG52kgEGY2FzaW5vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5IZW1OUUxVNW5FQUU","Mesquite Gaming","4.1","mesquitegaming.com","950 W Mesquite Blvd, Mesquite, NV 89027","null","null","//lh6.googleusercontent.com/proxy/9236ws8PM03x_iDFPt-2AxHTnwu1LcAtZJc-ro5_5JS7Y3S43nMyFIcgZwXsB72AkhS1LJxJPaNmIg7EwRI8hEabuXZrqtdDmbUTg7bY-S_FlS7L-v2Tt4DnxFK86R3uL_BxnkhM2-3WujY2Jz8yJKCWCBVSGQ=w408-h272-k-no","null"
