web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654881708-205","https://www.google.com/maps/place/Wilbur+D.+May+Center/@39.4929086,-120.4083213,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+reno+nevada!3m6!1s0x80994717b7c9467f:0x5a76ff938d68205!8m2!3d39.5460619!4d-119.8254368!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0YWw5WU1uWjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Year-round destination with a museum full of exotic artifacts plus an arboretum & botanical gardens."
"1654881759-210","https://www.google.com/maps/place/The+Discovery+-+Terry+Lee+Wells+Nevada+Discovery+Museum/@39.4929086,-120.4083213,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+reno+nevada!3m5!1s0x809940b6f51399ef:0x25a40c9f03cc1ecf!8m2!3d39.5217514!4d-119.8094206!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljM0V6VFhOUlJSQUI","The Discovery - Terry Lee Wells Nevada Discovery Museum","4.7","nvdm.org","490 S Center St, Reno, NV 89501","null","null","https://lh5.googleusercontent.com/p/AF1QipPLHvsnFkcCf9_dHiChghYwWadGmWwwphOHj6QR=w426-h240-k-no","null"
"1654881688-203","https://www.google.com/maps/place/Fleischmann+Planetarium/@39.6279604,-120.7096912,8.2z/data=!4m10!1m2!2m1!1sthings+to+do+in+reno+nevada!3m6!1s0x80994716f8adcd1d:0x1d8b8cd413f7d327!8m2!3d39.5458234!4d-119.8195681!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgELcGxhbmV0YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhhbGxUYW5GM1JSQUI","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   Restroom   Restaurant","null","Observatory featuring a 1-ton meteorite, science exhibits & a SkyDome large-format movie system."
"1654881749-209","https://www.google.com/maps/place/The+Discovery+-+Terry+Lee+Wells+Nevada+Discovery+Museum/@39.4929086,-120.4083213,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+reno+nevada!3m6!1s0x809940b6f51399ef:0x25a40c9f03cc1ecf!8m2!3d39.5217514!4d-119.8094206!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljM0V6VFhOUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom","null","Science & technology museum presenting interactive exhibits & temporary exhibitions."
"1654881729-207","https://www.google.com/maps/place/National+Automobile+Museum/@39.4929086,-120.4083213,9z/data=!4m10!1m2!2m1!1sthings+to+do+in+reno+nevada!3m6!1s0x809940b4fbc92c91:0x19784d082b14bec4!8m2!3d39.5262614!4d-119.8079016!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgEPbmF0aW9uYWxfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yTW5WWFJYaFJSUkFC","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Themed displays with over 220 antique & vintage cars as well as educational & historical exhibits."
"1654881698-204","https://www.google.com/maps/place/Fleischmann+Planetarium/@39.4929086,-120.4083213,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+reno+nevada!3m5!1s0x80994716f8adcd1d:0x1d8b8cd413f7d327!8m2!3d39.5458234!4d-119.8195681!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgELcGxhbmV0YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhhbGxUYW5GM1JSQUI","Fleischmann Planetarium","4.4","unr.edu","1664 N Virginia St, Reno, NV 89557","null","null","https://lh5.googleusercontent.com/p/AF1QipNupPnIUgaEv22wKB5JkJovRlxDfqoakw_yw3nV=w408-h408-k-no","null"
"1654881668-201","https://www.google.com/maps/place/Black+Bear+Diner+Reno/@39.5021453,-119.9418962,12z/data=!4m10!1m2!2m1!1sfood+in+reno+nevada!3m6!1s0x8099409017a93187:0xbce4b8e6f96190e!8m2!3d39.5021453!4d-119.8018205!10e1!15sChNmb29kIGluIHJlbm8gbmV2YWRhWhUiE2Zvb2QgaW4gcmVubyBuZXZhZGGSARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Easygoing chain serving familiar all-day comfort food & desserts in a woodsy setting."
"1654881739-208","https://www.google.com/maps/place/National+Automobile+Museum/@39.4929086,-120.4083213,9z/data=!4m9!1m2!2m1!1sthings+to+do+in+reno+nevada!3m5!1s0x809940b4fbc92c91:0x19784d082b14bec4!8m2!3d39.5262614!4d-119.8079016!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgEPbmF0aW9uYWxfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yTW5WWFJYaFJSUkFC","National Automobile Museum","4.8","automuseum.org","1 Museum Dr, Reno, NV 89501","null","null","https://lh5.googleusercontent.com/p/AF1QipNFXQxm2Bmj0dskOrrnao0Dg2EDoblVzvdFhJjZ=w426-h240-k-no","null"
"1654881719-206","https://www.google.com/maps/place/Wilbur+D.+May+Center/@39.4929086,-120.4083213,9z/data=!4m6!1m2!2m1!1sthings+to+do+in+reno+nevada!3m2!1s0x80994717b7c9467f:0x5a76ff938d68205!15sCht0aGluZ3MgdG8gZG8gaW4gcmVubyBuZXZhZGFaHSIbdGhpbmdzIHRvIGRvIGluIHJlbm8gbmV2YWRhkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0YWw5WU1uWjNSUkFC","Wilbur D. May Center","4.7","maycenter.com","1595 N Sierra St, Reno, NV 89503","null","null","https://lh5.googleusercontent.com/p/AF1QipOTZDHHIzRVsclBa4urMkzZXJhnKUs5zeaCW9xz=w408-h294-k-no","null"
"1654881678-202","https://www.google.com/maps/place/Black+Bear+Diner+Reno/@39.476069,-119.8468099,12z/data=!4m9!1m2!2m1!1sfood+in+reno+nevada!3m5!1s0x8099409017a93187:0xbce4b8e6f96190e!8m2!3d39.5021453!4d-119.8018205!15sChNmb29kIGluIHJlbm8gbmV2YWRhWhUiE2Zvb2QgaW4gcmVubyBuZXZhZGGSARNhbWVyaWNhbl9yZXN0YXVyYW50","Black Bear Diner Reno","4.3","blackbeardiner.com","2323 S Virginia St, Reno, NV 89502","null","null","https://lh5.googleusercontent.com/p/AF1QipNMG71zENx3hGlwQzNhhBKEh8ug_QxghVqhe-kZ=w408-h306-k-no","null"
