web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654879448-88","https://www.google.com/maps/place/Irish+American+Heritage+Museum/@42.7522486,-74.1902652,10.47z/data=!4m9!1m2!2m1!1sthings+to+do+in+albany+ny!3m5!1s0x89de0a20fd75fdd3:0x8295d4b04ea5f36!8m2!3d42.6542839!4d-73.74825!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUk5OemxoU25aM1JSQUI","Irish American Heritage Museum","4.6","irish-us.org","21 Quackenbush Square, Albany, NY 12207","null","null","https://lh5.googleusercontent.com/p/AF1QipNiFiFOwi6jxlqCkVzAAz3Zln6yBz53C0DHvQ83=w408-h306-k-no","null"
"1654879570-100","https://www.google.com/maps/place/New+York+State+Museum/@42.671025,-73.9278722,11z/data=!3m1!5s0x89de0a3ce0257abf:0x4f8bd2c1fd45e1d5!4m9!1m2!2m1!1sthings+to+do+in+albany+ny!3m5!1s0x89de0a3caa20a675:0xb8c16874ae7576bc!8m2!3d42.6485806!4d-73.7611611!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXllbHBwWjJKbkVBRQ","New York State Museum","4.7","nysm.nysed.gov","222 Madison Ave, Albany, NY 12230","null","null","//lh5.googleusercontent.com/proxy/gDLgqPzqktEr3NF8P3A4OFuCGyovL974avgPUzoujIgLtqbwYcoztPukVNNLxkUXJ7OE9SUXIzy6J5jP-DIfq21RmbjIJcgHY128ykUb7a0_PC_daviP0qMP0Knt4e-CV4Pf-VnQCO4H0xKrJJxAQdtA1d5rlQk=w408-h321-k-no","null"
"1654879549-98","https://www.google.com/maps/place/Albany+Institute+of+History+%26+Art/@42.671025,-73.9278722,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+albany+ny!3m5!1s0x89de0a30058d5757:0xaf196b57b0b8eaad!8m2!3d42.655794!4d-73.760304!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWRtTjJPRWxCRUFF","Albany Institute of History & Art","4.6","albanyinstitute.org","125 Washington Ave, Albany, NY 12210","null","null","https://lh5.googleusercontent.com/p/AF1QipOr2x6bx9QswWWxGGrD80XP_k7u0L0CRrxkb8pL=w408-h306-k-no","null"
"1654879478-91","https://www.google.com/maps/place/Schuyler+Mansion+State+Historic+Site/@42.7522486,-74.1902652,10.47z/data=!4m10!1m2!2m1!1sthings+to+do+in+albany+ny!3m6!1s0x89de0a175be362f1:0xdb189267dd50d2f9!8m2!3d42.641474!4d-73.759383!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeE1UUkVjSGwzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restroom","null","Circa-1762 mansion & Revolutionary War outpost once visited by George Washington now offers tours."
"1654879427-86","https://www.google.com/maps/place/Washington+Park/@42.7522486,-74.1902652,10.47z/data=!4m9!1m2!2m1!1sthings+to+do+in+albany+ny!3m5!1s0x89de0a37fb28709d:0xdf2d1d8ef3ead42!8m2!3d42.6574309!4d-73.770777!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5T1VsZlRWTjNFQUU","Washington Park","4.6","washingtonparkconservancy.org","35 Willett St, Albany, NY 12210","null","null","https://lh5.googleusercontent.com/p/AF1QipPgw3a284WLRxR4jGVPLlWwL8b514TsaEx6UcPX=w408-h306-k-no","null"
"1654879488-92","https://www.google.com/maps/place/Schuyler+Mansion+State+Historic+Site/@42.7193564,-74.1445659,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+albany+ny!3m5!1s0x89de0a175be362f1:0xdb189267dd50d2f9!8m2!3d42.641474!4d-73.759383!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSARdoaXN0b3JpY2FsX3BsYWNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeE1UUkVjSGwzUlJBQg","Schuyler Mansion State Historic Site","4.6","parks.ny.gov","32 Catherine St, Albany, NY 12202","null","null","https://lh5.googleusercontent.com/p/AF1QipPfaWHStnwvDBh32SpCFnjAsDxa3XV4lq-6e2IN=w408-h306-k-no","null"
"1654879386-82","https://www.google.com/maps/place/Kismet+Mediterranean+Grill/@42.6608656,-73.8191138,13z/data=!4m9!1m2!2m1!1sfood+in+albany+ny!3m5!1s0x89de0a55b45d1b7f:0x6e8eeaeabd1c3304!8m2!3d42.666197!4d-73.792071!15sChFmb29kIGluIGFsYmFueSBueVoTIhFmb29kIGluIGFsYmFueSBueZIBGG1lZGl0ZXJyYW5lYW5fcmVzdGF1cmFudA","Kismet Mediterranean Grill","4.6","kismetgrill.com","1116 Madison Ave, Albany, NY 12208","null","null","https://lh5.googleusercontent.com/p/AF1QipOqTWhsYRuzaUl_LLgoHxR2oWm61u9dEW2TbXV2=w408-h544-k-no","null"
"1654879539-97","https://www.google.com/maps/place/Albany+Institute+of+History+%26+Art/@42.671025,-73.9278722,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+albany+ny!3m6!1s0x89de0a30058d5757:0xaf196b57b0b8eaad!8m2!3d42.655794!4d-73.760304!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWRtTjJPRWxCRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Venerable museum exploring local history & culture via paintings, furnishings & historical objects."
"1654879509-94","https://www.google.com/maps/place/USS+SLATER/@42.7193564,-74.1445659,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+albany+ny!3m5!1s0x89de0a1efe890b25:0x574a4e08e27944e!8m2!3d42.6424886!4d-73.7497636!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnBjbEF6WHpkM1JSQUI","USS SLATER","4.9","ussslater.org","141 Broadway, Albany, NY 12202","null","null","https://lh5.googleusercontent.com/p/AF1QipOwfBBC0-xsy0b_xybD7Ae5d-nDu67nyZsiZPvL=w408-h276-k-no","null"
"1654879519-95","https://www.google.com/maps/place/Albany+Pine+Bush+Preserve/@42.7193564,-74.1445659,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+albany+ny!3m6!1s0x89de74ae0451a73f:0x10e3ed25d957150a!8m2!3d42.7193564!4d-73.8644145!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYWxiYW55IG55WhsiGXRoaW5ncyB0byBkbyBpbiBhbGJhbnkgbnmSAQ9uYXR1cmVfcHJlc2VydmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkJYelpRUjFGUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Pristine pine barrens with trails, wildlife viewing & interactive nature exhibits & programs."
