web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654879599-1173","https://www.google.com/maps/place/Toutant/@42.8926039,-79.0141939,12z/data=!4m10!1m2!2m1!1sfood+in+buffalo+ny!3m6!1s0x89d31245a7c8b73d:0x3f85cf9959a48ea4!8m2!3d42.8902956!4d-78.8703617!10e1!15sChJmb29kIGluIGJ1ZmZhbG8gbnlaFCISZm9vZCBpbiBidWZmYWxvIG55kgEWc291dGhlcm5fdXNfcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Gender-neutral restroom   High chairs   Restroom","null","Contemporary Southern eats & cocktails are offered at this cozy spot with industrial-chic decor."
"1654879764-1189","https://www.google.com/maps/place/Buffalo+and+Erie+County+Botanical+Gardens/@42.8827699,-78.9879987,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+buffalo+new+york!3m6!1s0x89d30e2f0ed813f9:0x292c86b54ab3cb05!8m2!3d42.8280843!4d-78.8257223!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya0jlke0CWiIiIHRoaW5ncyB0byBkbyBpbiBidWZmYWxvIG5ldyB5b3JrYgkJlM9SV2_cA0iSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oT0ZveWJGTlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Indoor & outdoor gardens including a 67-ft. dome housing tropical palms, plus flower & light shows."
"1654879733-1186","https://www.google.com/maps/place/Theodore+Roosevelt+Inaugural+National+Historic+Site/@42.8827699,-78.9879987,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+buffalo+new+york!3m5!1s0x89d31257f4df1d61:0xec31e15ab119577c!8m2!3d42.9014678!4d-78.8724841!15sCiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya1oiIiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya5IBDWhpc3RvcmljX3NpdGWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhYemhtV1V4QkVBRQ","Theodore Roosevelt Inaugural National Historic Site","4.6","trsite.org","641 Delaware Ave, Buffalo, NY 14202","null","null","https://lh5.googleusercontent.com/p/AF1QipMnz0vMKyofQH8asCTDNVscbruPSp2zWFPdBHTd=w408-h306-k-no","null"
"1654879641-1177","https://www.google.com/maps/place/Delaware+Park/@42.8827699,-78.9879987,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+buffalo+new+york!3m6!1s0x89d312c9423a9edf:0xf70cdd906c0be5d7!8m2!3d42.936219!4d-78.859497!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya1oiIiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxOWFpEYTNsUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Frederick Law Olmsted-designed park features stone-arch bridges, lakes & landscaped gardens."
"1654879785-1191","https://www.google.com/maps/place/The+Buffalo+Zoo/@42.8827699,-78.9879987,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+buffalo+new+york!3m6!1s0x89d312b2b986e4e1:0x89359bcc4d53ed77!8m2!3d42.9371239!4d-78.8515955!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya1oiIiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya5IBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWVtVnlkelZCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Mammals, reptiles & birds plus kid-friendly petting area & shows in the country's 3rd-oldest zoo."
"1654879630-1176","https://www.google.com/maps/place/Dinosaur+Bar-B-Que/@42.9153946,-78.9159535,12z/data=!4m6!1m2!2m1!1sfood+in+buffalo+ny!3m2!1s0x89d3124fc4d5aaad:0x88bf564cc74972eb!15sChJmb29kIGluIGJ1ZmZhbG8gbnlaFCISZm9vZCBpbiBidWZmYWxvIG55kgETYmFyYmVjdWVfcmVzdGF1cmFudA","Dinosaur Bar-B-Que","4.4","dinosaurbarbque.com","301 Franklin St, Buffalo, NY 14202","null","null","https://lh5.googleusercontent.com/p/AF1QipMU8BB2GVFTw7vvU38H2oWdUYYcWrCl4U1woFDs=w408-h544-k-no","null"
"1654879651-1178","https://www.google.com/maps/place/Delaware+Park/@42.8827699,-78.9879987,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+buffalo+new+york!3m5!1s0x89d312c9423a9edf:0xf70cdd906c0be5d7!8m2!3d42.936219!4d-78.859497!15sCiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya1oiIiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxOWFpEYTNsUlJSQUI","Delaware Park","4.7","bfloparks.org","Meadow Dr, Buffalo, NY 14214","null","null","https://lh5.googleusercontent.com/p/AF1QipNVEm3B9fFAaQVldqYUSaSO4krZj_1D-ieOR3t8=w408-h306-k-no","null"
"1654879754-1188","https://www.google.com/maps/place/Buffalo+Museum+of+Science/@42.8827699,-78.9879987,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+buffalo+new+york!3m2!1s0x89d312837040397b:0x50d5f9e4dd4559e3!15sCiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya1oiIiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15WDNKZk5sUlJFQUU","Buffalo Museum of Science","4.6","sciencebuff.org","1020 Humboldt Pkwy, Buffalo, NY 14211","null","null","https://lh5.googleusercontent.com/p/AF1QipNAyaHRrf2807UbfV0XAwquZIphMwmcS14rPUC-=w408-h306-k-no","null"
"1654879744-1187","https://www.google.com/maps/place/Buffalo+Museum+of+Science/@42.8827699,-78.9879987,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+buffalo+new+york!3m6!1s0x89d312837040397b:0x50d5f9e4dd4559e3!8m2!3d42.9061321!4d-78.8436802!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya1oiIiB0aGluZ3MgdG8gZG8gaW4gYnVmZmFsbyBuZXcgeW9ya5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15WDNKZk5sUlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Restaurant","null","Region's natural history in focus in 700,000-specimen collection, with touch-&-learn kids' exhibits."
"1654879610-1174","https://www.google.com/maps/place/Toutant/@42.8926039,-79.0141939,12z/data=!4m6!1m2!2m1!1sfood+in+buffalo+ny!3m2!1s0x89d31245a7c8b73d:0x3f85cf9959a48ea4!15sChJmb29kIGluIGJ1ZmZhbG8gbnlaFCISZm9vZCBpbiBidWZmYWxvIG55kgEWc291dGhlcm5fdXNfcmVzdGF1cmFudA","Toutant","4.6","toutantbuffalo.com","437 Ellicott St, Buffalo, NY 14203","null","null","https://lh5.googleusercontent.com/p/AF1QipMcMeijTmtuqGVG8I9eOQy62MmEgmy_OLDdP_LP=w408-h268-k-no","null"
