web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654879328-1160","https://www.google.com/maps/place/Times+Square/@40.73629,-74.1418309,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+york+new+york!3m5!1s0x89c25855c6480299:0x55194ec5a1ae072e!8m2!3d40.7579747!4d-73.9855426!15sCiF0aGluZ3MgdG8gZG8gaW4gbmV3IHlvcmsgbmV3IHlvcmtaIyIhdGhpbmdzIHRvIGRvIGluIG5ldyB5b3JrIG5ldyB5b3JrkgEFcGxhemGaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhNRFJMVmpkblJSQUI","Times Square","4.7","timessquarenyc.org","Manhattan, NY 10036","null","null","https://lh5.googleusercontent.com/p/AF1QipMxrLqW43sBNl8pIWjSrZCTgk2bSK1YOqxu5VHs=w408-h903-k-no","null"
"1654879338-1161","https://www.google.com/maps/place/Belvedere+Castle/@40.73629,-74.1418309,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+new+york+new+york!3m6!1s0x89c258efe1df7c15:0x88efe22fb72978b5!8m2!3d40.7794302!4d-73.9690677!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gbmV3IHlvcmsgbmV3IHlvcmtaIyIhdGhpbmdzIHRvIGRvIGluIG5ldyB5b3JrIG5ldyB5b3JrkgEGY2FzdGxlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YnpkbU4yWm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Gothic & Romanesque castle from 1869 set on Vista Rock (the park's highest point) with park views."
"1654879256-1153","https://www.google.com/maps/place/Los+Tacos+No.+1/@40.7422521,-74.0760013,13z/data=!3m1!5s0x89c259bf5c13b39f:0x1e54ca82f40db960!4m10!1m2!2m1!1sfood+in+new+yorkny!3m6!1s0x89c25b5ac3fc353f:0xfe04b102174ebfc0!8m2!3d40.7422521!4d-74.0059635!10e1!15sChNmb29kIGluIG5ldyB5b3JrIG55WhUiE2Zvb2QgaW4gbmV3IHlvcmsgbnmSAQ90YWNvX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Bustling taqueria serving tacos, quesadillas & aguas frescas in a street-style set-up (no seating)."
"1654879441-1171","https://www.google.com/maps/place/One+World+Observatory/@40.73629,-74.1418309,11z/data=!3m1!5s0x1282aaa9d5f7d7e3:0x87b1b3e1408bcf6b!4m10!1m2!2m1!1sthings+to+do+in+new+york+new+york!3m6!1s0x89c25a1bd03f614d:0x8fe352941f469354!8m2!3d40.7130062!4d-74.013173!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gbmV3IHlvcmsgbmV3IHlvcmtaIyIhdGhpbmdzIHRvIGRvIGluIG5ldyB5b3JrIG5ldyB5b3JrkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJIWjJJMk5GWjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Observatory located on floors 100-102 of One World Trade Center, with exhibits & restaurants."
"1654879431-1170","https://www.google.com/maps/place/Rockefeller+Center/@40.73629,-74.1418309,11z/data=!3m1!5s0x1282aaa9d5f7d7e3:0x87b1b3e1408bcf6b!4m6!1m2!2m1!1sthings+to+do+in+new+york+new+york!3m2!1s0x89c258fecf664df5:0x33d224a0d5dacca2!15sCiF0aGluZ3MgdG8gZG8gaW4gbmV3IHlvcmsgbmV3IHlvcmtaIyIhdGhpbmdzIHRvIGRvIGluIG5ldyB5b3JrIG5ldyB5b3JrkgETaGlzdG9yaWNhbF9sYW5kbWFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSE5EWnBjWFZCUlJBQg","Rockefeller Center","4.7","rockefellercenter.com","45 Rockefeller Plaza, New York, NY 10111","null","null","https://lh5.googleusercontent.com/p/AF1QipMWCbdUms4DZlJQs2xy0SjFOcMs5h3e1h3-ex0=w408-h255-k-no","null"
"1654879349-1162","https://www.google.com/maps/place/Belvedere+Castle/@40.73629,-74.1418309,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+york+new+york!3m5!1s0x89c258efe1df7c15:0x88efe22fb72978b5!8m2!3d40.7794302!4d-73.9690677!15sCiF0aGluZ3MgdG8gZG8gaW4gbmV3IHlvcmsgbmV3IHlvcmtaIyIhdGhpbmdzIHRvIGRvIGluIG5ldyB5b3JrIG5ldyB5b3JrkgEGY2FzdGxlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YnpkbU4yWm5FQUU","Belvedere Castle","4.4","centralparknyc.org","New York, NY 10024","null","null","https://lh5.googleusercontent.com/p/AF1QipMv-2ghE4M5qUqE0FjVWGlnpsYIzY6n5kIFiD9g=w408-h272-k-no","null"
"1654879369-1164","https://www.google.com/maps/place/Bryant+Park/@40.73629,-74.1418309,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+new+york+new+york!3m5!1s0x89c259aae7a0b1bd:0xb49cafb82537f1a7!8m2!3d40.7535965!4d-73.9832326!15sCiF0aGluZ3MgdG8gZG8gaW4gbmV3IHlvcmsgbmV3IHlvcmtaIyIhdGhpbmdzIHRvIGRvIGluIG5ldyB5b3JrIG5ldyB5b3JrkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVGR6bE1Wak4zUlJBQg","Bryant Park","4.7","bryantpark.org","New York, NY 10018","null","null","https://lh5.googleusercontent.com/p/AF1QipO_MUUv9wqPA5PaxoCYVc7_v8G98yez9KRZXssT=w408-h272-k-no","null"
"1654879266-1154","https://www.google.com/maps/place/Los+Tacos+No.+1/@40.7651852,-74.011732,13z/data=!4m6!1m2!2m1!1sfood+in+new+yorkny!3m2!1s0x89c25b5ac3fc353f:0xfe04b102174ebfc0!15sChNmb29kIGluIG5ldyB5b3JrIG55WhUiE2Zvb2QgaW4gbmV3IHlvcmsgbnmSAQ90YWNvX3Jlc3RhdXJhbnQ","Los Tacos No. 1","4.7","lostacos1.com","75 9th Ave, New York, NY 10011","null","null","https://lh5.googleusercontent.com/p/AF1QipPEzdmApT4QI1SDHkrl_4BGE42uHdZOGyntk2ec=w446-h240-k-no","null"
"1654879390-1166","https://www.google.com/maps/place/The+Museum+of+Modern+Art/@40.73629,-74.1418309,11z/data=!3m1!5s0x89c258fbd5ec7547:0x7edf0a3ade84ad50!4m9!1m2!2m1!1sthings+to+do+in+new+york+new+york!3m5!1s0x89c258f97bdb102b:0xea9f8fc0b3ffff55!8m2!3d40.7614327!4d-73.9776216!15sCiF0aGluZ3MgdG8gZG8gaW4gbmV3IHlvcmsgbmV3IHlvcmtaIyIhdGhpbmdzIHRvIGRvIGluIG5ldyB5b3JrIG5ldyB5b3JrkgERbW9kZXJuX2FydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnROamg1VkVGUkVBRQ","The Museum of Modern Art","4.6","moma.org","11 W 53rd St, New York, NY 10019","null","null","https://lh5.googleusercontent.com/p/AF1QipMcmJHggr1o_cae_igEVkydEsvuab0uRkFNobrk=w408-h544-k-no","null"
"1654879276-1155","https://www.google.com/maps/place/Veselka/@40.7651852,-74.011732,13z/data=!4m10!1m2!2m1!1sfood+in+new+yorkny!3m6!1s0x89c2599c5ce21097:0x755d2ae66dc781a7!8m2!3d40.7290155!4d-73.9871139!10e1!15sChNmb29kIGluIG5ldyB5b3JrIG55WhUiE2Zvb2QgaW4gbmV3IHlvcmsgbnmSARR1a3JhaW5pYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Borscht & pierogi are menu highlights at this no-frills Ukrainian eatery."
