web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654880223-135","https://www.google.com/maps/place/Everson+Museum+of+Art/@43.0433241,-76.3211501,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m6!1s0x89d9f3bdb399ada5:0xedffd6c680982ced!8m2!3d43.0446061!4d-76.1466843!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSSE1UbFhNMVYzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Museum showcasing famous American paintings, sculpture & drawings in an I.M. Pei-designed building."
"1654880172-130","https://www.google.com/maps/place/Erie+Canal+Museum/@43.0433241,-76.3211501,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m5!1s0x89d9f3ba1906cf3d:0x40226554c4dd9ea5!8m2!3d43.050679!4d-76.148829!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4zTWtzM2RWaFJFQUU","Erie Canal Museum","4.6","eriecanalmuseum.org","318 Erie Blvd E, Syracuse, NY 13202","null","null","https://lh5.googleusercontent.com/p/AF1QipNQgb7lnXNdrfh-wDVk1gEAfRg7VbdAWnzpmxNl=w408-h272-k-no","null"
"1654880192-132","https://www.google.com/maps/place/WonderWorks+Destiny/@43.0433241,-76.3211501,12z/data=!3m1!5s0x89d9f22eaafeb80b:0x6898ed8fcc5502a6!4m9!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m5!1s0x89d9f22be0337e53:0xbdb0ca92c13d53fe!8m2!3d43.06739!4d-76.1725674!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEOYW11c2VtZW50X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhiRkI2Y0RWblJSQUI","WonderWorks Destiny","4.3","wonderworksonline.com","9090 Destiny USA Dr, Syracuse, NY 13204","null","null","https://lh5.googleusercontent.com/p/AF1QipM6pHUElbZnh0tujzZfbtBnJ89hDD71wXz1J8EV=w408-h269-k-no","null"
"1654880141-127","https://www.google.com/maps/place/Clinton+Square/@43.0433241,-76.3211501,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m6!1s0x89d9f3b836e3fc6b:0x8ccd610f41dbbec3!8m2!3d43.0510781!4d-76.1529286!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSE0zTllPVUYzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Circa-19th-century gathering place with festivals, monuments & a winter ice-skating rink."
"1654880243-137","https://www.google.com/maps/place/Rosamond+Gifford+Zoo/@43.0433241,-76.3211501,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m6!1s0x89d9f3e06d542b07:0xba0f0074dfa26812!8m2!3d43.0433241!4d-76.1810744!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI1ZW5VMlowMW5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Elephants & penguins are among the animals at this 43-acre zoo with wildlife trail & aviary."
"1654880111-124","https://www.google.com/maps/place/Modern+Malt/@43.0526411,-76.2247316,13z/data=!4m9!1m2!2m1!1sfood+in+syracuse+ny!3m5!1s0x89d9f3b8cf4e674b:0x4abd27b8f1e1a637!8m2!3d43.0480135!4d-76.1532649!15sChNmb29kIGluIHN5cmFjdXNlIG55WhUiE2Zvb2QgaW4gc3lyYWN1c2UgbnmSARNhbWVyaWNhbl9yZXN0YXVyYW50","Modern Malt","4.2","eatdrinkmalt.com","325 S Clinton St, Syracuse, NY 13202","null","null","https://lh5.googleusercontent.com/p/AF1QipMtKVWOKyr1sVls2MAXGfLj599WBwmGkUoR6QjP=w450-h240-k-no","null"
"1654880162-129","https://www.google.com/maps/place/Erie+Canal+Museum/@43.0433241,-76.3211501,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m6!1s0x89d9f3ba1906cf3d:0x40226554c4dd9ea5!8m2!3d43.050679!4d-76.148829!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4zTWtzM2RWaFJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Museum set in the only remaining weighlock building explores impact & history of the canal system."
"1654880254-138","https://www.google.com/maps/place/Rosamond+Gifford+Zoo/@43.068407,-76.2028741,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m5!1s0x89d9f3e06d542b07:0xba0f0074dfa26812!8m2!3d43.0433241!4d-76.1810744!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI1ZW5VMlowMW5FQUU","Rosamond Gifford Zoo","4.5","rosamondgiffordzoo.org","1 Conservation Pl, Syracuse, NY 13204","null","null","https://lh5.googleusercontent.com/p/AF1QipNvB6lkIGfL1dMs5YdCKLbXxsQ0mEVtz0BZnpJG=w558-h240-k-no","null"
"1654880151-128","https://www.google.com/maps/place/Clinton+Square/@43.0433241,-76.3211501,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m5!1s0x89d9f3b836e3fc6b:0x8ccd610f41dbbec3!8m2!3d43.0510781!4d-76.1529286!15sCht0aGluZ3MgdG8gZG8gaW4gc3lyYWN1c2UgbnlaHSIbdGhpbmdzIHRvIGRvIGluIHN5cmFjdXNlIG55kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSE0zTllPVUYzRUFF","Clinton Square","4.5","null","161 W Genesee St, Syracuse, NY 13202","null","null","https://lh5.googleusercontent.com/p/AF1QipOHOpkvujMC1NI5F_go4-cxeoOYq5fKPwjjTpCB=w408-h272-k-no","null"
"1654880274-140","https://www.google.com/maps/place/Syracuse+Stage/@43.0660622,-76.2369576,12z/data=!3m1!5s0x89d9f3a419534ea9:0x6cd510003a5feab5!4m8!1m2!2m1!1sthings+to+do+in+syracuse+ny!3m4!1s0x89d9f3a422935fa3:0x15b8a89f939782b0!8m2!3d43.0466972!4d-76.13815","Syracuse Stage","4.8","syracusestage.org","820 E Genesee St, Syracuse, NY 13210","null","null","https://lh5.googleusercontent.com/p/AF1QipMQ22K1UCVxQrztRRENNh2lQYywjT43KKoL3VG8=w408-h306-k-no","null"
