web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654879800-106","https://www.google.com/maps/place/Playland+Park/@40.9651419,-74.2354278,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m5!1s0x89c290eb3a47544d:0x35dc0149fb6df1ea!8m2!3d40.9651419!4d-73.6751251!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBDmFtdXNlbWVudF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJIYkRkVE5XWlJFQUU","Playland Park","4.3","playland.com","1 Playland Pkwy, Rye, NY 10580","null","null","https://lh5.googleusercontent.com/p/AF1QipPzwZcgkNCvvEKlQSrki0VtomUNkSQJJ796TMfV=w426-h240-k-no","null"
"1654879912-117","https://www.google.com/maps/place/LEGOLAND+Discovery+Center+Westchester/@40.9354216,-74.4616126,10z/data=!3m1!5s0x89c2ed244d93dac3:0x64dca853ad3a1900!4m10!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m6!1s0x89c2ed2506f25b33:0x97c00e6b74c7476d!8m2!3d40.9668551!4d-73.8571802!10e1!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOM2JqWkxSUzFSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Family entertainment center featuring toy displays, rides & 4D films plus gift shop."
"1654879882-114","https://www.google.com/maps/place/Tibbetts+Brook+Park/@40.9354216,-74.4616126,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m5!1s0x89c2f28e1fe4df1b:0xa11110be191d92cb!8m2!3d40.9271665!4d-73.8765165!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXljWE5YT1d0QlJSQUI","Tibbetts Brook Park","4.5","parks.westchestergov.com","355 Midland Ave, Yonkers, NY 10704","null","null","https://lh5.googleusercontent.com/p/AF1QipPwlS2lhDbeIOC1nW_zr3ngp0NbkJZdlrXPRkYE=w408-h306-k-no","null"
"1654879943-120","https://www.google.com/maps/place/Untermyer+Gardens+Conservancy/@40.9354216,-74.4616126,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m5!1s0x89c2ed0835a9f315:0x844cbd353c1d036d!8m2!3d40.9659926!4d-73.8859748!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBBmdhcmRlbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeE1tTmxUakIzUlJBQg","Untermyer Gardens Conservancy","4.8","untermyergardens.org","945 N Broadway, Yonkers, NY 10701","null","null","https://lh5.googleusercontent.com/p/AF1QipPWiG7WtG1LupjZ-4sqplO7siXSgqZ4e3DxV9ck=w426-h240-k-no","null"
"1654879810-107","https://www.google.com/maps/place/Wave+Hill+Public+Garden+%26+Cultural+Center/@40.9354216,-74.4616126,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m6!1s0x89c2f3b59e546d0b:0xdcf2807aa00ccc9f!8m2!3d40.8978516!4d-73.9114449!10e1!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBBmdhcmRlbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReVgzRnRjMmRCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Expansive, manicured public garden with wooded paths, benches & Hudson River views."
"1654879861-112","https://www.google.com/maps/place/Empire+City+Casino/@40.9354216,-74.4616126,10z/data=!3m1!5s0x89c2f2be234865c9:0x12533050f3f45b3c!4m9!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m5!1s0x89c2f2be1e41bb87:0xe982e5bcc05311e2!8m2!3d40.9193015!4d-73.8645107!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBBmNhc2lub5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWEyUmlkbDlSUlJBQg","Empire City Casino","3.9","empirecitycasino.com","810 Yonkers Ave, Yonkers, NY 10704","null","null","https://lh5.googleusercontent.com/p/AF1QipNs-gEPz7kIcJVPNCGieKJ1of9bGOfkabcWBK9r=w427-h240-k-no","null"
"1654879933-119","https://www.google.com/maps/place/Untermyer+Gardens+Conservancy/@40.9354216,-74.4616126,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m6!1s0x89c2ed0835a9f315:0x844cbd353c1d036d!8m2!3d40.9659926!4d-73.8859748!10e1!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBBmdhcmRlbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeE1tTmxUakIzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Circa-1912 landscaped park (40+ acres) centered on walled Persian Garden, with Hudson River views."
"1654879871-113","https://www.google.com/maps/place/Tibbetts+Brook+Park/@40.9354216,-74.4616126,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m6!1s0x89c2f28e1fe4df1b:0xa11110be191d92cb!8m2!3d40.9271665!4d-73.8765165!10e1!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXljWE5YT1d0QlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","161-acre park with an aquatic complex, tennis courts, baseball fields, hiking trails & more."
"1654879749-101","https://www.google.com/maps/place/Rory+Dolan's+Restaurant+%26+Bar/@40.9403891,-73.9038417,13z/data=!4m10!1m2!2m1!1sfood+in+yonkers+ny!3m6!1s0x89c2f2e64ef4f829:0x5719111c1d6b2921!8m2!3d40.9049252!4d-73.868786!10e1!15sChJmb29kIGluIHlvbmtlcnMgbnlaFCISZm9vZCBpbiB5b25rZXJzIG55kgEJaXJpc2hfcHVi","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Traditional Irish restaurant & bar with pub eats & entrees, plus weekend DJs & other events."
"1654879841-110","https://www.google.com/maps/place/Sprain+Ridge+Park/@40.9354216,-74.4616126,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+yonkers+ny!3m5!1s0x89c2ecd62f50e515:0x3ddda7b7ac393e1f!8m2!3d40.9871144!4d-73.8480914!15sChp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueVocIhp0aGluZ3MgdG8gZG8gaW4geW9ua2VycyBueZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhOMG96YVZsbkVBRQ","Sprain Ridge Park","4.4","parks.westchestergov.com","149 Jackson Ave, Yonkers, NY 10706","null","null","https://lh5.googleusercontent.com/p/AF1QipNopPEdxCNyGQBsF--NlTtG9r2e3OZ9hXbiTXQ4=w408-h408-k-no","null"
