web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654874227-1094","https://www.google.com/maps/place/Melt+Bar+and+Grilled/@41.0973217,-81.5893847,12z/data=!4m8!1m2!2m1!1sfood+in+akron+ohio!3m4!1s0x8830d0823c32fd77:0x7b3b28989c9eb61!8m2!3d41.1363961!4d-81.6408812","Melt Bar and Grilled","4.3","meltbarandgrilled.com","3921 Medina Rd, Akron, OH 44333","null","null","https://lh5.googleusercontent.com/p/AF1QipPtsUvq_FwffZpO4rGfWNyDt0U3-vWWirRV1k_9=w429-h240-k-no","null"
"1654874309-1102","https://www.google.com/maps/place/Akron+Zoo/@41.056049,-81.8023517,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+akron+ohio!3m2!1s0x8830d6467395c801:0xf67f0716c668a645!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGFtTXRjRzVCUlJBQg","Akron Zoo","4.5","akronzoo.org","500 Edgewood Ave, Akron, OH 44307","null","null","https://lh5.googleusercontent.com/p/AF1QipPUQkkDp9PMxCe6KPvgkGv9O28upCg24OZy4xc6=w426-h240-k-no","null"
"1654874247-1096","https://www.google.com/maps/place/Indian+Signal+Tree/@41.056049,-81.8023517,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+akron+ohio!3m5!1s0x8830d7fd1971f853:0x4ab2c1812c1ab660!8m2!3d41.1203374!4d-81.5180236!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBDWhpc3RvcmljX3NpdGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXdObDlVVHpGblJSQUI","Indian Signal Tree","4.7","summitmetroparks.org","Peck Rd, Akron, OH 44310","null","null","https://lh5.googleusercontent.com/p/AF1QipPklbCAAEyrZFmlenq5a2axchZMCefP_QYLs1sh=w408-h544-k-no","null"
"1654874258-1097","https://www.google.com/maps/place/Stan+Hywet+Hall+%26+Gardens/@41.056049,-81.8023517,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+akron+ohio!3m6!1s0x8830d79af43a79b1:0xd367e53b4bf0864e!8m2!3d41.1192497!4d-81.5503172!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBE2hpc3RvcmljYWxfbGFuZG1hcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXliblo2U0c1blJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Historic house, museum, landscaped grounds & conservatory hosting an array of seasonal events."
"1654874216-1093","https://www.google.com/maps/place/Melt+Bar+and+Grilled/@41.1363961,-81.7809569,12z/data=!4m9!1m2!2m1!1sfood+in+akron+ohio!3m5!1s0x8830d0823c32fd77:0x7b3b28989c9eb61!8m2!3d41.1363961!4d-81.6408812!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Informal spot featuring over-the-top grilled cheese sandwiches, plus beer, wine & cocktails."
"1654874278-1099","https://www.google.com/maps/place/Akron+Art+Museum/@41.056049,-81.8023517,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+akron+ohio!3m6!1s0x883129d5fe82942b:0x8c035de0569db337!8m2!3d41.0843583!4d-81.5154611!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhOM0pNY1ZWUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Modern art, including photos, shown in a historic building with a dramatic glass & steel addition."
"1654874268-1098","https://www.google.com/maps/place/Stan+Hywet+Hall+%26+Gardens/@41.056049,-81.8023517,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+akron+ohio!3m5!1s0x8830d79af43a79b1:0xd367e53b4bf0864e!8m2!3d41.1192497!4d-81.5503172!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBE2hpc3RvcmljYWxfbGFuZG1hcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXliblo2U0c1blJSQUI","Stan Hywet Hall & Gardens","4.8","stanhywet.org","714 N Portage Path, Akron, OH 44303","null","null","https://lh5.googleusercontent.com/p/AF1QipPDEeDSc-XHCqvohiyRlXbmSG_9MfCette_sNBB=w408-h282-k-no","null"
"1654874299-1101","https://www.google.com/maps/place/Akron+Zoo/@41.056049,-81.8023517,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+akron+ohio!3m6!1s0x8830d6467395c801:0xf67f0716c668a645!8m2!3d41.078555!4d-81.5414397!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOeGFtTXRjRzVCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","50-acre zoo featuring 700+ species, a grizzly exhibit, a train & seasonal events."
"1654874289-1100","https://www.google.com/maps/place/Akron+Art+Museum/@41.056049,-81.8023517,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+akron+ohio!3m5!1s0x883129d5fe82942b:0x8c035de0569db337!8m2!3d41.0843583!4d-81.5154611!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhOM0pNY1ZWUkVBRQ","Akron Art Museum","4.5","akronartmuseum.org","1 S High St, Akron, OH 44308","null","null","https://lh5.googleusercontent.com/p/AF1QipPAXF4MOouRATh8LNI4m1206q-s_mLHjs5NybSB=w436-h240-k-no","null"
"1654874237-1095","https://www.google.com/maps/place/Indian+Signal+Tree/@41.056049,-81.8023517,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+akron+ohio!3m6!1s0x8830d7fd1971f853:0x4ab2c1812c1ab660!8m2!3d41.1203374!4d-81.5180236!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb1ocIhp0aGluZ3MgdG8gZG8gaW4gYWtyb24gb2hpb5IBDWhpc3RvcmljX3NpdGWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXdObDlVVHpGblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","This distinctly shaped tree was used by Native Americans to mark the northernmost point of a trail."
