web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654873952-1088","https://www.google.com/maps/place/Krohn+Conservatory/@39.0992418,-84.6168546,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m5!1s0x8841b3d07dd6be8b:0xe8cbc7105447b219!8m2!3d39.1149567!4d-84.4901382!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJITjI5UFZIZG5SUkFC","Krohn Conservatory","4.7","cincinnatiparks.com","1501 Eden Park Dr, Cincinnati, OH 45202","null","null","https://lh5.googleusercontent.com/p/AF1QipM8dhDTj7f10y66NkpUwWH24BVvd6nm6cZ4i3uv=w408-h306-k-no","null"
"1654873931-1086","https://www.google.com/maps/place/American+Sign+Museum/@39.0992418,-84.6168546,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m5!1s0x8841b4665765cc9f:0xb1a2d0a73e91ab13!8m2!3d39.1434842!4d-84.5400914!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmhiMDR5TTJoQlJSQUI","American Sign Museum","4.7","americansignmuseum.org","1330 Monmouth Ave, Cincinnati, OH 45225","null","null","https://lh5.googleusercontent.com/p/AF1QipMZ6osUsunLlJLjqOVOrl7RUyIbhxX13gvp5iuB=w408-h281-k-no","null"
"1654873972-1090","https://www.google.com/maps/place/National+Underground+Railroad+Freedom+Center/@39.0992418,-84.6168546,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m2!1s0x8841b1455d29db43:0xc160cf231595518f!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTJlSEY2VUdoQlJSQUI","National Underground Railroad Freedom Center","4.7","freedomcenter.org","50 E Freedom Way, Cincinnati, OH 45202","null","null","//lh3.googleusercontent.com/proxy/I2f_09wKGg-hffXxMPbddXM3oIXCEvIvLh5y7HpsgHx4AN11NxtirFvzPYgJRjNOoCZ5BPrSwMgSej_bGMDgLJSPXuI678H2LRFkXIuLhhZME6mRZwHybArHQdt31kjrqMn5LjC35ETm_UCmSDczvnIzv5oEWw=w408-h272-k-no","null"
"1654873921-1085","https://www.google.com/maps/place/American+Sign+Museum/@39.1434842,-84.8202428,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m6!1s0x8841b4665765cc9f:0xb1a2d0a73e91ab13!8m2!3d39.1434842!4d-84.5400914!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmhiMDR5TTJoQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Sprawling former factory space exhibiting uniquely American signage, plus a working neon shop."
"1654873910-1084","https://www.google.com/maps/place/Bakersfield/@39.1106951,-84.5852294,13z/data=!4m9!1m2!2m1!1sfood+in+cincinatti+ohio!3m5!1s0x8841b156287671e1:0xd2b2a9c42751f635!8m2!3d39.1086868!4d-84.5151303!15sChdmb29kIGluIGNpbmNpbmF0dGkgb2hpb1oZIhdmb29kIGluIGNpbmNpbmF0dGkgb2hpb5IBD3RhY29fcmVzdGF1cmFudA","Bakersfield","4.6","bakersfieldtacos.com","1213 Vine St, Cincinnati, OH 45202","null","null","https://lh5.googleusercontent.com/p/AF1QipPK2h2aplju5tK-w7qpJKXHMHTpWVB5m1YTRZix=w408-h306-k-no","null"
"1654873982-1091","https://www.google.com/maps/place/Cincinnati+Art+Museum/@39.0992418,-84.6168546,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m6!1s0x8841b3dc157f4857:0x2f6a754a139c26d8!8m2!3d39.1144588!4d-84.4967972!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15Y1hOWVdVdEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Art venue housing a collection of 67,000+ works spanning 6,000 years, plus traveling exhibits."
"1654873962-1089","https://www.google.com/maps/place/National+Underground+Railroad+Freedom+Center/@39.0992418,-84.6168546,11z/data=!3m1!5s0x8841b14550622b6f:0xbb81174569a0a950!4m10!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m6!1s0x8841b1455d29db43:0xc160cf231595518f!8m2!3d39.0976274!4d-84.5112545!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTTJlSEY2VUdoQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","Interactive museum with film, animation & multimedia exhibits focused on slavery in America."
"1654873941-1087","https://www.google.com/maps/place/Krohn+Conservatory/@39.0992418,-84.6168546,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m6!1s0x8841b3d07dd6be8b:0xe8cbc7105447b219!8m2!3d39.1149567!4d-84.4901382!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJITjI5UFZIZG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Indoor botanical garden featuring 3,500+ plant species, a rainforest waterfall & butterfly shows."
"1654873900-1083","https://www.google.com/maps/place/Bakersfield/@39.1106951,-84.5852294,13z/data=!4m10!1m2!2m1!1sfood+in+cincinatti+ohio!3m6!1s0x8841b156287671e1:0xd2b2a9c42751f635!8m2!3d39.1086868!4d-84.5151303!10e1!15sChdmb29kIGluIGNpbmNpbmF0dGkgb2hpb1oZIhdmb29kIGluIGNpbmNpbmF0dGkgb2hpb5IBD3RhY29fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   High chairs   Restroom","null","Tacos & a few other Mexican dishes are delivered in a chic, upbeat, margarita-fueled atmosphere."
"1654873993-1092","https://www.google.com/maps/place/Cincinnati+Art+Museum/@39.0992418,-84.6168546,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+cincinnati+ohio!3m5!1s0x8841b3dc157f4857:0x2f6a754a139c26d8!8m2!3d39.1144588!4d-84.4967972!15sCh90aGluZ3MgdG8gZG8gaW4gY2luY2lubmF0aSBvaGlvWiEiH3RoaW5ncyB0byBkbyBpbiBjaW5jaW5uYXRpIG9oaW-SAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15Y1hOWVdVdEJFQUU","Cincinnati Art Museum","4.8","cincinnatiartmuseum.org","953 Eden Park Dr, Cincinnati, OH 45202","null","null","https://lh5.googleusercontent.com/p/AF1QipOg9lcOd3kH0gJCoJQyvseaLFjQ15_EvjLXIqQW=w408-h306-k-no","null"
