web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654873504-3","https://www.google.com/maps/place/A+Christmas+Story+House/@41.4965744,-81.8439102,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m6!1s0x8830faa8ec56056d:0xd38f32e458bdbe19!8m2!3d41.4687436!4d-81.6874708!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMTm05aVN6TkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","House used in ""A Christmas Story"" film, now a museum with a replicated interior & film memorabilia."
"1654873494-2","https://www.google.com/maps/place/TownHall/@41.4947474,-81.6875586,13z/data=!4m9!1m2!2m1!1sfood+in+cleveland+ohio!3m5!1s0x8830f06dc4f251b7:0x516a1e7752e0caf1!8m2!3d41.4854032!4d-81.7041228!15sChZmb29kIGluIGNsZXZlbGFuZCBvaGlvWhgiFmZvb2QgaW4gY2xldmVsYW5kIG9oaW-SARZoZWFsdGhfZm9vZF9yZXN0YXVyYW50","TownHall","4.4","townhallohiocity.com","1909 W 25th St, Cleveland, OH 44113","null","null","https://lh5.googleusercontent.com/p/AF1QipP7-AytG1xqYDSVAb96ZRHEE4k8n1BjO6DdaYyz=w408-h272-k-no","null"
"1654873565-9","https://www.google.com/maps/place/Greater+Cleveland+Aquarium/@41.4965744,-81.8439102,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m6!1s0x8830f063645f17c9:0x25b1bed23e15c3c2!8m2!3d41.4965744!4d-81.7038345!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEIYXF1YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxlVjlpV0c5blJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Interactive marine exhibits, including a walk-through experience & a mock research vessel."
"1654873575-10","https://www.google.com/maps/place/Greater+Cleveland+Aquarium/@41.4825775,-81.7335949,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m5!1s0x8830f063645f17c9:0x25b1bed23e15c3c2!8m2!3d41.4965744!4d-81.7038345!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEIYXF1YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxlVjlpV0c5blJSQUI","Greater Cleveland Aquarium","4.3","greaterclevelandaquarium.com","2000 Sycamore St, Cleveland, OH 44113","null","null","https://lh5.googleusercontent.com/p/AF1QipO6trn-Wm2M82Ag8TbKbv4LQANQ2ILDTStEPZJs=w408-h408-k-no","null"
"1654873524-5","https://www.google.com/maps/place/Cleveland+Botanical+Garden/@41.4965744,-81.8439102,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m6!1s0x8830fb8c6b2a2705:0xb3e99d3e8bb7d36!8m2!3d41.5111197!4d-81.6095805!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE5HTXlia1YzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","All-seasons living museum with a greenhouse, a conservatory, outdoor gardens & an education center."
"1654873534-6","https://www.google.com/maps/place/Cleveland+Botanical+Garden/@41.4965744,-81.8439102,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m5!1s0x8830fb8c6b2a2705:0xb3e99d3e8bb7d36!8m2!3d41.5111197!4d-81.6095805!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWE5HTXlia1YzRUFF","Cleveland Botanical Garden","4.7","cbgarden.org","11030 East Blvd, Cleveland, OH 44106","null","null","https://lh5.googleusercontent.com/p/AF1QipOhWeCBfc550fMgZmocGn1Ju4Ix02kP6i45cjpG=w408-h544-k-no","null"
"1654873545-7","https://www.google.com/maps/place/The+Cleveland+Museum+of+Art/@41.4965744,-81.8439102,12z/data=!3m1!5s0x8830fb8e810fb1c5:0x54f85901a28c9360!4m10!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m6!1s0x8830fb8dd37a09d9:0x24667546af3346a!8m2!3d41.5090411!4d-81.6120703!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YW1aSVExUkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Museum featuring over 45,000 works covering 6,000 years plus films, music, lectures & a restaurant."
"1654873555-8","https://www.google.com/maps/place/The+Cleveland+Museum+of+Art/@41.4965744,-81.8439102,12z/data=!3m1!5s0x8830fb8e810fb1c5:0x54f85901a28c9360!4m9!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m5!1s0x8830fb8dd37a09d9:0x24667546af3346a!8m2!3d41.5090411!4d-81.6120703!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YW1aSVExUkJFQUU","The Cleveland Museum of Art","4.9","clevelandart.org","11150 East Blvd, Cleveland, OH 44106","null","null","https://lh5.googleusercontent.com/p/AF1QipNPhO-5CFYCAwM4WcGEGwReJzetNFqKygDOVwbf=w408-h306-k-no","null"
"1654873483-1","https://www.google.com/maps/place/TownHall/@41.4854032,-81.7741606,13z/data=!4m10!1m2!2m1!1sfood+in+cleveland+ohio!3m6!1s0x8830f06dc4f251b7:0x516a1e7752e0caf1!8m2!3d41.4854032!4d-81.7041228!10e1!15sChZmb29kIGluIGNsZXZlbGFuZCBvaGlvWhgiFmZvb2QgaW4gY2xldmVsYW5kIG9oaW-SARZoZWFsdGhfZm9vZF9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Locally sourced & innovative bar bites & vegan options served in a contemporary setting with patio."
"1654873514-4","https://www.google.com/maps/place/A+Christmas+Story+House/@41.4965744,-81.8439102,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+cleveland+ohio!3m5!1s0x8830faa8ec56056d:0xd38f32e458bdbe19!8m2!3d41.4687436!4d-81.6874708!15sCh50aGluZ3MgdG8gZG8gaW4gY2xldmVsYW5kIG9oaW9aICIedGhpbmdzIHRvIGRvIGluIGNsZXZlbGFuZCBvaGlvkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMTm05aVN6TkJSUkFC","A Christmas Story House","4.7","achristmasstoryhouse.com","3159 W 11th St, Cleveland, OH 44109","null","null","https://lh5.googleusercontent.com/p/AF1QipNKMnW9pWv_LBLK3l46aMK5uljWiba9x4-xbEb2=w408-h544-k-no","null"
