web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654873474-1075","https://www.google.com/maps/place/Topiary+Park/@40.0512947,-83.2977053,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m6!1s0x883888ce83b8742b:0x878dd983eb218810!8m2!3d39.9611906!4d-82.9875011!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb1ofIh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5hSE42WWpCUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Quiet park featuring landscape plants artistically trimmed to recreate a famous Seurat painting."
"1654873454-1073","https://www.google.com/maps/place/The+Eagle/@39.9655295,-83.0509824,13z/data=!4m10!1m2!2m1!1sfood+in+columbus+ohio!3m6!1s0x88388ed765a94195:0xcb53a3ed501bdbae!8m2!3d39.9785831!4d-83.0034335!10e1!15sChVmb29kIGluIGNvbHVtYnVzIG9oaW9aFyIVZm9vZCBpbiBjb2x1bWJ1cyBvaGlvkgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Bar onsite   High chairs   Restroom","null","Indoor/outdoor eatery & beer hall dishing up fried chicken & other comfort classics."
"1654873485-1076","https://www.google.com/maps/place/Topiary+Park/@40.0512947,-83.2977053,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m5!1s0x883888ce83b8742b:0x878dd983eb218810!8m2!3d39.9611906!4d-82.9875011!15sCh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb1ofIh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb5IBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5hSE42WWpCUlJSQUI","Topiary Park","4.5","columbus.gov","480 E Town St, Columbus, OH 43215","null","null","https://lh5.googleusercontent.com/p/AF1QipPZQvBhXBrFkW-XVT8cStZD05ftMj2CnIwdBUVG=w408-h306-k-no","null"
"1654873464-1074","https://www.google.com/maps/place/The+Eagle/@39.9655295,-83.0509824,13z/data=!4m9!1m2!2m1!1sfood+in+columbus+ohio!3m5!1s0x88388ed765a94195:0xcb53a3ed501bdbae!8m2!3d39.9785831!4d-83.0034335!15sChVmb29kIGluIGNvbHVtYnVzIG9oaW9aFyIVZm9vZCBpbiBjb2x1bWJ1cyBvaGlvkgEKcmVzdGF1cmFudA","The Eagle","4.5","eaglerestaurant.com","790 N High St, Columbus, OH 43215","null","null","https://lh5.googleusercontent.com/p/AF1QipMrSL1UU0xVl3vVeU9qHfDoguzQ0aRggYmpbNFy=w426-h240-k-no","null"
"1654873505-1078","https://www.google.com/maps/place/Columbus+Museum+of+Art/@40.0512947,-83.2977053,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m5!1s0x883888d20177f111:0xbf595a71d9d8c8c5!8m2!3d39.9641248!4d-82.9878591!15sCh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb1ofIh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhYM0p1VUVkQkVBRQ","Columbus Museum of Art","4.7","columbusmuseum.org","480 E Broad St, Columbus, OH 43215","null","null","https://lh5.googleusercontent.com/p/AF1QipMp03bTj7HrsLUebP3IMxFZMSvcEbEyDptbcflv=w408-h270-k-no","null"
"1654873526-1080","https://www.google.com/maps/place/Center+of+Science+and+Industry+(COSI)/@40.0512947,-83.2977053,10z/data=!3m1!5s0x88388f491b3e5735:0x196a978422aaa7e5!4m6!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m2!1s0x88388f3bee259147:0x2f31e004568ffa84!15sCh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb1ofIh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YzA1MVJHTlJFQUU","Center of Science and Industry (COSI)","4.4","cosi.org","333 W Broad St, Columbus, OH 43215","null","null","https://lh5.googleusercontent.com/p/AF1QipOIZoL7tXMgNFoF5F4nWoUCyjJQQVoyfdk4q1Y2=w408-h306-k-no","null"
"1654873536-1081","https://www.google.com/maps/place/Shadowbox+Live/@40.0512947,-83.2977053,10z/data=!3m1!5s0x88388f491b3e5735:0x196a978422aaa7e5!4m9!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m5!1s0x88388a870ad87299:0x2f7c20e9d518ecda!8m2!3d39.9514956!4d-83.0005573!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","null","null","Unique performance-arts venue & cafe staging rock musicals & sketch comedies in daytime & evening."
"1654873516-1079","https://www.google.com/maps/place/Center+of+Science+and+Industry+(COSI)/@40.0512947,-83.2977053,10z/data=!3m1!5s0x88388f3979073c0b:0x5340d880cc50e570!4m10!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m6!1s0x88388f3bee259147:0x2f31e004568ffa84!8m2!3d39.9598362!4d-83.0070197!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb1ofIh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb5IBDnNjaWVuY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15YzA1MVJHTlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","This large educational science center offers interactive exhibits, working labs & planetarium shows."
"1654873495-1077","https://www.google.com/maps/place/Columbus+Museum+of+Art/@40.0512947,-83.2977053,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m6!1s0x883888d20177f111:0xbf595a71d9d8c8c5!8m2!3d39.9641248!4d-82.9878591!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb1ofIh10aGluZ3MgdG8gZG8gaW4gY29sdW1idXMgb2hpb5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhYM0p1VUVkQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Varied permanent & traveling art collections plus an American cafe & a gift shop."
"1654873547-1082","https://www.google.com/maps/place/Shadowbox+Live/@40.0512947,-83.2977053,10z/data=!3m1!5s0x88388f491b3e5735:0x196a978422aaa7e5!4m8!1m2!2m1!1sthings+to+do+in+columbus+ohio!3m4!1s0x88388a870ad87299:0x2f7c20e9d518ecda!8m2!3d39.9514956!4d-83.0005573","Shadowbox Live","4.8","shadowboxlive.org","503 S Front St #260, Columbus, OH 43215","null","null","https://lh5.googleusercontent.com/p/AF1QipPhYvrYS8PxTAjmwNp6d0KPzDeQSjUwsw1PBogL=w426-h240-k-no","null"
