web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654874009-15","https://www.google.com/maps/place/Toledo+Museum+of+Art/@41.6216435,-83.862694,11z/data=!3m1!5s0x883b872d6c087827:0x7edf0a3ab521dd20!4m10!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m6!1s0x883b872d2204a47f:0x1d8989aab4b94e07!8m2!3d41.6583273!4d-83.5593252!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdGRuWnlWMFZSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Glass-walled extension of the Toledo Art Museum showcasing 5,000 works of art made of glass."
"1654874060-20","https://www.google.com/maps/place/Toledo+Zoo/@41.6326422,-83.6634997,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m5!1s0x883b879d23f91ab7:0xb405e59b5b69bc67!8m2!3d41.6216435!4d-83.5825426!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJUTUhWZmFVZFJFQUU","Toledo Zoo","4.6","toledozoo.org","2 Hippo Way, Toledo, OH 43609","null","null","https://lh5.googleusercontent.com/p/AF1QipPUk0L2WXdDTOuq0Wm_cU3KyjT1sLL7cetvu7Y5=w408-h306-k-no","null"
"1654873979-12","https://www.google.com/maps/place/J.+Alexander's+Restaurant/@41.6654733,-83.6553094,12z/data=!4m9!1m2!2m1!1sfood+in+toledo+ohio!3m5!1s0x883c7ef074f0aa9d:0x63227ef014145b65!8m2!3d41.695932!4d-83.6456946!15sChNmb29kIGluIHRvbGVkbyBvaGlvWhUiE2Zvb2QgaW4gdG9sZWRvIG9oaW-SARNhbWVyaWNhbl9yZXN0YXVyYW50","J. Alexander's Restaurant","4.6","jalexanders.com","4315 Talmadge Rd, Toledo, OH 43623","null","null","https://lh5.googleusercontent.com/p/AF1QipMNwqSoEA8hMNSoJAgPvuB5P-vZJnDhQgBwMSQu=w408-h306-k-no","null"
"1654874040-18","https://www.google.com/maps/place/Imagination+Station/@41.6216435,-83.862694,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m5!1s0x883b86c915792097:0xdad51b258c0d0e1d!8m2!3d41.65193!4d-83.531614!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXliblF0U201QlJSQUI","Imagination Station","4.7","imaginationstationtoledo.org","1 Discovery Way, Toledo, OH 43604","null","null","https://lh5.googleusercontent.com/p/AF1QipP3qCFaUwZQteE1g_GY4bXvfHgdQp6p_Gf7IzAr=w408-h306-k-no","null"
"1654873999-14","https://www.google.com/maps/place/National+Museum+of+the+Great+Lakes/@41.6216435,-83.862694,11z/data=!3m1!5s0x883b86ad275ad527:0x75c9c4fc7bb39f76!4m9!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m5!1s0x883a7221d6114f6f:0xf64e189eb0840f15!8m2!3d41.6564944!4d-83.5151528!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54YkdKeVkzbEJSUkFC","National Museum of the Great Lakes","4.7","nmgl.org","1701 Front St, Toledo, OH 43605","null","null","https://lh5.googleusercontent.com/p/AF1QipPE3WMg80Y55959kpC5ndXCmn-NZuT8BQag4ks=w604-h240-k-no","null"
"1654873969-11","https://www.google.com/maps/place/J.+Alexander's+Restaurant/@41.695932,-83.7857703,12z/data=!4m10!1m2!2m1!1sfood+in+toledo+ohio!3m6!1s0x883c7ef074f0aa9d:0x63227ef014145b65!8m2!3d41.695932!4d-83.6456946!10e1!15sChNmb29kIGluIHRvbGVkbyBvaGlvWhUiE2Zvb2QgaW4gdG9sZWRvIG9oaW-SARNhbWVyaWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite","null","Restaurant chain serving wood-fired American fare in a contemporary space with a bar."
"1654873989-13","https://www.google.com/maps/place/National+Museum+of+the+Great+Lakes/@41.6216435,-83.862694,11z/data=!3m1!5s0x883b86ad275ad527:0x75c9c4fc7bb39f76!4m10!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m6!1s0x883a7221d6114f6f:0xf64e189eb0840f15!8m2!3d41.6564944!4d-83.5151528!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54YkdKeVkzbEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","This museum explores the history of the Great Lakes & features a docked Lake freighter."
"1654874020-16","https://www.google.com/maps/place/Toledo+Museum+of+Art/@41.6216435,-83.862694,11z/data=!3m1!5s0x883b872d6c087827:0x7edf0a3ab521dd20!4m9!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m5!1s0x883b872d2204a47f:0x1d8989aab4b94e07!8m2!3d41.6583273!4d-83.5593252!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEKYXJ0X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSdGRuWnlWMFZSRUFF","Toledo Museum of Art","4.8","toledomuseum.org","2445 Monroe St, Toledo, OH 43620","null","null","https://lh5.googleusercontent.com/p/AF1QipNh_11j1jBR7XBNjcfqx8Xcl1c8iLAv6H9zH_b6=w408-h306-k-no","null"
"1654874050-19","https://www.google.com/maps/place/Toledo+Zoo/@41.6216435,-83.862694,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m6!1s0x883b879d23f91ab7:0xb405e59b5b69bc67!8m2!3d41.6216435!4d-83.5825426!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJUTUhWZmFVZFJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Destination for animal exhibits, live concerts, holiday lights & other seasonal events."
"1654874030-17","https://www.google.com/maps/place/Imagination+Station/@41.6216435,-83.862694,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+toledo+ohio!3m6!1s0x883b86c915792097:0xdad51b258c0d0e1d!8m2!3d41.65193!4d-83.531614!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gdG9sZWRvIG9oaW9aHSIbdGhpbmdzIHRvIGRvIGluIHRvbGVkbyBvaGlvkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXliblF0U201QlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Hands-on, educational children's science museum with permanent exhibits, programs & summer camps."
