web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654805767-1053","https://www.google.com/maps/place/Ray+Harral+Nature+Park+%26+Center/@36.113094,-97.1014537,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m5!1s0x87b688e58950f02b:0x36c65ff79924c634!8m2!3d35.984247!4d-95.786704!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5Y2t4WFN6ZDNSUkFC","Ray Harral Nature Park & Center","4.8","facebook.com","7101 S 3rd St, Broken Arrow, OK 74011","null","null","https://lh5.googleusercontent.com/p/AF1QipOutGI8fg4Io6B4XdgteRQtna4jMiZlECxM_OCl=w426-h240-k-no","null"
"1654805747-1051","https://www.google.com/maps/place/Haikey+Creek+Park/@36.113094,-97.1014537,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m5!1s0x87b68efc79f13f93:0xd6748785d4878a17!8m2!3d35.9918271!4d-95.8526659!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU00TUVwbU5VOUJFQUU","Haikey Creek Park","4.5","parks.tulsacounty.org","11327 S Garnett Rd, Broken Arrow, OK 74011","null","null","https://lh5.googleusercontent.com/p/AF1QipPTavXIXY8cGgy81eZbFl3M7Ugy2pC8GAA2W6th=w408-h544-k-no","null"
"1654805737-1050","https://www.google.com/maps/place/Haikey+Creek+Park/@36.113094,-97.1014537,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m6!1s0x87b68efc79f13f93:0xd6748785d4878a17!8m2!3d35.9918271!4d-95.8526659!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU00TUVwbU5VOUJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Vast county park boasting picnic area & playgrounds, plus an 18-hole championship disc golf course."
"1654805696-1046","https://www.google.com/maps/place/Charleston's+Restaurant/@36.0542704,-95.8467378,13z/data=!4m10!1m2!2m1!1sfood+in+broken+arrow+ok!3m6!1s0x87b68bb38bf1c779:0x6421c059928bf899!8m2!3d36.0694444!4d-95.7894444!10e1!15sChdmb29kIGluIGJyb2tlbiBhcnJvdyBva1oZIhdmb29kIGluIGJyb2tlbiBhcnJvdyBva5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Relaxed hangout serving classic pub fare, such as burgers, ribs & tenders, plus wine & cocktails."
"1654805757-1052","https://www.google.com/maps/place/Ray+Harral+Nature+Park+%26+Center/@36.113094,-97.1014537,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m6!1s0x87b688e58950f02b:0x36c65ff79924c634!8m2!3d35.984247!4d-95.786704!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5Y2t4WFN6ZDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","40-acre park with a peaceful feel, an on-site nature center, picnic facilities & fishing."
"1654805778-1054","https://www.google.com/maps/place/The+Museum+Broken+Arrow/@36.113094,-97.1014537,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m6!1s0x87b68bc2e3a21433:0xe2ed22ebd025c723!8m2!3d36.0492032!4d-95.7911229!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQ5oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOak0ySkVOWEJuUlJBQg","null","null","null","null","Accessibility    Assisted listening devices   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   Restroom   Restaurant","null","Museum displaying local & regional history via artifacts, special exhibits & various events."
"1654805706-1047","https://www.google.com/maps/place/Charleston's+Restaurant/@36.0542704,-95.8467378,13z/data=!4m9!1m2!2m1!1sfood+in+broken+arrow+ok!3m5!1s0x87b68bb38bf1c779:0x6421c059928bf899!8m2!3d36.0694444!4d-95.7894444!15sChdmb29kIGluIGJyb2tlbiBhcnJvdyBva1oZIhdmb29kIGluIGJyb2tlbiBhcnJvdyBva5IBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Charleston's Restaurant","4.5","charlestons.com","251 E Hillside Dr, Broken Arrow, OK 74012","null","null","https://lh5.googleusercontent.com/p/AF1QipMyNFQH6RujsVQlYKpvormTqpSWpy9BWvMnU8BO=w408-h306-k-no","null"
"1654805788-1055","https://www.google.com/maps/place/The+Museum+Broken+Arrow/@36.113094,-97.1014537,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m5!1s0x87b68bc2e3a21433:0xe2ed22ebd025c723!8m2!3d36.0492032!4d-95.7911229!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQ5oaXN0b3J5X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOak0ySkVOWEJuUlJBQg","The Museum Broken Arrow","4.7","brokenarrowmuseum.org","400 S Main St, Broken Arrow, OK 74012","null","null","https://lh5.googleusercontent.com/p/AF1QipN7XpSCgmA8ZLxLdSilRtkQQ0aP7St_0x1POLJ8=w426-h240-k-no","null"
"1654805726-1049","https://www.google.com/maps/place/Events+Park/@36.113094,-97.1014537,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m5!1s0x87b689e89116e97f:0xe67091ed42dcf275!8m2!3d36.021015!4d-95.741392!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJaT0U1VFJVeG5FQUU","Events Park","4.5","brokenarrowok.gov","21101 E 101st St, Broken Arrow, OK 74014","null","null","https://lh5.googleusercontent.com/p/AF1QipOOSxVwdwoVKg_A9zrazSuVgTXAHna0BcKNiLqh=w426-h240-k-no","null"
"1654805716-1048","https://www.google.com/maps/place/Events+Park/@36.113094,-97.1014537,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+broken+arrow+ok!3m6!1s0x87b689e89116e97f:0xe67091ed42dcf275!8m2!3d36.021015!4d-95.741392!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gYnJva2VuIGFycm93IG9rWiEiH3RoaW5ncyB0byBkbyBpbiBicm9rZW4gYXJyb3cgb2uSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJaT0U1VFJVeG5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","165-acre community park offering extensive lawns & mature trees as well as lake fishing."
