web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654805965-1057","https://www.google.com/maps/place/RibCrib+BBQ/@34.6106494,-98.4638206,13z/data=!4m9!1m2!2m1!1sfood+in+lawton+ok!3m5!1s0x87ad1ee44246c193:0x100285b82338438!8m2!3d34.6221531!4d-98.425699!15sChFmb29kIGluIGxhd3RvbiBva1oTIhFmb29kIGluIGxhd3RvbiBva5IBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","RibCrib BBQ","4.3","ribcrib.com","2502 NW Cache Rd A, Lawton, OK 73505","null","null","https://lh5.googleusercontent.com/p/AF1QipOWuUT8-TKlCbRnSLmlN9yq3H19rUD5q-eZzOaW=w408-h306-k-no","null"
"1654805955-1056","https://www.google.com/maps/place/RibCrib+BBQ/@34.6106494,-98.4638206,13z/data=!4m10!1m2!2m1!1sfood+in+lawton+ok!3m6!1s0x87ad1ee44246c193:0x100285b82338438!8m2!3d34.6221531!4d-98.425699!10e1!15sChFmb29kIGluIGxhd3RvbiBva1oTIhFmb29kIGluIGxhd3RvbiBva5IBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Barbecue chain dishing up ribs, brisket, sandwiches & sides in a laid-back setting."
"1654805996-1060","https://www.google.com/maps/place/Elmer+Thomas+Park/@34.6889439,-98.6687597,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawton+ok!3m6!1s0x87ad192ac30bb1df:0xde0248e40e25c305!8m2!3d34.6193416!4d-98.3951638!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTTB4WGRXbEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This park features a playground, a splash pad, a covered picnic area, restrooms, a pond & more."
"1654806017-1062","https://www.google.com/maps/place/Historic+Mattie+Beal+Home/@34.6670097,-98.7662975,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawton+ok!3m6!1s0x87ad18caa2139ec3:0x19ea22ac859408d4!8m2!3d34.5955813!4d-98.3947729!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQ1oaXN0b3JpY19zaXRlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oZFMwdFUzTkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Built 1907–1909, this restored neoclassical house with 14 rooms offers self-guided tours & events."
"1654806037-1064","https://www.google.com/maps/place/Museum+of+the+Great+Plains/@34.6670097,-98.7662975,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawton+ok!3m6!1s0x87ad1f2ab678391f:0x409b33849b17bab5!8m2!3d34.617559!4d-98.397868!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBiVkJFVlMxQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Interactive museum charting interior US history, with an 1830s trading post, schoolhouse & depot."
"1654806027-1063","https://www.google.com/maps/place/Historic+Mattie+Beal+Home/@34.6670097,-98.7662975,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lawton+ok!3m5!1s0x87ad18caa2139ec3:0x19ea22ac859408d4!8m2!3d34.5955813!4d-98.3947729!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQ1oaXN0b3JpY19zaXRlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oZFMwdFUzTkJSUkFC","Historic Mattie Beal Home","4.6","lawtonheritage.org","1008 SW 5th St, Lawton, OK 73501","null","null","https://lh5.googleusercontent.com/p/AF1QipP1fEj_SPN9YBqj2YmSZfqMK0kvw-f_3IgpJ6Q4=w426-h240-k-no","null"
"1654805986-1059","https://www.google.com/maps/place/Comanche+Nation+Waterpark/@34.6889439,-98.6687597,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lawton+ok!3m5!1s0x87ad18dc34652e49:0x9716db9f57975968!8m2!3d34.614341!4d-98.378288!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5WZGs5SFRVMUJFQUU","Comanche Nation Waterpark","3.9","facebook.com","501 NE Lawrie Tatum Rd, Lawton, OK 73507","null","null","https://lh5.googleusercontent.com/p/AF1QipOVsQlEg4pdDannYzEtvbfrpveAxoTa1BW2l7qp=w408-h544-k-no","null"
"1654805976-1058","https://www.google.com/maps/place/Comanche+Nation+Waterpark/@34.6889439,-98.6687597,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+lawton+ok!3m6!1s0x87ad18dc34652e49:0x9716db9f57975968!8m2!3d34.614341!4d-98.378288!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5WZGs5SFRVMUJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This family-friendly park features multistory waterslides, a lazy river, wave pool & picnic area."
"1654806047-1065","https://www.google.com/maps/place/Museum+of+the+Great+Plains/@34.6670097,-98.7662975,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lawton+ok!3m5!1s0x87ad1f2ab678391f:0x409b33849b17bab5!8m2!3d34.617559!4d-98.397868!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBiVkJFVlMxQlJSQUI","Museum of the Great Plains","4.7","discovermgp.org","601 NW Ferris Ave, Lawton, OK 73507","null","null","https://lh5.googleusercontent.com/p/AF1QipPpj7witBAF-cKQ94X0Em_i4hLskcQIN64MU9sl=w425-h240-k-no","null"
"1654806006-1061","https://www.google.com/maps/place/Elmer+Thomas+Park/@34.6670097,-98.7662975,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+lawton+ok!3m5!1s0x87ad192ac30bb1df:0xde0248e40e25c305!8m2!3d34.6193416!4d-98.3951638!15sChl0aGluZ3MgdG8gZG8gaW4gbGF3dG9uIG9rWhsiGXRoaW5ncyB0byBkbyBpbiBsYXd0b24gb2uSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5YTTB4WGRXbEJSUkFC","Elmer Thomas Park","4.6","lawtonok.gov","501 NW Ferris Ave, Lawton, OK 73507","null","null","https://lh5.googleusercontent.com/p/AF1QipPyzYsR8Kb5DjNZNDfvHPVs_HSVj-Io0M95SCji=w408-h306-k-no","null"
