web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654805515-1042","https://www.google.com/maps/place/Honor+Heights+Park/@36.1191156,-97.1012286,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m6!1s0x87b5dfbf730bbdcd:0x34e1bb103d82209f!8m2!3d35.7681671!4d-95.4182835!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhhRFZFUWsxbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","122-acre arboretum & botanical garden offering trails, a recreational area & an azalea festival."
"1654805536-1044","https://www.google.com/maps/place/Three+Rivers+Museum/@36.1191156,-97.1012286,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m6!1s0x87b5e0f346a2386d:0x3e022f1735637e01!8m2!3d35.7459153!4d-95.3726034!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBFGxvY2FsX2hpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50ZVdGWFdXcEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Museum dedicated to local history, with rotating food trucks in the parking lot every Thursday."
"1654805454-1036","https://www.google.com/maps/place/Amish+Country+Store+%26+Restaurant/@35.7791254,-95.4338979,14z/data=!4m10!1m2!2m1!1sfood+in+muskogee+ok!3m6!1s0x87b5dfe7a555ce1d:0xf4b1cb3a68497df0!8m2!3d35.7791254!4d-95.4021044!10e1!15sChNmb29kIGluIG11c2tvZ2VlIG9rWhUiE2Zvb2QgaW4gbXVza29nZWUgb2uSAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Quaint establishment offering hearty, traditional comfort fare, plus baked goods, candy & snacks."
"1654805505-1041","https://www.google.com/maps/place/River+Country+Water+Park/@36.1191156,-97.1012286,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m5!1s0x87b5de327a7bb72f:0xd54d7cdaed10fe55!8m2!3d35.747752!4d-95.4069085!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBCndhdGVyX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhMVFV6UVhoblJSQUI","River Country Water Park","4.3","cms7.revize.com","3600 Arline Ave, Muskogee, OK 74401","null","null","https://lh5.googleusercontent.com/p/AF1QipNNY2VLnErVMpnm0UU1TSX2YdI2_xcgvlDU_XMF=w408-h306-k-no","null"
"1654805464-1037","https://www.google.com/maps/place/Amish+Country+Store+%26+Restaurant/@35.7625623,-95.3952836,14.14z/data=!4m9!1m2!2m1!1sfood+in+muskogee+ok!3m5!1s0x87b5dfe7a555ce1d:0xf4b1cb3a68497df0!8m2!3d35.7791254!4d-95.4021044!15sChNmb29kIGluIG11c2tvZ2VlIG9rWhUiE2Zvb2QgaW4gbXVza29nZWUgb2uSAQpyZXN0YXVyYW50","Amish Country Store & Restaurant","4.4","amishcountrystoreok.com","2410 N 32nd St, Muskogee, OK 74401","null","null","https://lh5.googleusercontent.com/p/AF1QipPXlhXMcVK1ZhUBiErbG0F6FI13p-xsG2VQhjAE=w426-h240-k-no","null"
"1654805495-1040","https://www.google.com/maps/place/River+Country+Water+Park/@36.1191156,-97.1012286,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m6!1s0x87b5de327a7bb72f:0xd54d7cdaed10fe55!8m2!3d35.747752!4d-95.4069085!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBCndhdGVyX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmhMVFV6UVhoblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Large seasonal attraction with a lazy river & body slides, plus play areas for tots & volleyball."
"1654805474-1038","https://www.google.com/maps/place/Five+Civilized+Tribes+Museum/@36.1191156,-97.1012286,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m6!1s0x87b5dfc70e9e87a9:0x7b4ba77b53c77d3c!8m2!3d35.7664717!4d-95.4144862!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oZEMxUVJFTlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum in a historic 19th-c. building, dedicated to the art & culture of 5 Native American tribes."
"1654805546-1045","https://www.google.com/maps/place/Three+Rivers+Museum/@36.1191156,-97.1012286,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m5!1s0x87b5e0f346a2386d:0x3e022f1735637e01!8m2!3d35.7459153!4d-95.3726034!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBFGxvY2FsX2hpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50ZVdGWFdXcEJSUkFC","Three Rivers Museum","4.6","3riversmuseum.com","220 Elgin St, Muskogee, OK 74401","null","null","https://lh5.googleusercontent.com/p/AF1QipNonkgua5d5snjNHULO-vnShX4KDntgCbcZoO2x=w408-h306-k-no","null"
"1654805484-1039","https://www.google.com/maps/place/Five+Civilized+Tribes+Museum/@36.1191156,-97.1012286,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m5!1s0x87b5dfc70e9e87a9:0x7b4ba77b53c77d3c!8m2!3d35.7664717!4d-95.4144862!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oZEMxUVJFTlJFQUU","Five Civilized Tribes Museum","4.4","fivetribes.org","1101 Honor Heights Dr, Muskogee, OK 74401","null","null","https://lh5.googleusercontent.com/p/AF1QipO_IBXe7X-hlfnxNhCqiu-Q6x7Pr9iDm2b7OHT_=w408-h499-k-no","null"
"1654805525-1043","https://www.google.com/maps/place/Honor+Heights+Park/@36.1191156,-97.1012286,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+muskogee++ok!3m5!1s0x87b5dfbf730bbdcd:0x34e1bb103d82209f!8m2!3d35.7681671!4d-95.4182835!15sChx0aGluZ3MgdG8gZG8gaW4gbXVza29nZWUgIG9rWh0iG3RoaW5ncyB0byBkbyBpbiBtdXNrb2dlZSBva5IBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnhhRFZFUWsxbkVBRQ","Honor Heights Park","4.7","muskogeeparks.com","1400 Honor Heights Dr, Muskogee, OK 74401","null","null","https://lh5.googleusercontent.com/p/AF1QipMD_SGH37Qcdto4B83PUHAzdQ17fIpEcnL9RPzw=w408-h544-k-no","null"
