web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654804981-1017","https://www.google.com/maps/place/Kitchen+No.+324/@35.4781,-97.7041794,11z/data=!3m1!5s0x87b2172f04b96ec1:0x2724b7a0d056c273!4m9!1m2!2m1!1sfood+in+oklahoma+city+ok!3m5!1s0x87b2172e5dd741a9:0xa985307a6ba47860!8m2!3d35.470696!4d-97.5161347!15sChhmb29kIGluIG9rbGFob21hIGNpdHkgb2taGiIYZm9vZCBpbiBva2xhaG9tYSBjaXR5IG9rkgETYW1lcmljYW5fcmVzdGF1cmFudA","Kitchen No. 324","4.5","kitchen324.com","324 N Robinson Ave, Oklahoma City, OK 73102","null","null","https://lh5.googleusercontent.com/p/AF1QipMMMp0PkIU1a5K32JDLD4H8lGnMCjQRhlgXDDAE=w408-h271-k-no","null"
"1654804971-1016","https://www.google.com/maps/place/Kitchen+No.+324/@35.4781,-97.7041794,11z/data=!3m1!5s0x87b2172f04b96ec1:0x2724b7a0d056c273!4m10!1m2!2m1!1sfood+in+oklahoma+city+ok!3m6!1s0x87b2172e5dd741a9:0xa985307a6ba47860!8m2!3d35.470696!4d-97.5161347!10e1!15sChhmb29kIGluIG9rbGFob21hIGNpdHkgb2taGiIYZm9vZCBpbiBva2xhaG9tYSBjaXR5IG9rkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Industrial cafe/bakery in a historic building preparing elevated comfort fare & artisanal sweets."
"1654804991-1018","https://www.google.com/maps/place/Oklahoma+City+Museum+of+Art/@35.4855581,-97.8041991,10z/data=!3m1!5s0x87b2172c3e439eab:0xde4507012332aaf0!4m10!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m6!1s0x87b2172c3e3fffff:0x86072a64844a674a!8m2!3d35.4695638!4d-97.5205029!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRiMlpIVUZsbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","American art from the colonial era to 1960, plus European paintings & contemporary exhibitions."
"1654805063-1025","https://www.google.com/maps/place/Oklahoma+City+National+Memorial+%26+Museum/@35.4855581,-97.8041991,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m2!1s0x87b2172e2e45cdab:0x4053cf454d77320f!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE9IWjFWM1ZCUlJBQg","Oklahoma City National Memorial & Museum","4.9","memorialmuseum.com","620 N Harvey Ave, Oklahoma City, OK 73102","null","null","https://lh5.googleusercontent.com/p/AF1QipOs0Ip0n0wGvt88jxbCjnrEEE-94VWlfvst8yG5=w408-h261-k-no","null"
"1654805022-1021","https://www.google.com/maps/place/Oklahoma+City+Zoo/@35.4855581,-97.8041991,10z/data=!3m1!5s0x87b21830e4d13b59:0x3c68cb42afc7290d!4m9!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m5!1s0x87bae083e119f183:0x4592e538fc95a1fa!8m2!3d35.5238895!4d-97.4724932!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGJVeGlWV0ZCRUFF","Oklahoma City Zoo","4.5","okczoo.org","2000 Remington Pl, Oklahoma City, OK 73111","null","null","https://lh5.googleusercontent.com/p/AF1QipOYQQ_Hf-xJey6nq5um_g22BlbkUPB7Es2pS5HZ=w408-h306-k-no","null"
"1654805052-1024","https://www.google.com/maps/place/Oklahoma+City+National+Memorial+%26+Museum/@35.4855581,-97.8041991,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m6!1s0x87b2172e2e45cdab:0x4053cf454d77320f!8m2!3d35.4731496!4d-97.5170593!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSE9IWjFWM1ZCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","A garden, pool & sculptural memorial commemorating victims of the 1995 Murrah Building bombing."
"1654805042-1023","https://www.google.com/maps/place/National+Cowboy+%26+Western+Heritage+Museum/@35.4855581,-97.8041991,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m5!1s0x87b219b49d1ee743:0x434de24e4aeb12cd!8m2!3d35.535713!4d-97.483349!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBD2hlcml0YWdlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE0wdERPV0puRUFF","National Cowboy & Western Heritage Museum","4.8","nationalcowboymuseum.org","1700 NE 63rd St, Oklahoma City, OK 73111","null","null","https://lh5.googleusercontent.com/p/AF1QipNpS6aC2KNbS96Oai3feCsZffY5tXeZzZXWv_bH=w408-h480-k-no","null"
"1654805001-1019","https://www.google.com/maps/place/Oklahoma+City+Museum+of+Art/@35.4855581,-97.8041991,10z/data=!3m1!5s0x87b2172c3e439eab:0xde4507012332aaf0!4m9!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m5!1s0x87b2172c3e3fffff:0x86072a64844a674a!8m2!3d35.4695638!4d-97.5205029!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBCmFydF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnRiMlpIVUZsbkVBRQ","Oklahoma City Museum of Art","4.7","okcmoa.com","415 Couch Dr, Oklahoma City, OK 73102","null","null","https://lh5.googleusercontent.com/p/AF1QipNmuiNIa-mj63D3FFOMTOznUH_GSiPYIyvcL0Z7=w408-h291-k-no","null"
"1654805011-1020","https://www.google.com/maps/place/Oklahoma+City+Zoo/@35.4855581,-97.8041991,10z/data=!3m1!5s0x87b21830e4d13b59:0x3c68cb42afc7290d!4m10!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m6!1s0x87bae083e119f183:0x4592e538fc95a1fa!8m2!3d35.5238895!4d-97.4724932!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOWGJVeGlWV0ZCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","Zoo with an array of animals, plus walking trails, shows & attractions such as train tours."
"1654805032-1022","https://www.google.com/maps/place/National+Cowboy+%26+Western+Heritage+Museum/@35.4855581,-97.8041991,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+oklahoma+city+ok!3m6!1s0x87b219b49d1ee743:0x434de24e4aeb12cd!8m2!3d35.535713!4d-97.483349!10e1!15sCiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva1oiIiB0aGluZ3MgdG8gZG8gaW4gb2tsYWhvbWEgY2l0eSBva5IBD2hlcml0YWdlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE0wdERPV0puRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Dioramas, artifacts, art & more documenting & interpreting the history of the American West."
