web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654805281-1027","https://www.google.com/maps/place/Tally's+Good+Food+Caf%C3%A9/@36.1104731,-96.0676295,11z/data=!4m9!1m2!2m1!1sfood+in+tulsa+ok!3m5!1s0x87b6ed125902cd5d:0xe0b8e9361ec87098!8m2!3d36.147588!4d-95.922763!15sChBmb29kIGluIHR1bHNhIG9rWhIiEGZvb2QgaW4gdHVsc2Egb2uSAQVkaW5lcg","Tally's Good Food Café","4.3","tallyscafe.com","1102 S Yale Ave, Tulsa, OK 74112","null","null","https://lh5.googleusercontent.com/p/AF1QipNsDktFd-QtdRCaEuYpb31p3NbCpBKAcom4c7yJ=w408-h253-k-no","null"
"1654805343-1033","https://www.google.com/maps/place/Center+of+the+Universe/@36.1218992,-96.2591923,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m5!1s0x87b6eb82821d7b43:0xa2fbfaea775fca17!8m2!3d36.1568986!4d-95.9915366!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15ZW1NemRWaEJFQUU","Center of the Universe","4.4","null","1 S Boston Ave, Tulsa, OK 74103","null","null","https://lh5.googleusercontent.com/p/AF1QipNfvvu-THz689djE0ySGuDKWgXL5mszO3iMefLe=w408-h306-k-no","null"
"1654805333-1032","https://www.google.com/maps/place/Center+of+the+Universe/@36.1218992,-96.2591923,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m6!1s0x87b6eb82821d7b43:0xa2fbfaea775fca17!8m2!3d36.1568986!4d-95.9915366!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgESdG91cmlzdF9hdHRyYWN0aW9umgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15ZW1NemRWaEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Mysterious spot where visitors stand on a circle & noises they make are echoed back much louder."
"1654805353-1034","https://www.google.com/maps/place/Philbrook+Museum+of+Art/@36.1218992,-96.2591923,10z/data=!3m1!5s0x87b6ecb0f5d73f8d:0x1771c8b32bbe3b70!4m10!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m6!1s0x87b6ecb05f2f5bd1:0x120e5884d709b012!8m2!3d36.1238549!4d-95.9700944!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJaYUVwMVZIaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Global collection of fine & decorative art in an ornate Italian Renaissance-style mansion & gardens."
"1654805363-1035","https://www.google.com/maps/place/Philbrook+Museum+of+Art/@36.1218992,-96.2591923,10z/data=!3m1!5s0x87b6ecb0f5d73f8d:0x1771c8b32bbe3b70!4m9!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m5!1s0x87b6ecb05f2f5bd1:0x120e5884d709b012!8m2!3d36.1238549!4d-95.9700944!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJaYUVwMVZIaFJSUkFC","Philbrook Museum of Art","4.8","philbrook.org","2727 S Rockford Rd, Tulsa, OK 74114","null","null","https://lh5.googleusercontent.com/p/AF1QipNOsUxW1jX_fsqPyvtb9e9eDqe4PwrBJ8S1N6tD=w408-h408-k-no","null"
"1654805302-1029","https://www.google.com/maps/place/Woodward+Park/@36.1218992,-96.2591923,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m5!1s0x87b6eca34467c1af:0xb3e477a3724a3705!8m2!3d36.1319247!4d-95.9736606!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeE1FdDVTV0puRUFF","Woodward Park","4.7","tulsagardencenter.org","2435 S Peoria Ave, Tulsa, OK 74114","null","null","https://lh5.googleusercontent.com/p/AF1QipONLgdk1mg23IjzI8YEjouDVtYiw5Y-wUhVDi5t=w408-h272-k-no","null"
"1654805271-1026","https://www.google.com/maps/place/Tally's+Good+Food+Caf%C3%A9/@36.1104731,-96.0676295,11z/data=!4m10!1m2!2m1!1sfood+in+tulsa+ok!3m6!1s0x87b6ed125902cd5d:0xe0b8e9361ec87098!8m2!3d36.147588!4d-95.922763!10e1!15sChBmb29kIGluIHR1bHNhIG9rWhIiEGZvb2QgaW4gdHVsc2Egb2uSAQVkaW5lcg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Retro Route 66 diner with daily specials, an extensive menu & morning-to-night operating hours."
"1654805322-1031","https://www.google.com/maps/place/Tulsa+Air+and+Space+Museum+%26+Planetarium/@36.1218992,-96.2591923,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m5!1s0x87b6f1ff1914d523:0xeaf91961860e91c6!8m2!3d36.2067435!4d-95.8957201!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZFRaVGJXNUJSUkFC","Tulsa Air and Space Museum & Planetarium","4.3","tulsamuseum.org","3624 N 74th E Ave, Tulsa, OK 74115","null","null","https://lh5.googleusercontent.com/p/AF1QipOZ32ShBVJTmXot3R2njjOUNHM_jeI2Zak-IG23=w426-h240-k-no","null"
"1654805292-1028","https://www.google.com/maps/place/Woodward+Park/@36.1218992,-96.2591923,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m6!1s0x87b6eca34467c1af:0xb3e477a3724a3705!8m2!3d36.1319247!4d-95.9736606!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSeE1FdDVTV0puRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","45 acres of horticultural gardens (rock, herb, rose & azalea), a Victorian conservatory & arboretum."
"1654805312-1030","https://www.google.com/maps/place/Tulsa+Air+and+Space+Museum+%26+Planetarium/@36.1218992,-96.2591923,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+tulsa+ok!3m6!1s0x87b6f1ff1914d523:0xeaf91961860e91c6!8m2!3d36.2067435!4d-95.8957201!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gdHVsc2Egb2taGiIYdGhpbmdzIHRvIGRvIGluIHR1bHNhIG9rkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZFRaVGJXNUJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Detailed history from 1897 to the space age plus interactive exhibits, vintage aircraft & a theater."
