web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654804138-990","https://www.google.com/maps/place/Sun+Mountain+Fun+Center/@44.0478552,-124.2185142,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bend+oregon!3m6!1s0x54b8c8cbbbbd090d:0xc2a86a62b0f84c5d!8m2!3d44.0847192!4d-121.3019177!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEQYW11c2VtZW50X2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVTMU1hMWgzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Indoor-outdoor amusement center with go-karts, bowling, mini-golf, bumper cars, billiards & more."
"1654804117-988","https://www.google.com/maps/place/Deschutes+Historical+Museum/@44.0847192,-123.5431286,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bend+oregon!3m6!1s0x54b8c629ba302ad5:0x70cabae41bf58634!8m2!3d44.0553497!4d-121.3171217!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYldaTWFHbDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Housed in a 1914 school, this museum offers exhibits on regional history, artifacts & events."
"1654804107-987","https://www.google.com/maps/place/Jackson's+Corner/@44.0734687,-121.3440514,13z/data=!4m9!1m2!2m1!1sfood+in+bend+oregon!3m5!1s0x54b8c62bdc61ea2f:0xdf5b6ad3427191e9!8m2!3d44.0530152!4d-121.3185706!15sChNmb29kIGluIGJlbmQgb3JlZ29uWhUiE2Zvb2QgaW4gYmVuZCBvcmVnb26SAQpyZXN0YXVyYW50","Jackson's Corner","4.6","jacksonscornerbend.com","845 NW Delaware Ave, Bend, OR 97701","null","null","https://lh5.googleusercontent.com/p/AF1QipOw_VIJH0D6oii0HkIoQ1-mjNcRSvA3ssGR0pxQ=w408-h614-k-no","null"
"1654804128-989","https://www.google.com/maps/place/Deschutes+Historical+Museum/@44.0847192,-123.5431286,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bend+oregon!3m5!1s0x54b8c629ba302ad5:0x70cabae41bf58634!8m2!3d44.0553497!4d-121.3171217!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYldaTWFHbDNSUkFC","Deschutes Historical Museum","4.6","deschuteshistory.org","129 NW Idaho Ave, Bend, OR 97701","null","null","https://lh5.googleusercontent.com/p/AF1QipOsUtC3d8HHlyH10ruYo6FgniUOfeULSAA_lPqh=w408-h254-k-no","null"
"1654804169-993","https://www.google.com/maps/place/Drake+Park/@44.0478552,-124.2185142,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bend+oregon!3m5!1s0x54b8c882e0687fd1:0x7325468a652d4deb!8m2!3d44.059025!4d-121.318238!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSaE1FbE1WMk4zRUFF","Drake Park","4.7","bendparksandrec.org","777 NW Riverside Blvd, Bend, OR 97701","null","null","https://lh5.googleusercontent.com/p/AF1QipP0wSZHh-jvzn98MsgnzBN7gLIagkuBKIU2Ri3O=w408-h306-k-no","null"
"1654804097-986","https://www.google.com/maps/place/Jackson's+Corner/@44.0734687,-121.3440514,13z/data=!4m10!1m2!2m1!1sfood+in+bend+oregon!3m6!1s0x54b8c62bdc61ea2f:0xdf5b6ad3427191e9!8m2!3d44.0530152!4d-121.3185706!10e1!15sChNmb29kIGluIGJlbmQgb3JlZ29uWhUiE2Zvb2QgaW4gYmVuZCBvcmVnb26SAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Easygoing all-day stop for local, seasonal meals with sidewalk seating & a kids' play structure."
"1654804158-992","https://www.google.com/maps/place/Drake+Park/@44.0478552,-124.2185142,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bend+oregon!3m6!1s0x54b8c882e0687fd1:0x7325468a652d4deb!8m2!3d44.059025!4d-121.318238!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSaE1FbE1WMk4zRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","13-acre retreat offering a pond, picnic tables, an outdoor stage & nesting great horned owls."
"1654804189-995","https://www.google.com/maps/place/High+Desert+Museum/@44.0478552,-124.2185142,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bend+oregon!3m5!1s0x54b8bf2d95aa161f:0xd18b4cb8534a85cc!8m2!3d43.9663999!4d-121.3414572!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTWxCVFRteDNSUkFC","High Desert Museum","4.8","highdesertmuseum.org","59800 US-97, Bend, OR 97702","null","null","https://lh5.googleusercontent.com/p/AF1QipND3m2B826yRleX7h3KnDfqISi0Qd0HJRFaMya5=w408-h306-k-no","null"
"1654804148-991","https://www.google.com/maps/place/Sun+Mountain+Fun+Center/@44.0847192,-123.5431286,8z/data=!4m9!1m2!2m1!1sthings+to+do+in+bend+oregon!3m5!1s0x54b8c8cbbbbd090d:0xc2a86a62b0f84c5d!8m2!3d44.0847192!4d-121.3019177!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEQYW11c2VtZW50X2NlbnRlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVTMU1hMWgzRUFF","Sun Mountain Fun Center","4.3","sunmountainfun.com","300 NE Bend River Mall Dr, Bend, OR 97703","null","null","https://lh5.googleusercontent.com/p/AF1QipMHdwBloBTmFnFBccMl-hk0KnXE2aGPsHrhdR9J=w408-h725-k-no","null"
"1654804179-994","https://www.google.com/maps/place/High+Desert+Museum/@44.0478552,-124.2185142,8z/data=!4m10!1m2!2m1!1sthings+to+do+in+bend+oregon!3m6!1s0x54b8bf2d95aa161f:0xd18b4cb8534a85cc!8m2!3d43.9663999!4d-121.3414572!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gYmVuZCBvcmVnb25aHSIbdGhpbmdzIHRvIGRvIGluIGJlbmQgb3JlZ29ukgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTWxCVFRteDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Hands-on, kid-friendly museum showcasing the natural & cultural history of Eastern Oregon."
