web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654803887-978","https://www.google.com/maps/place/Shelton+McMurphey+Johnson+House/@44.0512182,-123.3766733,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m6!1s0x54c11e0df18e1517:0x3e32a9d21ce3c983!8m2!3d44.0564056!4d-123.0921489!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdk1FMTVkM0pCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Castle-like Victorian mansion built in 1888 offering regular tours & holiday formal teas."
"1654803897-979","https://www.google.com/maps/place/Shelton+McMurphey+Johnson+House/@44.0512182,-123.3766733,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m5!1s0x54c11e0df18e1517:0x3e32a9d21ce3c983!8m2!3d44.0564056!4d-123.0921489!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdk1FMTVkM0pCUlJBQg","Shelton McMurphey Johnson House","4.5","smjhouse.org","303 Willamette St, Eugene, OR 97401","null","null","https://lh5.googleusercontent.com/p/AF1QipPrKwVWxerm8h3Yw0eUxUWM-V2kURAuISUOS6Wb=w408-h272-k-no","null"
"1654803867-976","https://www.google.com/maps/place/Cornucopia+Restaurant/@44.0666903,-123.1304408,13z/data=!4m10!1m2!2m1!1sfood+in+eugene+oregon!3m6!1s0x54c11e431a0d724f:0x8433b6d317868073!8m2!3d44.0413012!4d-123.0967891!10e1!15sChVmb29kIGluIGV1Z2VuZSBvcmVnb25aFyIVZm9vZCBpbiBldWdlbmUgb3JlZ29ukgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Casual American spot serving big burgers & sandwiches in a converted house with a beer garden."
"1654803938-983","https://www.google.com/maps/place/Eugene+Science+Center/@44.0512182,-123.3766733,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m5!1s0x54c11e1e960caa19:0xd40e1f1e89bb91d7!8m2!3d44.0565251!4d-123.0727146!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yZUUxdVh6UlJSUkFC","Eugene Science Center","4.1","eugenesciencecenter.org","2300 Leo Harris Pkwy, Eugene, OR 97401","null","null","https://lh5.googleusercontent.com/p/AF1QipOfrDz4WOdGL5VwvPsi-UJtMewqex92ZROM39YA=w611-h240-k-no","null"
"1654803959-985","https://www.google.com/maps/place/Hendricks+Park/@44.0512182,-123.3766733,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m5!1s0x54c11fcc6708bcb1:0x6e438961f1bc00fe!8m2!3d44.0353374!4d-123.0587689!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhNalJIVkVKM0VBRQ","Hendricks Park","4.7","eugene-or.gov","Summit Ave &, Skyline Blvd, Eugene, OR 97403","null","null","https://lh5.googleusercontent.com/p/AF1QipMr_kd-We32aSeRNvJtQ-lzpKXKB38HaUsDNaDg=w408-h306-k-no","null"
"1654803949-984","https://www.google.com/maps/place/Hendricks+Park/@44.0512182,-123.3766733,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m6!1s0x54c11fcc6708bcb1:0x6e438961f1bc00fe!8m2!3d44.0353374!4d-123.0587689!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhNalJIVkVKM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Eugene's oldest city park, featuring hiking trails, picnic tables & 200-year-old Douglas fir trees."
"1654803918-981","https://www.google.com/maps/place/Alton+Baker+Park/@44.0512182,-123.3766733,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m5!1s0x54c11e208afa7af9:0x8fe06653c480e460!8m2!3d44.0528495!4d-123.0672072!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxiR1ZFTVdOM0VBRQ","Alton Baker Park","4.5","eugene-or.gov","100 Day Island Rd, Eugene, OR 97401","null","null","https://lh5.googleusercontent.com/p/AF1QipNzhZy--MvvMh-HyCfEY2hixjNbXR7Bw3JaH0_A=w408-h306-k-no","null"
"1654803877-977","https://www.google.com/maps/place/Cornucopia+Restaurant/@44.0666903,-123.1304408,13z/data=!4m9!1m2!2m1!1sfood+in+eugene+oregon!3m5!1s0x54c11e431a0d724f:0x8433b6d317868073!8m2!3d44.0413012!4d-123.0967891!15sChVmb29kIGluIGV1Z2VuZSBvcmVnb25aFyIVZm9vZCBpbiBldWdlbmUgb3JlZ29ukgEKcmVzdGF1cmFudA","Cornucopia Restaurant","4.4","cornucopiaeugene.com","295 W 17th Ave, Eugene, OR 97401","null","null","https://lh5.googleusercontent.com/p/AF1QipP7ugUjvHW1I4A98bMpkTU1TTgAdFdSMekaHaqR=w408-h272-k-no","null"
"1654803928-982","https://www.google.com/maps/place/Eugene+Science+Center/@44.0512182,-123.3766733,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m6!1s0x54c11e1e960caa19:0xd40e1f1e89bb91d7!8m2!3d44.0565251!4d-123.0727146!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBDnNjaWVuY2VfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yZUUxdVh6UlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Kid-focused museum featuring rotating hands-on science exhibits & a planetarium."
"1654803908-980","https://www.google.com/maps/place/Alton+Baker+Park/@44.0512182,-123.3766733,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+eugene+oregon!3m6!1s0x54c11e208afa7af9:0x8fe06653c480e460!8m2!3d44.0528495!4d-123.0672072!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvblofIh10aGluZ3MgdG8gZG8gaW4gZXVnZW5lIG9yZWdvbpIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxiR1ZFTVdOM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","This 373 acre park offers a boat launch, fishing, trails, a dog park, a playground & picnic sites."
