web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654804734-1013","https://www.google.com/maps/place/Oregon+Coast+Aquarium/@44.6176528,-124.6075555,10z/data=!4m10!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m5!1s0x54c1d7a7be7329a1:0xa2be442ac05a7956!8m2!3d44.6176528!4d-124.0472528!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQhhcXVhcml1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTmREVkhWMkZuRUFF","Oregon Coast Aquarium","4.3","aquarium.org","2820 SE Ferry Slip Rd, Newport, OR 97365","null","null","https://lh5.googleusercontent.com/p/AF1QipOnBvtTQQvFMEsCpQMTeNn01QKQm-LLn6QoVuWZ=w408-h306-k-no","null"
"1654804662-1006","https://www.google.com/maps/place/Bugatti's+Oregon+City/@45.3418152,-122.6124706,14z/data=!4m10!1m2!2m1!1sfood+in+oregon+city+oregon!3m6!1s0x549570d07c176f37:0x2a45f60716ebe8fb!8m2!3d45.336334!4d-122.5931846!10e1!15sChpmb29kIGluIG9yZWdvbiBjaXR5IG9yZWdvblocIhpmb29kIGluIG9yZWdvbiBjaXR5IG9yZWdvbpIBEml0YWxpYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Relaxed local Italian chain featuring a menu of pizza, pasta, classic entrees & burgers, plus a bar."
"1654804713-1011","https://www.google.com/maps/place/North+Clackamas+Aquatic+Park/@45.4311853,-123.1428911,10z/data=!4m10!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m5!1s0x5495759e2fc1beb7:0xd2ee85307a47e17a!8m2!3d45.4311855!4d-122.5826242!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oYkhacFZWVkJFQUU","North Clackamas Aquatic Park","4.4","ncprd.com","7300 SE Harmony Rd, Milwaukie, OR 97222","null","null","https://lh5.googleusercontent.com/p/AF1QipNocOv-PSAcbXx8FSyw3IQPwDp3E4UgwEaHpvhB=w408-h306-k-no","null"
"1654804693-1009","https://www.google.com/maps/place/Petersen+Rock+Garden+%26+Museum/@44.2033157,-121.8225479,10z/data=!4m10!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m5!1s0x54b8d2f237797db1:0xd6e882773bb2abc8!8m2!3d44.2033157!4d-121.2622452!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlNM1pwYVROUlJSQUI","Petersen Rock Garden & Museum","3.9","null","7930 SW 77th St, Redmond, OR 97756","null","null","https://lh5.googleusercontent.com/p/AF1QipMSYo-adi8UKpC5QwcyeNb5u7Cz2R5BluWimPoY=w408-h306-k-no","null"
"1654804703-1010","https://www.google.com/maps/place/North+Clackamas+Aquatic+Park/@45.4311853,-123.1428911,10z/data=!4m11!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m6!1s0x5495759e2fc1beb7:0xd2ee85307a47e17a!8m2!3d45.4311855!4d-122.5826242!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQp3YXRlcl9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oYkhacFZWVkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restroom   Restaurant","null","Wave pool, water slides & other attractions featured at an aquatic center with a rock wall too."
"1654804682-1008","https://www.google.com/maps/place/Petersen+Rock+Garden+%26+Museum/@44.2033157,-121.8225479,10z/data=!4m11!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m6!1s0x54b8d2f237797db1:0xd6e882773bb2abc8!8m2!3d44.2033157!4d-121.2622452!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlNM1pwYVROUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Storied gardens & museum featuring architectural structures composed of petrified wood, lava & rock."
"1654804672-1007","https://www.google.com/maps/place/Bugatti's+Oregon+City/@45.3418152,-122.6124706,14z/data=!4m9!1m2!2m1!1sfood+in+oregon+city+oregon!3m5!1s0x549570d07c176f37:0x2a45f60716ebe8fb!8m2!3d45.336334!4d-122.5931846!15sChpmb29kIGluIG9yZWdvbiBjaXR5IG9yZWdvblocIhpmb29kIGluIG9yZWdvbiBjaXR5IG9yZWdvbpIBEml0YWxpYW5fcmVzdGF1cmFudA","Bugatti's Oregon City","4.2","bugattisrestaurant.com","334 Warner Milne Rd, Oregon City, OR 97045","null","null","https://lh5.googleusercontent.com/p/AF1QipM7CPzpTwE521LRebxyhigOCihJh4idStgUh8Iu=w408-h544-k-no","null"
"1654804744-1014","https://www.google.com/maps/place/Champoeg+State+Heritage+Area/@45.248265,-123.4544557,10z/data=!4m11!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m6!1s0x549569d57c80bf55:0xdb2814ac002efb69!8m2!3d45.248265!4d-122.894153!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYZGpaaWFHWlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Long-gone pioneer town now home to a museum, campsites, cabins, yurts & pet-friendly hiking trails."
"1654804723-1012","https://www.google.com/maps/place/Oregon+Coast+Aquarium/@44.6176528,-124.6075555,10z/data=!4m11!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m6!1s0x54c1d7a7be7329a1:0xa2be442ac05a7956!8m2!3d44.6176528!4d-124.0472528!10e1!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQhhcXVhcml1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTmREVkhWMkZuRUFF","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible entrance","Amenities    Gender-neutral restroom   Good for kids","null","23-acre facility with northwestern birds & fish, seals, sea lions, jellyfish & a deepwater tank."
"1654804754-1015","https://www.google.com/maps/place/Champoeg+State+Heritage+Area/@45.248265,-123.4544557,10z/data=!4m10!1m3!2m2!1sthings+to+do+in+oregon+city+oregon!6e1!3m5!1s0x549569d57c80bf55:0xdb2814ac002efb69!8m2!3d45.248265!4d-122.894153!15sCiJ0aGluZ3MgdG8gZG8gaW4gb3JlZ29uIGNpdHkgb3JlZ29uWiQiInRoaW5ncyB0byBkbyBpbiBvcmVnb24gY2l0eSBvcmVnb26SAQpzdGF0ZV9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYZGpaaWFHWlJFQUU","Champoeg State Heritage Area","4.7","oregonstateparks.org","Champoeg State Heritage Area, St Paul, OR 97137","null","null","https://lh5.googleusercontent.com/p/AF1QipNLkuI5cdKTYY2wEp6h7rnxn29I5X78KkgMvI5T=w426-h240-k-no","null"
