web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654803409-956","https://www.google.com/maps/place/Screen+Door+Eastside/@45.5300527,-122.6734597,13z/data=!4m10!1m2!2m1!1sfood+in+portlandd+oregon!3m6!1s0x5495a0beac1053bb:0x8606af39a198e136!8m2!3d45.5230174!4d-122.6416249!10e1!15sChdmb29kIGluIHBvcnRsYW5kIG9yZWdvbloZIhdmb29kIGluIHBvcnRsYW5kIG9yZWdvbpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom","null","Refined Southern specialties like buttermilk-fried chicken in roomy digs offering weekend brunch."
"1654803490-964","https://www.google.com/maps/place/Pittock+Mansion/@45.5218369,-122.8110409,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+portland+oregon!3m6!1s0x549509920bd06f53:0xbfea2f6e1ea1c0fa!8m2!3d45.5252061!4d-122.7162689!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SARRsb2NhbF9oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSVGJ6UjVOMU5uRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Restaurant","null","23-room mansion from 1914 now a museum, featuring gardens, period furnishings & scenic views."
"1654803429-958","https://www.google.com/maps/place/Oregon+Zoo/@45.5218369,-122.8110409,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+portland+oregon!3m6!1s0x54950a2eb856b805:0xe7e720b09eddfc26!8m2!3d45.5100569!4d-122.7158264!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhPVFF0UjFkbkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","64-acre zoo featuring elephants, polar bears & other animal exhibits emphasizing conservation."
"1654803470-962","https://www.google.com/maps/place/Washington+Park/@45.5218369,-122.8110409,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+portland+oregon!3m6!1s0x54950a270bd7f419:0x6e4012538a68d97b!8m2!3d45.5151756!4d-122.7104903!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5ET0ZsNWFXaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Huge park with varied attractions including zoo, rose garden, Japanese garden & 15 miles of trails."
"1654803439-959","https://www.google.com/maps/place/Oregon+Zoo/@45.5218369,-122.8110409,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+portland+oregon!3m5!1s0x54950a2eb856b805:0xe7e720b09eddfc26!8m2!3d45.5100569!4d-122.7158264!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SAQN6b2-aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhPVFF0UjFkbkVBRQ","Oregon Zoo","4.5","oregonzoo.org","4001 SW Canyon Rd, Portland, OR 97221","null","null","https://lh5.googleusercontent.com/p/AF1QipOQlQyKR5Em03d0i9qSySNARfpTqhieIVhCZpBz=w408-h544-k-no","null"
"1654803460-961","https://www.google.com/maps/place/Oregon+Museum+of+Science+and+Industry+(OMSI)/@45.5218369,-122.8110409,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+portland+oregon!3m5!1s0x54950a72e8b112d1:0xd074694827faf84c!8m2!3d45.5083863!4d-122.6660136!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxhWFJpTlc5UlJSQUI","Oregon Museum of Science and Industry (OMSI)","4.5","omsi.edu","1945 SE Water Ave, Portland, OR 97214","null","null","https://lh5.googleusercontent.com/p/AF1QipMTmsg0JpRjBUBz-zUZj2vI8yXPh201OKyopIj9=w408-h306-k-no","null"
"1654803501-965","https://www.google.com/maps/place/Pittock+Mansion/@45.5218369,-122.8110409,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+portland+oregon!3m5!1s0x549509920bd06f53:0xbfea2f6e1ea1c0fa!8m2!3d45.5252061!4d-122.7162689!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SARRsb2NhbF9oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSVGJ6UjVOMU5uRUFF","Pittock Mansion","4.6","pittockmansion.org","3229 NW Pittock Dr, Portland, OR 97210","null","null","https://lh5.googleusercontent.com/p/AF1QipMQJnpaQAJouC0hxnv08Hu4AwjzZcyj5kTpivnD=w408-h272-k-no","null"
"1654803480-963","https://www.google.com/maps/place/Washington+Park/@45.5218369,-122.8110409,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+portland+oregon!3m2!1s0x54950a270bd7f419:0x6e4012538a68d97b!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5ET0ZsNWFXaFJSUkFC","Washington Park","4.7","explorewashingtonpark.org","4033 SW Canyon Rd, Portland, OR 97221","null","null","https://lh5.googleusercontent.com/p/AF1QipOmcI0Pb5thgA5QfoTcGUCiP22H2LPEFDkhvys7=w426-h240-k-no","null"
"1654803449-960","https://www.google.com/maps/place/Oregon+Museum+of+Science+and+Industry+(OMSI)/@45.5218369,-122.8110409,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+portland+oregon!3m6!1s0x54950a72e8b112d1:0xd074694827faf84c!8m2!3d45.5083863!4d-122.6660136!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcG9ydGxhbmQgb3JlZ29uWiEiH3RoaW5ncyB0byBkbyBpbiBwb3J0bGFuZCBvcmVnb26SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxhWFJpTlc5UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Gender-neutral restroom   Good for kids   Restaurant","null","Rotating shows, science labs, submarine tours & planetarium at a museum with monthly 21+ events."
"1654803419-957","https://www.google.com/maps/place/Screen+Door+Eastside/@45.5300527,-122.6734597,13z/data=!4m9!1m2!2m1!1sfood+in+portlandd+oregon!3m5!1s0x5495a0beac1053bb:0x8606af39a198e136!8m2!3d45.5230174!4d-122.6416249!15sChdmb29kIGluIHBvcnRsYW5kIG9yZWdvbloZIhdmb29kIGluIHBvcnRsYW5kIG9yZWdvbpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Screen Door Eastside","4.6","screendoorrestaurant.com","2337 E Burnside St, Portland, OR 97214","null","null","https://lh5.googleusercontent.com/p/AF1QipPbtXqp2yVpxen7hanAxag8YdLWnUkMryYQ0pBO=w408-h240-k-no-pi-0-ya157.6-ro-0-fo100","null"
