web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654803649-966","https://www.google.com/maps/place/The+Sassy+Onion+Grill/@44.9366641,-123.0964624,13z/data=!4m10!1m2!2m1!1sfood+in+salem+oregon!3m6!1s0x54bfff143ac11fad:0x4148cf69c033ae68!8m2!3d44.9366641!4d-123.0264246!10e1!15sChRmb29kIGluIHNhbGVtIG9yZWdvbloWIhRmb29kIGluIHNhbGVtIG9yZWdvbpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   High chairs   Restroom","null","Laid-back eatery serving American lunch & breakfast bites like French toast, burgers & wraps."
"1654803659-967","https://www.google.com/maps/place/The+Sassy+Onion+Grill/@44.9366641,-123.0964624,13z/data=!4m9!1m2!2m1!1sfood+in+salem+oregon!3m5!1s0x54bfff143ac11fad:0x4148cf69c033ae68!8m2!3d44.9366641!4d-123.0264246!15sChRmb29kIGluIHNhbGVtIG9yZWdvbloWIhRmb29kIGluIHNhbGVtIG9yZWdvbpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","The Sassy Onion Grill","4.5","sassyonion.com","1244 State St, Salem, OR 97301","null","null","https://lh5.googleusercontent.com/p/AF1QipPXk09oB0DgqWnxHgO1oFtRTnAzs8AEgCQ44oSD=w408-h544-k-no","null"
"1654803741-975","https://www.google.com/maps/place/Deepwood+Museum+%26+Gardens/@44.9271321,-123.1536239,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+salem+oregon!3m2!1s0x54bfff41b8146223:0xc25ee03472a24da4!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRNWEZ4ZVc1blJSQUI","Deepwood Museum & Gardens","4.7","deepwoodmuseum.org","1116 Mission St SE, Salem, OR 97302","null","null","https://lh5.googleusercontent.com/p/AF1QipP2lfvu_GykRO-ps5LeIFy4_k8Y-Hwc9Ssr4GVG=w408-h306-k-no","null"
"1654803710-972","https://www.google.com/maps/place/Riverfront+City+Park/@44.9290693,-123.591833,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+salem+oregon!3m6!1s0x54bfff731a23c4c9:0x6309553425b0e578!8m2!3d44.9419751!4d-123.0427999!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50ZWtsTWFFVkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Riverside green area with a playground, an amphitheater, a carousel & the Eco Earth Globe sculpture."
"1654803669-968","https://www.google.com/maps/place/Oregon+State+Capitol/@44.9290693,-123.591833,10z/data=!3m1!5s0x54bfff1397b74b21:0x2e04c7f19ea196f9!4m10!1m2!2m1!1sthings+to+do+in+salem+oregon!3m6!1s0x54bfff13c6b8efe9:0x2843d6a43baea049!8m2!3d44.9384539!4d-123.0303428!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SARdzdGF0ZV9nb3Zlcm5tZW50X29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSGNXUnRiSFZCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","State building with a striking rotunda, plus guided tours, cherry-tree-filled grounds & Oregon art."
"1654803721-973","https://www.google.com/maps/place/Riverfront+City+Park/@44.9290693,-123.591833,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+salem+oregon!3m5!1s0x54bfff731a23c4c9:0x6309553425b0e578!8m2!3d44.9419751!4d-123.0427999!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU50ZWtsTWFFVkJFQUU","Riverfront City Park","4.6","cityofsalem.net","200 Water St NE, Salem, OR 97301","null","null","https://lh5.googleusercontent.com/p/AF1QipPPa5_FddBAEjpx9SLWY3-PzSHcAQyo1jppc5fR=w408-h306-k-no","null"
"1654803680-969","https://www.google.com/maps/place/Oregon+State+Capitol/@44.9290693,-123.591833,10z/data=!3m1!5s0x54bfff1397b74b21:0x2e04c7f19ea196f9!4m9!1m2!2m1!1sthings+to+do+in+salem+oregon!3m5!1s0x54bfff13c6b8efe9:0x2843d6a43baea049!8m2!3d44.9384539!4d-123.0303428!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SARdzdGF0ZV9nb3Zlcm5tZW50X29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSGNXUnRiSFZCUlJBQg","Oregon State Capitol","4.4","oregoncapitol.com","900 Court St NE, Salem, OR 97301","null","null","https://lh5.googleusercontent.com/p/AF1QipMM8eEffvTxan59d1JkhzLjE0OlUf54bwdrjgOL=w556-h240-k-no","null"
"1654803731-974","https://www.google.com/maps/place/Deepwood+Museum+%26+Gardens/@44.9290693,-123.591833,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+salem+oregon!3m6!1s0x54bfff41b8146223:0xc25ee03472a24da4!8m2!3d44.9290723!4d-123.0315367!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRNWEZ4ZVc1blJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Formal gardens, nature trails & a Queen Anne Victorian home with history exhibits & guided tours."
"1654803690-970","https://www.google.com/maps/place/Gilbert+House+Children's+Museum/@44.9290693,-123.591833,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+salem+oregon!3m6!1s0x54bfff0b759612cf:0x53ab7c513c028842!8m2!3d44.9452509!4d-123.0409887!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZW1WMWRsSkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Children's science & art museum spanning 3 Victorian houses plus an outdoor play area."
"1654803700-971","https://www.google.com/maps/place/Gilbert+House+Children's+Museum/@44.9290693,-123.591833,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+salem+oregon!3m5!1s0x54bfff0b759612cf:0x53ab7c513c028842!8m2!3d44.9452509!4d-123.0409887!15sChx0aGluZ3MgdG8gZG8gaW4gc2FsZW0gb3JlZ29uWh4iHHRoaW5ncyB0byBkbyBpbiBzYWxlbSBvcmVnb26SARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5ZW1WMWRsSkJFQUU","Gilbert House Children's Museum","4.6","acgilbert.org","116 Marion St NE, Salem, OR 97301","null","null","https://lh5.googleusercontent.com/p/AF1QipNj7XG-WGuB-n0V44JFX-g8shzHDbHr5Jc5sUPf=w408-h271-k-no","null"
