web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654802997-942","https://www.google.com/maps/place/Allentown+Rose+Gardens/@40.6043712,-75.7480098,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+allentown+pa!3m6!1s0x89c43a11d6e3bf59:0x9ba85a8f5222397!8m2!3d40.5918326!4d-75.515779!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oTUMxVGRXZFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Scenic rose garden featuring paved walking paths, 3 pavilions & a fitness/exercise trail."
"1654802936-936","https://www.google.com/maps/place/Copperhead+Grille+Allentown/@40.5965955,-75.5539701,12z/data=!4m10!1m2!2m1!1sfood+in+allentown+pa!3m6!1s0x89c4392a785d378b:0x44738de0ccc425fd!8m2!3d40.6347135!4d-75.438037!10e1!15sChRmb29kIGluIGFsbGVudG93biBwYVoWIhRmb29kIGluIGFsbGVudG93biBwYZIBDWJhcl9hbmRfZ3JpbGyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhlVzlNZFZOQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Spacious sports bar & eatery offering game-day drinks & wing deals plus a steak & seafood menu."
"1654802946-937","https://www.google.com/maps/place/Copperhead+Grille+Allentown/@40.5965955,-75.5539701,12z/data=!4m9!1m2!2m1!1sfood+in+allentown+pa!3m5!1s0x89c4392a785d378b:0x44738de0ccc425fd!8m2!3d40.6347135!4d-75.438037!15sChRmb29kIGluIGFsbGVudG93biBwYVoWIhRmb29kIGluIGFsbGVudG93biBwYZIBDWJhcl9hbmRfZ3JpbGyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhlVzlNZFZOQkVBRQ","Copperhead Grille Allentown","4.4","copperheadgrille.com","1731 Airport Rd, Allentown, PA 18109","null","null","https://lh5.googleusercontent.com/p/AF1QipOvHZnMp7z5xVrAODjBO_c4P7YKOsi1o2KNelWm=w408-h240-k-no-pi0-ya20-ro0-fo100","null"
"1654802987-941","https://www.google.com/maps/place/Liberty+Bell+Museum/@40.6043712,-75.7480098,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+allentown+pa!3m5!1s0x89c4397cc115f82f:0x3b1b64177f577be1!8m2!3d40.6023874!4d-75.4704416!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhha2xITVU5QkVBRQ","Liberty Bell Museum","4.5","libertybellmuseum.org","622 Hamilton St, Allentown, PA 18101","null","null","https://lh5.googleusercontent.com/p/AF1QipOYAIPl5MdKtZcT0ae_qmrUPJ2n22dZBsCreoIb=w408-h306-k-no","null"
"1654802956-938","https://www.google.com/maps/place/Da+Vinci+Science+Center/@40.6043712,-75.7480098,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+allentown+pa!3m6!1s0x89c43a0cde0aab6d:0x6432fc251df0bee2!8m2!3d40.5838885!4d-75.5220355!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQ5zY2llbmNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWMyTXlaRGhSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Free Wi-Fi   Restaurant","null","Innovative exhibits & hands-on science experiments for all ages in a modern, two-story space."
"1654803017-944","https://www.google.com/maps/place/Allentown+Art+Museum/@40.6043712,-75.7480098,11z/data=!3m1!5s0x89c4396497da74e7:0x5cc976a3f4557720!4m10!1m2!2m1!1sthings+to+do+in+allentown+pa!3m6!1s0x89c43964a3c3f1b9:0xb79e96dfd591e6d6!8m2!3d40.6043712!4d-75.4678584!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEZEdGbWVHbEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Art gallery featuring permanent & traveling exhibitions on display along with a cafe & gift shop."
"1654802966-939","https://www.google.com/maps/place/Da+Vinci+Science+Center/@40.6043712,-75.7480098,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+allentown+pa!3m5!1s0x89c43a0cde0aab6d:0x6432fc251df0bee2!8m2!3d40.5838885!4d-75.5220355!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQ5zY2llbmNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWMyTXlaRGhSUlJBQg","Da Vinci Science Center","4.5","davincisciencecenter.org","3145 Hamilton Blvd Bypass, Allentown, PA 18103","null","null","https://lh5.googleusercontent.com/p/AF1QipOip16XPs06PeIxD0RbHz8l0_pCUz_cyvMa5nS3=w426-h240-k-no","null"
"1654803028-945","https://www.google.com/maps/place/Allentown+Art+Museum/@40.6043712,-75.7480098,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+allentown+pa!3m5!1s0x89c43964a3c3f1b9:0xb79e96dfd591e6d6!8m2!3d40.6043712!4d-75.4678584!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJEZEdGbWVHbEJSUkFC","Allentown Art Museum","4.6","allentownartmuseum.org","31 N 5th St, Allentown, PA 18101","null","null","https://lh5.googleusercontent.com/p/AF1QipO8zCCmArW2xJImvnpjwOyqbiQVedz4v-KO0Hnr=w426-h240-k-no","null"
"1654802976-940","https://www.google.com/maps/place/Liberty+Bell+Museum/@40.6043712,-75.7480098,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+allentown+pa!3m6!1s0x89c4397cc115f82f:0x3b1b64177f577be1!8m2!3d40.6023874!4d-75.4704416!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhha2xITVU5QkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance","Amenities    Good for kids","null","Exhibits & a replica of the iconic Revolutionary War bell, displayed inside Zion's Church."
"1654803007-943","https://www.google.com/maps/place/Allentown+Rose+Gardens/@40.6043712,-75.7480098,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+allentown+pa!3m5!1s0x89c43a11d6e3bf59:0x9ba85a8f5222397!8m2!3d40.5918326!4d-75.515779!15sChx0aGluZ3MgdG8gZG8gaW4gYWxsZW50b3duIHBhWh4iHHRoaW5ncyB0byBkbyBpbiBhbGxlbnRvd24gcGGSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oTUMxVGRXZFJSUkFC","Allentown Rose Gardens","4.7","allentownpa.gov","Allentown, PA 18104","null","null","https://lh5.googleusercontent.com/p/AF1QipMuJ7iJLwhPlDAqWVy_zlrYTlSzgw5HmmJRVJyr=w408-h306-k-no","null"
