web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654802773-932","https://www.google.com/maps/place/The+State+Museum+of+Pennsylvania/@40.3070276,-77.0216279,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m6!1s0x89c8c110c4fd2b09:0x2609baf2fb3b9223!8m2!3d40.2656985!4d-76.8857497!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yZEZwSVVtSm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Sprawling museum next to the State Capitol building showcasing the history of Pennsylvania."
"1654802722-927","https://www.google.com/maps/place/El+Sol+Mexican+Restaurant/@40.2640243,-76.8797538,15z/data=!4m6!1m2!2m1!1sfood+in+harrisburg+pa!3m2!1s0x89c8c11b32a561fd:0xe0bd07dfde51ea9b!15sChVmb29kIGluIGhhcnJpc2J1cmcgcGFaFyIVZm9vZCBpbiBoYXJyaXNidXJnIHBhkgESbWV4aWNhbl9yZXN0YXVyYW50","El Sol Mexican Restaurant","4.5","elsolmexicanrestaurant.com","18 S 3rd St, Harrisburg, PA 17101","null","null","https://lh5.googleusercontent.com/p/AF1QipOCQMHctj0RmTbsFvTVpgtaoUZIOzdGFk-1Pq4W=w408-h541-k-no","null"
"1654802804-935","https://www.google.com/maps/place/The+National+Civil+War+Museum/@40.3070276,-77.0216279,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m5!1s0x89c8c0c152644169:0x88f758c9d08bbc81!8m2!3d40.2719945!4d-76.8553563!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBCndhcl9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlPRFJFWHkxblJSQUI","The National Civil War Museum","4.6","nationalcivilwarmuseum.org","1 Lincoln Cir, Harrisburg, PA 17103","null","null","https://lh5.googleusercontent.com/p/AF1QipM0jW1D6H415y-K_KI4UVDOFc2nNFf_u3prfG-D=w408-h641-k-no","null"
"1654802712-926","https://www.google.com/maps/place/El+Sol+Mexican+Restaurant/@40.2602383,-76.8975257,15z/data=!4m10!1m2!2m1!1sfood+in+harrisburg+pa!3m6!1s0x89c8c11b32a561fd:0xe0bd07dfde51ea9b!8m2!3d40.2602544!4d-76.8800464!10e1!15sChVmb29kIGluIGhhcnJpc2J1cmcgcGFaFyIVZm9vZCBpbiBoYXJyaXNidXJnIHBhkgESbWV4aWNhbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","This spacious, colorful Mexican eatery offers classic dishes & a full bar with lots of tequilas."
"1654802753-930","https://www.google.com/maps/place/Fort+Hunter+Mansion+and+Park/@40.3070276,-77.0216279,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m6!1s0x89c8c67b3e2b7835:0xff5dadc00e016db3!8m2!3d40.3416627!4d-76.9076988!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhlalI2TlVSM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Preserved 18th-century mansion & other period buildings open for tours, plus walking trails."
"1654802794-934","https://www.google.com/maps/place/The+National+Civil+War+Museum/@40.3070276,-77.0216279,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m6!1s0x89c8c0c152644169:0x88f758c9d08bbc81!8m2!3d40.2719945!4d-76.8553563!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBCndhcl9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlPRFJFWHkxblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Smithsonian-affiliated museum offers Civil War artifacts, lectures, reinactment events & more."
"1654802783-933","https://www.google.com/maps/place/The+State+Museum+of+Pennsylvania/@40.3070276,-77.0216279,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m5!1s0x89c8c110c4fd2b09:0x2609baf2fb3b9223!8m2!3d40.2656985!4d-76.8857497!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBDmhpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yZEZwSVVtSm5FQUU","The State Museum of Pennsylvania","4.5","statemuseumpa.org","300 North St, Harrisburg, PA 17120","null","null","https://lh5.googleusercontent.com/p/AF1QipMu69WGXzk9NAuur5bgX2tG5rD-LnNYcAHF8hhP=w408-h306-k-no","null"
"1654802732-928","https://www.google.com/maps/place/Wildwood+Park/@40.3044039,-76.9203563,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m6!1s0x89c8c6c3a1ceba35:0x3d49a536d673dab5!8m2!3d40.3076643!4d-76.8865931!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBlRTU2YjBGM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Public restroom","null","Dog-friendly preserve with trails & boardwalks through marshes & wet woodlands plus a nature center."
"1654802763-931","https://www.google.com/maps/place/Fort+Hunter+Mansion+and+Park/@40.3070276,-77.0216279,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m5!1s0x89c8c67b3e2b7835:0xff5dadc00e016db3!8m2!3d40.3416627!4d-76.9076988!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhlalI2TlVSM0VBRQ","Fort Hunter Mansion and Park","4.7","forthunter.org","5300 N Front St, Harrisburg, PA 17110","null","null","https://lh5.googleusercontent.com/p/AF1QipO34jTrfaK6GioLWUmY7tw6kS4li3T9ibDMXNgk=w408-h306-k-no","null"
"1654802742-929","https://www.google.com/maps/place/Wildwood+Park/@40.3070276,-77.0216279,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+barrisburg+pa!3m2!1s0x89c8c6c3a1ceba35:0x3d49a536d673dab5!15sCh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYVofIh10aGluZ3MgdG8gZG8gaW4gaGFycmlzYnVyZyBwYZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBlRTU2YjBGM0VBRQ","Wildwood Park","4.7","explorewildwoodpark.org","100 Wildwood Way, Harrisburg, PA 17110","null","null","https://lh5.googleusercontent.com/p/AF1QipO5Q2kl075N-WDa6TK0DM7ux12YJW6CH4qMkUkF=w408-h272-k-no","null"
