web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654802320-912","https://www.google.com/maps/place/Philadelphia's+Magic+Gardens/@39.971712,-75.2706939,11.46z/data=!4m10!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m6!1s0x89c6c621441b1eef:0x692d76b6996315f8!8m2!3d39.9428122!4d-75.1592939!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcGhpbGFkZWxwaGlhIHBhWiEiH3RoaW5ncyB0byBkbyBpbiBwaGlsYWRlbHBoaWEgcGGSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5WjBweFdsZDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Funky folk art venue provides mosaicked galleries, a sculpture garden maze & educational programs."
"1654802340-914","https://www.google.com/maps/place/Millennium+Skate+World/@39.971712,-75.2706939,11.46z/data=!4m9!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m5!1s0x89c6c905f2e884cb:0x63eb674ad01a3f8!8m2!3d39.9434274!4d-75.0960636!10e1","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","This retro roller rink hosts birthday parties & ups the fun with arcade games & a snack stand."
"1654802279-908","https://www.google.com/maps/place/Rocky+Statue/@39.971712,-75.2706939,11.46z/data=!4m10!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m6!1s0x89c6c7b594d18577:0x1da7d1b3ee3d8ddb!8m2!3d39.9651275!4d-75.1792848!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcGhpbGFkZWxwaGlhIHBhWiEiH3RoaW5ncyB0byBkbyBpbiBwaGlsYWRlbHBoaWEgcGGSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlOeTE2YTNCblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Massive, landmark statue of fictional boxer Rocky Balboa & well-known picture spot."
"1654802269-907","https://www.google.com/maps/place/El+Vez/@39.9602523,-75.1752469,14z/data=!4m6!1m2!2m1!1sfood+in+philadelphia+pa!3m2!1s0x89c6c62f6822f5eb:0x33b3cd6752db12c5!15sChdmb29kIGluIHBoaWxhZGVscGhpYSBwYVoZIhdmb29kIGluIHBoaWxhZGVscGhpYSBwYZIBEm1leGljYW5fcmVzdGF1cmFudA","El Vez","4.5","elvezrestaurant.com","121 S 13th St, Philadelphia, PA 19107","null","null","https://lh5.googleusercontent.com/p/AF1QipMp2-YJq3tWNrCYy8V5LGciCZqGfwaQ8312010x=w408-h326-k-no","null"
"1654802310-911","https://www.google.com/maps/place/The+Franklin+Institute/@39.971712,-75.2706939,11.46z/data=!4m6!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m2!1s0x89c6c634865d9bd3:0x218fde05d3437478!15sCh90aGluZ3MgdG8gZG8gaW4gcGhpbGFkZWxwaGlhIHBhWiEiH3RoaW5ncyB0byBkbyBpbiBwaGlsYWRlbHBoaWEgcGGSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWMwOXBWbUpSRUFF","The Franklin Institute","4.7","fi.edu","222 N 20th St, Philadelphia, PA 19103","null","null","https://lh5.googleusercontent.com/p/AF1QipPyAFMZB8AW5iqnR0Ms0VHb9wDmytspJAVlIJC9=w408-h260-k-no","null"
"1654802350-915","https://www.google.com/maps/place/Millennium+Skate+World/@39.9612158,-75.2453592,12z/data=!4m8!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m4!1s0x89c6c905f2e884cb:0x63eb674ad01a3f8!8m2!3d39.9434274!4d-75.0960636","Millennium Skate World","4.3","millenniumskateworld.com","1900 Carman St, Camden, NJ 08105","null","null","https://lh5.googleusercontent.com/p/AF1QipOk9cV2aVjCYFxsDuijcFqT2fT_7nMZ4-CrN8qP=w426-h240-k-no","null"
"1654802258-906","https://www.google.com/maps/place/El+Vez/@39.9602523,-75.1752469,14z/data=!3m1!5s0x89c6c62f425fe8c7:0x7ceb7170ea2d5816!4m10!1m2!2m1!1sfood+in+philadelphia+pa!3m6!1s0x89c6c62f6822f5eb:0x33b3cd6752db12c5!8m2!3d39.949702!4d-75.1617703!10e1!15sChdmb29kIGluIHBoaWxhZGVscGhpYSBwYVoZIhdmb29kIGluIHBoaWxhZGVscGhpYSBwYZIBEm1leGljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   High chairs   Restroom","null","Trendy Mexican joint serving upscale eats & cocktails in a colorful, flashy setting."
"1654802289-909","https://www.google.com/maps/place/Rocky+Statue/@39.971712,-75.2706939,11.46z/data=!4m9!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m5!1s0x89c6c7b594d18577:0x1da7d1b3ee3d8ddb!8m2!3d39.9651275!4d-75.1792848!15sCh90aGluZ3MgdG8gZG8gaW4gcGhpbGFkZWxwaGlhIHBhWiEiH3RoaW5ncyB0byBkbyBpbiBwaGlsYWRlbHBoaWEgcGGSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlOeTE2YTNCblJSQUI","Rocky Statue","4.7","associationforpublicart.org","2600 Benjamin Franklin Pkwy, Philadelphia, PA 19130","null","null","https://lh5.googleusercontent.com/p/AF1QipN-2YqNT8GVQAv-PWbJtuOIiEJUMOZqZJH4KODk=w408-h272-k-no","null"
"1654802330-913","https://www.google.com/maps/place/Philadelphia's+Magic+Gardens/@39.971712,-75.2706939,11.46z/data=!4m9!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m5!1s0x89c6c621441b1eef:0x692d76b6996315f8!8m2!3d39.9428122!4d-75.1592939!15sCh90aGluZ3MgdG8gZG8gaW4gcGhpbGFkZWxwaGlhIHBhWiEiH3RoaW5ncyB0byBkbyBpbiBwaGlsYWRlbHBoaWEgcGGSAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5WjBweFdsZDNFQUU","Philadelphia's Magic Gardens","4.6","phillymagicgardens.org","1020 South St, Philadelphia, PA 19147","null","null","https://lh5.googleusercontent.com/p/AF1QipNr-ZWOGH9kf4IVxBaqtk8Y0JOdZY4KFJgbSkGP=w408-h306-k-no","null"
"1654802299-910","https://www.google.com/maps/place/The+Franklin+Institute/@39.971712,-75.2706939,11.46z/data=!3m1!5s0x89c6c6348be3ae61:0x12e2c9a65e705c60!4m10!1m2!2m1!1sthings+to+do+in+philadelphia+pa!3m6!1s0x89c6c634865d9bd3:0x218fde05d3437478!8m2!3d39.9582109!4d-75.1731347!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gcGhpbGFkZWxwaGlhIHBhWiEiH3RoaW5ncyB0byBkbyBpbiBwaGlsYWRlbHBoaWEgcGGSAQ5zY2llbmNlX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWMwOXBWbUpSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Lively, family-friendly science museum with many interactive exhibits & displays plus a planetarium."
