web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654802546-925","https://www.google.com/maps/place/Phipps+Conservatory+and+Botanical+Gardens/@40.4356202,-80.0879192,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m5!1s0x8834f189f8429905:0x28a12fe50786460d!8m2!3d40.4390115!4d-79.9479581!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhhMlo1Y0VkQkVBRQ","Phipps Conservatory and Botanical Gardens","4.8","phipps.conservatory.org","1 Schenley Drive, Pittsburgh, PA 15213","null","null","https://lh5.googleusercontent.com/p/AF1QipM927oinjE5eQWGA9tdJNyLq2IfeL2LDguFv_zi=w408-h306-k-no","null"
"1654802516-922","https://www.google.com/maps/place/Point+State+Park/@40.4415719,-80.2880052,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m6!1s0x8834f6ab4181b18d:0x3ea8e4063b4c04a0!8m2!3d40.4415719!4d-80.0078538!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJhMHRJY25ablJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A 36-acre park at the intersection of 3 rivers has boating, hiking, biking & a Fort Pitt museum."
"1654802505-921","https://www.google.com/maps/place/The+Andy+Warhol+Museum/@40.4415719,-80.2880052,11z/data=!3m1!5s0x8834f3fc18245a63:0xc73cb6f1e260a9c5!4m9!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m5!1s0x8834f187aaaaaaab:0xcb01e8173ea62430!8m2!3d40.4483755!4d-80.0024907!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBEW1vZGVybl9hcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YTm1GeVYxaG5FQUU","The Andy Warhol Museum","4.6","warhol.org","117 Sandusky St, Pittsburgh, PA 15212","null","null","https://lh5.googleusercontent.com/p/AF1QipMfSnlmphc6CzKNoNH2SXXu9yojetPYmjUSv6sO=w408-h541-k-no","null"
"1654802495-920","https://www.google.com/maps/place/The+Andy+Warhol+Museum/@40.4415719,-80.2880052,11z/data=!3m1!5s0x8834f3fc18245a63:0xc73cb6f1e260a9c5!4m10!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m6!1s0x8834f187aaaaaaab:0xcb01e8173ea62430!8m2!3d40.4483755!4d-80.0024907!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBEW1vZGVybl9hcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5YTm1GeVYxaG5FQUU","null","null","null","null","Accessibility    Assisted listening devices   Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair rental","Amenities    Gender-neutral restroom   Restaurant   Restroom   Free Wi-Fi","null","Museum where Warhol's art is the star & the inspiration for new works, performances & lectures."
"1654802454-916","https://www.google.com/maps/place/Arepittas/@40.4521582,-80.0254438,13z/data=!3m1!5s0x8834f33f4f7b611f:0x5949c3b4c0c0332e!4m10!1m2!2m1!1sfood+in+pittsburgh+pa!3m6!1s0x8834f150b23ea81b:0xc23b8359570f0eda!8m2!3d40.4388163!4d-79.99852!10e1!15sChVmb29kIGluIHBpdHRzYnVyZ2ggcGFaFyIVZm9vZCBpbiBwaXR0c2J1cmdoIHBhkgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids","null","Straightforward eatery serving Venezuelan-style snacks & mains in unpretentious surroundings."
"1654802536-924","https://www.google.com/maps/place/Phipps+Conservatory+and+Botanical+Gardens/@40.4356202,-80.0879192,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m6!1s0x8834f189f8429905:0x28a12fe50786460d!8m2!3d40.4390115!4d-79.9479581!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhhMlo1Y0VkQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Schenley Park's horticulture hub features botanical gardens & a steel-&-glass Victorian greenhouse."
"1654802485-919","https://www.google.com/maps/place/Pittsburgh+Zoo+%26+PPG+Aquarium/@40.4415719,-80.2880052,11z/data=!3m1!5s0x8834f3fc18245a63:0xc73cb6f1e260a9c5!4m6!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m2!1s0x8834f282f2136c41:0x1b816e1c45de9e40!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGEyOXRkRWhCRUFF","Pittsburgh Zoo & PPG Aquarium","4.5","pittsburghzoo.org","7370 Baker St, Pittsburgh, PA 15206","null","null","https://lh5.googleusercontent.com/p/AF1QipMhAdcV-l9Waw38tOSmJCKJU_w90BYQYXPx6htJ=w408-h306-k-no","null"
"1654802526-923","https://www.google.com/maps/place/Point+State+Park/@40.4356202,-80.0879192,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m2!1s0x8834f6ab4181b18d:0x3ea8e4063b4c04a0!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUTJhMHRJY25ablJSQUI","Point State Park","4.7","dcnr.state.pa.us","601 Commonwealth Pl, Pittsburgh, PA 15222","null","null","https://lh5.googleusercontent.com/p/AF1QipM0c7E0h2d4JhX1cCnzdVy_j49mr8_jN_VCiWA=w408-h305-k-no","null"
"1654802475-918","https://www.google.com/maps/place/Pittsburgh+Zoo+%26+PPG+Aquarium/@40.4415719,-80.2880052,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+pittsburgh+pa!3m6!1s0x8834f282f2136c41:0x1b816e1c45de9e40!8m2!3d40.4842648!4d-79.922206!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYVofIh10aGluZ3MgdG8gZG8gaW4gcGl0dHNidXJnaCBwYZIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGEyOXRkRWhCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Animal center features an African Savanna, Asian Forest, Bear park, PPG Aquarium & Kids Kingdom."
"1654802465-917","https://www.google.com/maps/place/Arepittas/@40.4521582,-80.0254438,13z/data=!3m1!5s0x8834f33f4f7b611f:0x5949c3b4c0c0332e!4m9!1m2!2m1!1sfood+in+pittsburgh+pa!3m5!1s0x8834f150b23ea81b:0xc23b8359570f0eda!8m2!3d40.4388163!4d-79.99852!15sChVmb29kIGluIHBpdHRzYnVyZ2ggcGFaFyIVZm9vZCBpbiBwaXR0c2J1cmdoIHBhkgEKcmVzdGF1cmFudA","Arepittas","4.9","arepittas.dine.online","412-428 Cherry Way, Pittsburgh, PA 15219","null","null","https://lh5.googleusercontent.com/p/AF1QipMpfMHlzmMZ_XVe1R7BVB5LBYWoxPGHEMbE50wz=w505-h240-k-no","null"
