web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654803209-951","https://www.google.com/maps/place/Nay+Aug+Park/@41.4608236,-75.9262334,10z/data=!4m6!1m2!2m1!1sthings+to+do+in+scranton+pa!3m2!1s0x89c4deb9f1714e6b:0xa347031e7d96ba17!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOcE1FbFBka2QzRUFF","Nay Aug Park","4.5","nayaugpark.org","500 Arthur Ave, Scranton, PA 18510","null","null","https://lh5.googleusercontent.com/p/AF1QipN4MhRA0AyYFv2kWt7-ZL_fSjrv1JViRjZkpz9-=w408-h306-k-no","null"
"1654803169-947","https://www.google.com/maps/place/Chicanos/@41.4191162,-75.7015681,13z/data=!4m9!1m2!2m1!1sfood+in+scranton+pa!3m5!1s0x89c4ded8e8f204ff:0x5b9ab84f9d82d606!8m2!3d41.4012056!4d-75.6656062!15sChNmb29kIGluIHNjcmFudG9uIHBhWhUiE2Zvb2QgaW4gc2NyYW50b24gcGGSARJtZXhpY2FuX3Jlc3RhdXJhbnQ","Chicanos","4.5","chicanosnepa.com","427 Cedar Ave, Scranton, PA 18505","null","null","https://lh5.googleusercontent.com/p/AF1QipM7EpCoJJHYCeYByeVmO14qcHpRARRGebtlauHS=w408-h306-k-no","null"
"1654803230-953","https://www.google.com/maps/place/Electric+City+Trolley+Museum/@41.4608236,-75.9262334,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+scranton+pa!3m5!1s0x89c4df29fb8a92ed:0xd4f399bc066446e2!8m2!3d41.4094769!4d-75.6733115!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgELcmFpbF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhiM1l5UzJGQkVBRQ","Electric City Trolley Museum","4.6","ectma.org","300 Cliff St, Scranton, PA 18503","null","null","https://lh5.googleusercontent.com/p/AF1QipO_f2Qp4kJN-QTK19jahRjOATLDI0UtNz2uiYdY=w408-h295-k-no","null"
"1654803189-949","https://www.google.com/maps/place/Everhart+Museum/@41.4006958,-76.2045135,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+scranton+pa!3m5!1s0x89c4dec7bddedc31:0xe4fd8de07d08d972!8m2!3d41.4006958!4d-75.6442108!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5WYmpsNlJFTkJFQUU","Everhart Museum","4.4","everhart-museum.org","1901 Mulberry St, Scranton, PA 18510","null","null","https://lh5.googleusercontent.com/p/AF1QipMu4-EVHyiE1m6BkshnR5aGNgM8Wn_ZyKFBA91u=w408-h277-k-no","null"
"1654803240-954","https://www.google.com/maps/place/Steamtown+National+Historic+Site/@41.4608236,-75.9262334,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+scranton+pa!3m6!1s0x89c4df267e946da1:0xde5f436772b81ab1!8m2!3d41.407575!4d-75.6703724!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgELcmFpbF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRMVTlVZVY5UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","U.S. train history, documented via steam locomotives, exhibits & rides in a former railroad yard."
"1654803199-950","https://www.google.com/maps/place/Nay+Aug+Park/@41.4608236,-75.9262334,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+scranton+pa!3m6!1s0x89c4deb9f1714e6b:0xa347031e7d96ba17!8m2!3d41.4000913!4d-75.6446789!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOcE1FbFBka2QzRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Family-friendly park features a treehouse, waterfalls & footbridge as well as a waterslide complex."
"1654803158-946","https://www.google.com/maps/place/Chicanos/@41.4191162,-75.7015681,13z/data=!4m10!1m2!2m1!1sfood+in+scranton+pa!3m6!1s0x89c4ded8e8f204ff:0x5b9ab84f9d82d606!8m2!3d41.4012056!4d-75.6656062!10e1!15sChNmb29kIGluIHNjcmFudG9uIHBhWhUiE2Zvb2QgaW4gc2NyYW50b24gcGGSARJtZXhpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Compact, informal Mexican joint serving burritos, enchiladas, tacos & more for dine-in or takeout."
"1654803251-955","https://www.google.com/maps/place/Steamtown+National+Historic+Site/@41.4608236,-75.9262334,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+scranton+pa!3m5!1s0x89c4df267e946da1:0xde5f436772b81ab1!8m2!3d41.407575!4d-75.6703724!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgELcmFpbF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRMVTlVZVY5UlJSQUI","Steamtown National Historic Site","4.7","nps.gov","350 Cliff St, Scranton, PA 18503","null","null","https://lh5.googleusercontent.com/p/AF1QipMEVHib4bTk9ia8HVBy5CZOrclLwVkoaxg-7NeT=w408-h272-k-no","null"
"1654803220-952","https://www.google.com/maps/place/Electric+City+Trolley+Museum/@41.4608236,-75.9262334,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+scranton+pa!3m6!1s0x89c4df29fb8a92ed:0xd4f399bc066446e2!8m2!3d41.4094769!4d-75.6733115!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgELcmFpbF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhiM1l5UzJGQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Kid-friendly destination featuring interactive exhibits, rides & a collection of vintage trolleys."
"1654803179-948","https://www.google.com/maps/place/Everhart+Museum/@41.4608236,-75.9262334,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+scranton+pa!3m6!1s0x89c4dec7bddedc31:0xe4fd8de07d08d972!8m2!3d41.4006958!4d-75.6442108!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gc2NyYW50b24gcGFaHSIbdGhpbmdzIHRvIGRvIGluIHNjcmFudG9uIHBhkgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5WYmpsNlJFTkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Longtime, park-based center for education & culture devoted to art, science & natural history."
