web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654801604-888","https://www.google.com/maps/place/Brick+Alley+Pub+%26+Restaurant/@41.4828602,-71.3207037,14.73z/data=!3m1!5s0x89e5af696e360e0d:0x8c2953156b1275e7!4m9!1m2!2m1!1sfood+in+newport+ri!3m5!1s0x89e5af696efad667:0x11eed159cdce5784!8m2!3d41.4893997!4d-71.3150726!15sChJmb29kIGluIG5ld3BvcnQgcmlaFCISZm9vZCBpbiBuZXdwb3J0IHJpkgETYW1lcmljYW5fcmVzdGF1cmFudA","Brick Alley Pub & Restaurant","4.6","brickalley.com","140 Thames St, Newport, RI 02840","null","null","https://lh5.googleusercontent.com/p/AF1QipOMhOxJnpjED0lebw4-fFOm0fQzkJJ57SYcvpQf=w408-h306-k-no","null"
"1654801636-891","https://www.google.com/maps/place/Rough+Point/@41.4713869,-71.3978413,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+newport+ri!3m6!1s0x89e5a5ea02ea3bd9:0x1795768008a132ab!8m2!3d41.4553668!4d-71.3053873!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGRXRmxWblYzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","null","null","Late-1800s mansion formerly owned by heiress Doris Duke with seasonal tours, gardens & art exhibits."
"1654801591-887","https://www.google.com/maps/place/Brick+Alley+Pub+%26+Restaurant/@41.4893997,-71.3361978,14z/data=!3m1!5s0x89e5af696e360e0d:0x8c2953156b1275e7!4m10!1m2!2m1!1sfood+in+newport+ri!3m6!1s0x89e5af696efad667:0x11eed159cdce5784!8m2!3d41.4893997!4d-71.3150726!10e1!15sChJmb29kIGluIG5ld3BvcnQgcmlaFCISZm9vZCBpbiBuZXdwb3J0IHJpkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids   High chairs","null","Cozy iconic watering hole with eats ranging from nachos to lobster rolls & over 250 wine vintages"
"1654801657-893","https://www.google.com/maps/place/Fort+Adams+State+Park/@41.4713869,-71.3978413,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+newport+ri!3m6!1s0x89e5a57c27ae382b:0x9e5b020b4d18438b!8m2!3d41.4790898!4d-71.3358244!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjNOVGRoUm5sM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park on the site of a 19th-century fort, with sailing, swimming & the Newport jazz & folk festivals."
"1654801624-890","https://www.google.com/maps/place/Newport+Art+Museum/@41.4713869,-71.3978413,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+newport+ri!3m2!1s0x89e5af43206d6ac1:0x961626df7ce67a5f!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRPVFZRZWpsblJSQUI","Newport Art Museum","4.5","newportartmuseum.org","76 Bellevue Ave, Newport, RI 02840","null","null","https://lh5.googleusercontent.com/p/AF1QipPZN5124D2ae8jOwDwGRIvc2wOwx83qhZwBLF3o=w408-h272-k-no","null"
"1654801687-896","https://www.google.com/maps/place/The+Breakers/@41.4713869,-71.3978413,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+newport+ri!3m2!1s0x89e5a5f9c5f4c9a9:0x85c788ce573bb7ee!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBF2hpc3RvcmljYWxfcGxhY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yTXpkNVVFWlJFQUU","The Breakers","4.7","newportmansions.org","44 Ochre Point Ave, Newport, RI 02840","null","null","https://lh5.googleusercontent.com/p/AF1QipNhtTERdn5_SyTI8TYv3cS4zyDNoLbkTX8iCKAL=w408-h306-k-no","null"
"1654801667-894","https://www.google.com/maps/place/Fort+Adams+State+Park/@41.4713869,-71.3978413,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+newport+ri!3m2!1s0x89e5a57c27ae382b:0x9e5b020b4d18438b!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjNOVGRoUm5sM1JSQUI","Fort Adams State Park","4.7","riparks.com","80 Fort Adams Dr, Newport, RI 02840","null","null","//lh3.googleusercontent.com/proxy/UaTn7WAo0vX_kBz0NclsbING8jXy3BitMs_mxR09w-_CXnmXBbZFCqvRBNlIAQcrjaoZspgpfQfdUcq1XNYWecd1knwy4OHO_LAdAtplzYSl-XDpAJLWyJ5JxX6-RoQUrdAYeih_mbxI7JyecBBCLDyeK-pX0g=w443-h240-k-no","null"
"1654801677-895","https://www.google.com/maps/place/The+Breakers/@41.4713869,-71.3978413,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+newport+ri!3m6!1s0x89e5a5f9c5f4c9a9:0x85c788ce573bb7ee!8m2!3d41.4698401!4d-71.2982384!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBF2hpc3RvcmljYWxfcGxhY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0yTXpkNVVFWlJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Palatial Gilded Age summer home of the Vanderbilts, with ornate artwork, gardens & guided tours."
"1654801614-889","https://www.google.com/maps/place/Newport+Art+Museum/@41.4713869,-71.3978413,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+newport+ri!3m6!1s0x89e5af43206d6ac1:0x961626df7ce67a5f!8m2!3d41.4857099!4d-71.3083005!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBCmFydF9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRPVFZRZWpsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Multi-building campus houses regional 19th-century to contemporary works, plus events & art school."
"1654801646-892","https://www.google.com/maps/place/Rough+Point/@41.4713869,-71.3978413,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+newport+ri!3m5!1s0x89e5a5ea02ea3bd9:0x1795768008a132ab!8m2!3d41.4553668!4d-71.3053873!15sChp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaVocIhp0aGluZ3MgdG8gZG8gaW4gbmV3cG9ydCByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGRXRmxWblYzUlJBQg","Rough Point","4.6","newportrestoration.org","680 Bellevue Ave, Newport, RI 02840","null","null","https://lh5.googleusercontent.com/p/AF1QipPNF1eFRQ7H6bc3c5X8GXC-sTDyVRqcaY-aYAXT=w426-h240-k-no","null"
