web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654800690-864","https://www.google.com/maps/place/Roger+Williams+Park+Zoo/@41.807122,-71.4786905,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+providence+ri!3m2!1s0x89e44f97cf377d8b:0x2d869a86495f4da5!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMk5WbExWVFZuUlJBQg","Roger Williams Park Zoo","4.6","rwpzoo.org","1000 Elmwood Ave, Providence, RI 02907","null","null","https://lh5.googleusercontent.com/p/AF1QipPd5cqG8TLT9kLOLmhy1stX6SewOFInF99Wlr9R=w408-h544-k-no","null"
"1654800649-860","https://www.google.com/maps/place/Waterplace+Park/@41.807122,-71.4786905,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+providence+ri!3m2!1s0x89e44510e1520037:0x622cd3cfc6974b20!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJiV1JtUWtsQkVBRQ","Waterplace Park","4.7","visitrhodeisland.com","Memorial Blvd, Providence, RI 02903","null","null","https://lh5.googleusercontent.com/p/AF1QipNk3inoyfO1z99zqoDVlps_ssOFVk7UHrjdeJg6=w408-h305-k-no","null"
"1654800629-858","https://www.google.com/maps/place/Plant+City/@41.8295919,-71.4399699,14z/data=!4m9!1m2!2m1!1sfood+in+providence+ri!3m5!1s0x89e4453e4ce11105:0x16bdf76c62b9a960!8m2!3d41.8207935!4d-71.404162!15sChVmb29kIGluIHByb3ZpZGVuY2UgcmlaFyIVZm9vZCBpbiBwcm92aWRlbmNlIHJpkgEQdmVnYW5fcmVzdGF1cmFudA","Plant City","4.5","plantcitypvd.com","334 S Water St, Providence, RI 02903","null","null","https://lh5.googleusercontent.com/p/AF1QipMCfcarrDLDx0qlrQZP-hGmQu3oVAsNuxBePEsS=w408-h408-k-no","null"
"1654800711-866","https://www.google.com/maps/place/RISD+Museum/@41.807122,-71.4786905,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+providence+ri!3m2!1s0x89e445164b5ec617:0x49112556d05817bc!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWE5qZ3pSelZSUlJBQg","RISD Museum","4.7","risdmuseum.org","20 N Main St, Providence, RI 02903","null","null","https://lh5.googleusercontent.com/p/AF1QipOlIBG2u6q5uLLZu8CkGKntBgVJYHEincl1igXi=w408-h483-k-no","null"
"1654800670-862","https://www.google.com/maps/place/Museum+of+Natural+History+and+Planetarium/@41.807122,-71.4786905,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+providence+ri!3m5!1s0x89e44f98253ba389:0x8bb4dceca978e984!8m2!3d41.786836!4d-71.413225!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaUjM-MCuAVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaWIJCdxEREwWaf5RkgEWbmF0dXJhbF9oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSGQweG1WRXBSRUFF","Museum of Natural History and Planetarium","4.3","providenceri.gov","1000 Elmwood Ave, Providence, RI 02907","null","null","https://lh5.googleusercontent.com/p/AF1QipMckYRnqGbWmw-qOfcwagDODSHfsAMBj-zRe5KS=w408-h272-k-no","null"
"1654800700-865","https://www.google.com/maps/place/RISD+Museum/@41.807122,-71.4786905,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+providence+ri!3m6!1s0x89e445164b5ec617:0x49112556d05817bc!8m2!3d41.8261635!4d-71.4080589!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWE5qZ3pSelZSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Design-school affiliate showcasing masterworks of fine art & many other holdings in 5 buildings."
"1654800619-857","https://www.google.com/maps/place/Plant+City/@41.8295919,-71.4399699,14z/data=!4m10!1m2!2m1!1sfood+in+providence+ri!3m6!1s0x89e4453e4ce11105:0x16bdf76c62b9a960!8m2!3d41.8207935!4d-71.404162!10e1!15sChVmb29kIGluIHByb3ZpZGVuY2UgcmlaFyIVZm9vZCBpbiBwcm92aWRlbmNlIHJpkgEQdmVnYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Vegan food market featuring restaurants, bars, a bakery & a coffee shop, plus a grocery store."
"1654800680-863","https://www.google.com/maps/place/Roger+Williams+Park+Zoo/@41.807122,-71.4786905,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+providence+ri!3m6!1s0x89e44f97cf377d8b:0x2d869a86495f4da5!8m2!3d41.7903742!4d-71.4148082!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaZIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMk5WbExWVFZuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Popular park with both attractions & green space filled with ponds, a rose garden, & public statues."
"1654800660-861","https://www.google.com/maps/place/Museum+of+Natural+History+and+Planetarium/@41.807122,-71.4786905,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+providence+ri!3m6!1s0x89e44f98253ba389:0x8bb4dceca978e984!8m2!3d41.786836!4d-71.413225!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaUjM-MCuAVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaWIJCdxEREwWaf5RkgEWbmF0dXJhbF9oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSGQweG1WRXBSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Museum & planetarium with a vast array of archaeological artifacts offers family & school programs."
"1654800639-859","https://www.google.com/maps/place/Waterplace+Park/@41.807122,-71.4786905,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+providence+ri!3m6!1s0x89e44510e1520037:0x622cd3cfc6974b20!8m2!3d41.8274486!4d-71.4139414!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaVofIh10aGluZ3MgdG8gZG8gaW4gcHJvdmlkZW5jZSByaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJiV1JtUWtsQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A site for art installations & concerts, this riverside locale also adjoins downtown walking paths."
