web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654801054-874","https://www.google.com/maps/place/Conimicut+Point+Park/@41.7167584,-71.499323,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+warwick+ri!3m5!1s0x89e451f53b5d4f01:0x74b2859c1469aaec!8m2!3d41.7167584!4d-71.3592473!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhNM0l5V1RsblJSQUI","Conimicut Point Park","4.5","warwickri.gov","Point Ave, Warwick, RI 02889","null","null","https://lh5.googleusercontent.com/p/AF1QipMUgTkgphoxZEFD1hGi9rfD0RU_NKaYiXLJFyy3=w408-h306-k-no","null"
"1654801023-871","https://www.google.com/maps/place/Buttonwoods+Beach+-+Warwick+City+Park/@41.7167584,-71.499323,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+warwick+ri!3m6!1s0x89e44d9da7ae5c63:0x9b3b76b6851231a2!8m2!3d41.6890068!4d-71.4064588!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxYMUJpVkU5M0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Waterfront recreational area with baseball fields, picnic tables & 3 miles of paved bicycle trails."
"1654800992-868","https://www.google.com/maps/place/Not+Your+Average+Joe's/@41.7249728,-71.5938425,12z/data=!4m9!1m2!2m1!1sfood+in+warwick+ri!3m5!1s0x89e44c0848f60717:0x6158e57503deccd3!8m2!3d41.7249724!4d-71.4738106!15sChJmb29kIGluIHdhcndpY2sgcmlaFCISZm9vZCBpbiB3YXJ3aWNrIHJpkgETYW1lcmljYW5fcmVzdGF1cmFudA","Not Your Average Joe's","4.1","goo.gl","400 Bald Hill Rd, Warwick, RI 02886","null","null","https://lh5.googleusercontent.com/p/AF1QipOX8l3bznX08HvsivqWlVH0Za7Wn0VGwTumUX8J=w408-h306-k-no","null"
"1654801074-876","https://www.google.com/maps/place/Goddard+Memorial+State+Park/@41.6573476,-71.5758852,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+warwick+ri!3m5!1s0x89e44cd8133bdc05:0xb74a37e5bfc49e71!8m2!3d41.6573476!4d-71.4358095!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxhbkkzUmw5M1JSQUI","Goddard Memorial State Park","4.6","riparks.com","1095 Ives Rd, Warwick, RI 02818","null","null","https://lh5.googleusercontent.com/p/AF1QipOuj_YfLmC6zcc4cMs-w6CvQfr16NglzVqMUJt9=w506-h240-k-no","null"
"1654801033-872","https://www.google.com/maps/place/Buttonwoods+Beach+-+Warwick+City+Park/@41.7167584,-71.499323,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+warwick+ri!3m5!1s0x89e44d9da7ae5c63:0x9b3b76b6851231a2!8m2!3d41.6890068!4d-71.4064588!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxYMUJpVkU5M0VBRQ","Buttonwoods Beach - Warwick City Park","4.5","warwickri.gov","Steven O' Connor Blvd, Warwick, RI 02889","null","null","https://lh5.googleusercontent.com/p/AF1QipNwbB4ZMefBrefDzmrKVoRvkAx3Ngnwq-YGzWNQ=w408-h408-k-no","null"
"1654801043-873","https://www.google.com/maps/place/Conimicut+Point+Park/@41.7167584,-71.499323,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+warwick+ri!3m6!1s0x89e451f53b5d4f01:0x74b2859c1469aaec!8m2!3d41.7167584!4d-71.3592473!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhNM0l5V1RsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Scenic waterfront park & site for launching canoes & kayaks, with sandy beaches & a picnic area."
"1654800982-867","https://www.google.com/maps/place/Not+Your+Average+Joe's/@41.7249728,-71.5938425,12z/data=!4m10!1m2!2m1!1sfood+in+warwick+ri!3m6!1s0x89e44c0848f60717:0x6158e57503deccd3!8m2!3d41.7249724!4d-71.4738106!10e1!15sChJmb29kIGluIHdhcndpY2sgcmlaFCISZm9vZCBpbiB3YXJ3aWNrIHJpkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi","null","Comfortable, contemporary chain offering an eclectic American menu & a full bar."
"1654801002-869","https://www.google.com/maps/place/Clouds+Hill+Museum/@41.6784395,-71.5929503,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+warwick+ri!3m6!1s0x89e44cecb80df26f:0x5e2e11a035c0a2fe!8m2!3d41.6784406!4d-71.4527902!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMmJXOXBZM3BSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible parking lot","null","null","Built in 1877, this Gothic Revival house museum with period furnishings offers events & a gift shop."
"1654801013-870","https://www.google.com/maps/place/Clouds+Hill+Museum/@41.6784395,-71.5929503,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+warwick+ri!3m5!1s0x89e44cecb80df26f:0x5e2e11a035c0a2fe!8m2!3d41.6784406!4d-71.4527902!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMmJXOXBZM3BSUlJBQg","Clouds Hill Museum","4.7","cloudshill.org","4157 Post Rd, East Greenwich, RI 02818","null","null","https://lh5.googleusercontent.com/p/AF1QipNNkdpb4lkCu7zo2NTF_p0euAboxc-vrJqVCvWE=w408-h306-k-no","null"
"1654801064-875","https://www.google.com/maps/place/Goddard+Memorial+State+Park/@41.6573476,-71.5758852,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+warwick+ri!3m6!1s0x89e44cd8133bdc05:0xb74a37e5bfc49e71!8m2!3d41.6573476!4d-71.4358095!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaVocIhp0aGluZ3MgdG8gZG8gaW4gd2Fyd2ljayByaZIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkxhbkkzUmw5M1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Recreational destination with picnic sites, lawns, woods, horse trails & a 9-hole golf course."
