web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654801334-878","https://www.google.com/maps/place/Chelo's+Hometown+Bar+%26+Grille/@41.9988098,-71.5519866,14z/data=!4m9!1m2!2m1!1sfood+in+woonsocket+ri!3m5!1s0x89e46a4b4e1344c7:0xccf785362a0021b4!8m2!3d42.0076381!4d-71.5064124!15sChVmb29kIGluIHdvb25zb2NrZXQgcmlaFyIVZm9vZCBpbiB3b29uc29ja2V0IHJpkgEKcmVzdGF1cmFudA","Chelo's Hometown Bar & Grille","4.2","chelos.com","490 Clinton St, Woonsocket, RI 02895","null","null","https://lh5.googleusercontent.com/p/AF1QipP4ZJ9doLJTzbZAmt6lf1olYuyQj43n_NMU1Hy6=w426-h240-k-no","null"
"1654801405-885","https://www.google.com/maps/place/Museum+of+Work+%26+Culture/@41.999249,-71.6563833,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+woonsocket+ri!3m6!1s0x89e46a5a617ef2d1:0x2a6370ae6af09878!8m2!3d41.9992441!4d-71.5163269!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaVofIh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVmJEUkxURE5SUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Exhibits on Rhode Island's 18th- & 19th-century mill workers, with hands-on activities & games."
"1654801364-881","https://www.google.com/maps/place/Kay's+Restaurant/@42.0033451,-71.5186907,14z/data=!4m10!1m2!2m1!1sfood+in+woonsocket+ri!3m6!1s0x89e46bd4d47bc6fd:0x5a8760b8540dd726!8m2!3d42.003995!4d-71.4806998!10e1!15sChVmb29kIGluIHdvb25zb2NrZXQgcmlaFyIVZm9vZCBpbiB3b29uc29ja2V0IHJpkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible parking lot","null","null","Hearty American sandwiches, including lobster rolls, in a casual space with booths & a bar."
"1654801415-886","https://www.google.com/maps/place/Museum+of+Work+%26+Culture/@41.999249,-71.6563833,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+woonsocket+ri!3m5!1s0x89e46a5a617ef2d1:0x2a6370ae6af09878!8m2!3d41.9992441!4d-71.5163269!15sCh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaVofIh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVmJEUkxURE5SUlJBQg","Museum of Work & Culture","4.6","rihs.org","42 S Main St, Woonsocket, RI 02895","null","null","https://lh5.googleusercontent.com/p/AF1QipMW4dtUOiX78qnfTycuKTpDtlqbImUTMZcmiaoj=w408-h272-k-no","null"
"1654801344-879","https://www.google.com/maps/place/River+Falls/@41.9988098,-71.5519866,14z/data=!4m10!1m2!2m1!1sfood+in+woonsocket+ri!3m6!1s0x89e46a5a43b9f399:0x9612cf026be6c535!8m2!3d41.9988098!4d-71.5169677!10e1!15sChVmb29kIGluIHdvb25zb2NrZXQgcmlaFyIVZm9vZCBpbiB3b29uc29ja2V0IHJpkgENYmFyX2FuZF9ncmlsbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWRuUTJjMlozRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom","null","Casual eatery offering dinner specials & an American menu of steaks, seafood & burgers."
"1654801323-877","https://www.google.com/maps/place/Chelo's+Hometown+Bar+%26+Grille/@41.9988098,-71.5519866,14z/data=!4m10!1m2!2m1!1sfood+in+woonsocket+ri!3m6!1s0x89e46a4b4e1344c7:0xccf785362a0021b4!8m2!3d42.0076381!4d-71.5064124!10e1!15sChVmb29kIGluIHdvb25zb2NrZXQgcmlaFyIVZm9vZCBpbiB3b29uc29ja2V0IHJpkgEKcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs","null","Laid-back, family-owned Rhode Island chain spot serving salads, burgers & other homestyle fare."
"1654801385-883","https://www.google.com/maps/place/Stadium+Theatre/@42.0291222,-71.7314653,11.19z/data=!4m10!1m2!2m1!1sthings+to+do+in+woonsocket+ri!3m6!1s0x89e46a4df249491b:0xfb47352738eaa708!8m2!3d42.005337!4d-71.5124408!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaVofIh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaZIBF3BlcmZvcm1pbmdfYXJ0c190aGVhdGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TFRoaGRYQm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","This restored circa-1926 venue offers musical, comedy & dramatic performances plus classes."
"1654801375-882","https://www.google.com/maps/place/Kay's+Restaurant/@42.0033451,-71.5186907,14z/data=!4m9!1m2!2m1!1sfood+in+woonsocket+ri!3m5!1s0x89e46bd4d47bc6fd:0x5a8760b8540dd726!8m2!3d42.003995!4d-71.4806998!15sChVmb29kIGluIHdvb25zb2NrZXQgcmlaFyIVZm9vZCBpbiB3b29uc29ja2V0IHJpkgETYW1lcmljYW5fcmVzdGF1cmFudA","Kay's Restaurant","4.5","kaysrestaurant.com","1013 Cass Ave, Woonsocket, RI 02895","null","null","https://lh5.googleusercontent.com/p/AF1QipM8lKj-CfsU8Bs-ZExs-t2lSqU5cRUwy0hIYkbY=w408-h306-k-no","null"
"1654801354-880","https://www.google.com/maps/place/River+Falls/@41.9988098,-71.5519866,14z/data=!4m9!1m2!2m1!1sfood+in+woonsocket+ri!3m5!1s0x89e46a5a43b9f399:0x9612cf026be6c535!8m2!3d41.9988098!4d-71.5169677!15sChVmb29kIGluIHdvb25zb2NrZXQgcmlaFyIVZm9vZCBpbiB3b29uc29ja2V0IHJpkgENYmFyX2FuZF9ncmlsbJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWRuUTJjMlozRUFF","River Falls","4.2","riverfallscomplex.com","74 S Main St, Woonsocket, RI 02895","null","null","https://lh5.googleusercontent.com/p/AF1QipOfvOUNw1b6ot00yPJj_tFbyItKWHcI2zxw1MVX=w408-h306-k-no","null"
"1654801395-884","https://www.google.com/maps/place/Stadium+Theatre/@42.0291222,-71.7314653,11.19z/data=!4m9!1m2!2m1!1sthings+to+do+in+woonsocket+ri!3m5!1s0x89e46a4df249491b:0xfb47352738eaa708!8m2!3d42.005337!4d-71.5124408!15sCh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaVofIh10aGluZ3MgdG8gZG8gaW4gd29vbnNvY2tldCByaZIBF3BlcmZvcm1pbmdfYXJ0c190aGVhdGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TFRoaGRYQm5SUkFC","Stadium Theatre","4.7","stadiumtheatre.com","28 Monument Square, Woonsocket, RI 02895","null","null","https://lh5.googleusercontent.com/p/AF1QipMjlaf_ZSPcr_4H4SKV_gaTHNwpLZxNVWqsySvL=w408-h306-k-no","null"
