web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654798704-817","https://www.google.com/maps/place/California+Dreaming/@33.9905565,-81.0994815,13z/data=!4m10!1m2!2m1!1sfood+in+columbia+sc!3m6!1s0x88f8bad8419c12fd:0xf3c1ffd78f845b75!8m2!3d33.9905565!4d-81.0294437!10e1!15sChNmb29kIGluIGNvbHVtYmlhIHNjWhUiE2Zvb2QgaW4gY29sdW1iaWEgc2OSARNhbWVyaWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJyYURoMmVDMW5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Relaxed restaurant & bar chain serving steak & seafood, plus signature nachos, sandwiches & pasta."
"1654798745-821","https://www.google.com/maps/place/Riverbanks+Zoo+%26+Garden/@34.0278022,-81.1848209,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+sc!3m6!1s0x88f8a3558f7221af:0x5194361d1b5e0bb8!8m2!3d34.0100149!4d-81.0729917!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4TWtsVU1WbDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Zoo with African & Australian animals, reptile galleries, a bird house, a farm & botanical gardens."
"1654798725-819","https://www.google.com/maps/place/Frankie's+Fun+Park/@34.083421,-81.4360424,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+sc!3m6!1s0x88f8a20dd1e17551:0x5885d74fbce01710!8m2!3d34.083421!4d-81.155891!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEOYW11c2VtZW50X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhPSFp4Ym1OUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Lively outpost of a family-friendly chain with sprawling go-kart tracks, arcades & other amusements."
"1654798714-818","https://www.google.com/maps/place/California+Dreaming/@34.0297388,-81.0343962,13z/data=!4m9!1m2!2m1!1sfood+in+columbia+sc!3m5!1s0x88f8bad8419c12fd:0xf3c1ffd78f845b75!8m2!3d33.9905565!4d-81.0294437!15sChNmb29kIGluIGNvbHVtYmlhIHNjWhUiE2Zvb2QgaW4gY29sdW1iaWEgc2OSARNhbWVyaWNhbl9yZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJyYURoMmVDMW5SUkFC","California Dreaming","4.2","californiadreaming.rest","401 Main St, Columbia, SC 29201","null","null","https://lh5.googleusercontent.com/p/AF1QipOatRV2TMeTPrm3tBw88YfuQWKoh0l--ia8yLha=w408-h306-k-no","null"
"1654798776-824","https://www.google.com/maps/place/EdVenture+Children's+Museum/@34.0278022,-81.1848209,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+sc!3m5!1s0x88f8bb371f811713:0x4583988908aa7158!8m2!3d33.997168!4d-81.04815!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEQY2hpbGRyZW5zX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU4xOXhSbmRuUlJBQg","EdVenture Children's Museum","4.5","edventure.org","211 Gervais St, Columbia, SC 29201","null","null","https://lh5.googleusercontent.com/p/AF1QipO8Xi1J4oy04_PK3-ettR7WlaRLWiMHSwsQsfYU=w426-h240-k-no","null"
"1654798755-822","https://www.google.com/maps/place/Riverbanks+Zoo+%26+Garden/@34.0278022,-81.1848209,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+columbia+sc!3m5!1s0x88f8a3558f7221af:0x5194361d1b5e0bb8!8m2!3d34.0100149!4d-81.0729917!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4TWtsVU1WbDNFQUU","Riverbanks Zoo & Garden","4.7","riverbanks.org","500 Wildlife Pkwy, Columbia, SC 29210","null","null","https://lh5.googleusercontent.com/p/AF1QipNknSONUpeqnBBH25zbe3DhFN3BAzT2IOWr74D0=w408-h306-k-no","null"
"1654798766-823","https://www.google.com/maps/place/EdVenture+Children's+Museum/@34.0278022,-81.1848209,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+columbia+sc!3m6!1s0x88f8bb371f811713:0x4583988908aa7158!8m2!3d33.997168!4d-81.04815!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEQY2hpbGRyZW5zX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReU4xOXhSbmRuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Over 350 hands-on exhibits that allow kids to explore human biology, nature, inventions & careers."
"1654798796-826","https://www.google.com/maps/place/South+Carolina+State+Museum/@34.0278022,-81.1848209,11z/data=!3m1!5s0x88f8bb36ad84ad33:0xa166775d1f06ef5b!4m9!1m2!2m1!1sthings+to+do+in+columbia+sc!3m5!1s0x88f8bb31367ab107:0xce19d9f420f1081!8m2!3d33.9990559!4d-81.0480824!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5T0RreWVETm5SUkFC","South Carolina State Museum","4.7","scmuseum.org","301 Gervais St, Columbia, SC 29201","null","null","https://lh5.googleusercontent.com/p/AF1QipOgcdRubhxSi5aXM_AyB9NiqISCFqUFGgbrLAmK=w427-h240-k-no","null"
"1654798735-820","https://www.google.com/maps/place/Frankie's+Fun+Park/@34.0278022,-81.1848209,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+columbia+sc!3m2!1s0x88f8a20dd1e17551:0x5885d74fbce01710!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEOYW11c2VtZW50X3BhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlhPSFp4Ym1OUkVBRQ","Frankie's Fun Park","4.4","frankies.com","140 Parkridge Dr, Columbia, SC 29212","null","null","https://lh5.googleusercontent.com/p/AF1QipM34JVRWEaoPwjuAA4z--8GMHRwwx1fTTV3wC9d=w408-h408-k-no","null"
"1654798786-825","https://www.google.com/maps/place/South+Carolina+State+Museum/@34.0278022,-81.1848209,11z/data=!3m1!5s0x88f8bb36ad84ad33:0xa166775d1f06ef5b!4m10!1m2!2m1!1sthings+to+do+in+columbia+sc!3m6!1s0x88f8bb31367ab107:0xce19d9f420f1081!8m2!3d33.9990559!4d-81.0480824!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gY29sdW1iaWEgc2NaHSIbdGhpbmdzIHRvIGRvIGluIGNvbHVtYmlhIHNjkgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5T0RreWVETm5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Exhibits on art, history, nature, science & technology, housed on 4 floors in a former textile mill."
