web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654799344-851","https://www.google.com/maps/place/Patriots+Point+Naval+%26+Maritime+Museum/@32.8602197,-80.1045214,10.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m6!1s0x88fe709056b59e09:0x25fb102b9df262d6!8m2!3d32.7905312!4d-79.9056076!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEPbWFyaXRpbWVfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMTVY5aWNsWkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Visitors can explore a retired Naval aircraft carrier, destroyer & submarine docked here year-round."
"1654799314-848","https://www.google.com/maps/place/Graze+Restaurant/@32.8250762,-79.879706,13z/data=!4m9!1m2!2m1!1sfood+in+mount+pleasant+sc!3m5!1s0x88fe70f60383452b:0x2af57463c3d81d29!8m2!3d32.8036089!4d-79.8883636!15sChlmb29kIGluIG1vdW50IHBsZWFzYW50IHNjWhsiGWZvb2QgaW4gbW91bnQgcGxlYXNhbnQgc2OSARNlY2xlY3RpY19yZXN0YXVyYW50","Graze Restaurant","4.6","grazecharleston.com","863 Houston Northcutt Blvd, Mt Pleasant, SC 29464","null","null","https://lh5.googleusercontent.com/p/AF1QipNy2O6rmjtx8djOiEOBnjrbLx00g3swjCJJh9kR=w423-h240-k-no","null"
"1654799395-856","https://www.google.com/maps/place/Mount+Pleasant+Memorial+Waterfront+Park/@32.8602197,-80.1045214,10.29z/data=!4m9!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m5!1s0x88fe7089711146a7:0x63a88b0266798464!8m2!3d32.801913!4d-79.9022591!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEJY2l0eV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54YjNaaFlXaFJSUkFC","Mount Pleasant Memorial Waterfront Park","4.8","tompsc.com","99 Harry M. Hallman Jr Blvd, Mt Pleasant, SC 29464","null","null","https://lh5.googleusercontent.com/p/AF1QipM2NDyKDl4c3f_8dKvhLe5FPgbjOUkqJM47HvcV=w408-h306-k-no","null"
"1654799324-849","https://www.google.com/maps/place/Splash+Island+Waterpark/@32.8602197,-80.1045214,10.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m6!1s0x88fe6e0a329318cd:0x75fd9fecd29a0b87!8m2!3d32.8648153!4d-79.8346218!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEKd2F0ZXJfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVmMxQlBVR2QzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Baggage storage   Gender-neutral restroom   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Seasonal family waterpark with a shallow pool with fountains, sprays & slides, plus a water chute."
"1654799303-847","https://www.google.com/maps/place/Graze+Restaurant/@32.8036194,-79.9583892,13z/data=!4m10!1m2!2m1!1sfood+in+mount+pleasant+sc!3m6!1s0x88fe70f60383452b:0x2af57463c3d81d29!8m2!3d32.8036089!4d-79.8883636!10e1!15sChlmb29kIGluIG1vdW50IHBsZWFzYW50IHNjWhsiGWZvb2QgaW4gbW91bnQgcGxlYXNhbnQgc2OSARNlY2xlY3RpY19yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   High chairs   Restroom   Free Wi-Fi","null","Modern establishment with an eclectic & ever-changing menu ranging from seafood to Southern eats."
"1654799355-852","https://www.google.com/maps/place/Patriots+Point+Naval+%26+Maritime+Museum/@32.8602197,-80.1045214,10.29z/data=!4m6!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m2!1s0x88fe709056b59e09:0x25fb102b9df262d6!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEPbWFyaXRpbWVfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJMTVY5aWNsWkJFQUU","Patriots Point Naval & Maritime Museum","4.8","patriotspoint.org","40 Patriots Point Rd, Mt Pleasant, SC 29464","null","null","https://lh5.googleusercontent.com/p/AF1QipORLg4IQfv_MhUr0snXX7Jk9qLaUUcLp7eZBuOi=w426-h240-k-no","null"
"1654799375-854","https://www.google.com/maps/place/Shem+Creek+Park/@32.8602197,-80.1045214,10.29z/data=!4m9!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m5!1s0x88fe70eff03c187f:0x976505a82608b9f4!8m2!3d32.7913882!4d-79.8846385!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNd2RrMHlTVkpuRUFF","Shem Creek Park","4.8","tompsc.com","Shrimp Boat Ln, Mt Pleasant, SC 29464","null","null","https://lh5.googleusercontent.com/p/AF1QipO7Nh5scl6ppMpHIkN6k380Q3gZUMVZFqYX1XE8=w408-h306-k-no","null"
"1654799334-850","https://www.google.com/maps/place/Splash+Island+Waterpark/@32.8602197,-80.1045214,10.29z/data=!4m9!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m5!1s0x88fe6e0a329318cd:0x75fd9fecd29a0b87!8m2!3d32.8648153!4d-79.8346218!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEKd2F0ZXJfcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVmMxQlBVR2QzUlJBQg","Splash Island Waterpark","4.5","ccprc.com","444 Needlerush Pkwy, Mt Pleasant, SC 29464","null","null","https://lh5.googleusercontent.com/p/AF1QipPgyWaymONCObV10jTZ54tilFNAjxJAQCOxLkcb=w408-h306-k-no","null"
"1654799365-853","https://www.google.com/maps/place/Shem+Creek+Park/@32.8602197,-80.1045214,10.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m6!1s0x88fe70eff03c187f:0x976505a82608b9f4!8m2!3d32.7913882!4d-79.8846385!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNd2RrMHlTVkpuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Boardwalks, trails & fishing boats highlight this tranquil town park with creek & wetlands views."
"1654799385-855","https://www.google.com/maps/place/Mount+Pleasant+Memorial+Waterfront+Park/@32.8602197,-80.1045214,10.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+mount+pleasant+sc!3m6!1s0x88fe7089711146a7:0x63a88b0266798464!8m2!3d32.801913!4d-79.9022591!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gbW91bnQgcGxlYXNhbnQgc2NaIyIhdGhpbmdzIHRvIGRvIGluIG1vdW50IHBsZWFzYW50IHNjkgEJY2l0eV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54YjNaaFlXaFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","A nautical-themed playground, 1,250-ft pier with bench swings, cafe/gift shop & scenic harbor views."
