web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654798918-829","https://www.google.com/maps/place/Manchester+Meadows+Park/@35.0100332,-81.3429928,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m6!1s0x885686207267d8cf:0x869ecd50577a9a35!8m2!3d34.9440169!4d-80.9836032!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjWh4iHHRoaW5ncyB0byBkbyBpbiByb2NrIGhpbGwgc2OSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljRXRpY1hwQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","City park with multiple soccer fields, a playground & sheltered picnic areas, plus walking trails."
"1654798938-831","https://www.google.com/maps/place/Main+Street+Children's+Museum/@35.0100332,-81.3429928,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m6!1s0x88568855eaee6243:0x19f6aa5ba8b427da!8m2!3d34.9256428!4d-81.0268653!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjWh4iHHRoaW5ncyB0byBkbyBpbiByb2NrIGhpbGwgc2OSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF3ZG05SVVIQjNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Whimsical, artist-inspired venue offering imaginative & interactive activities for kids."
"1654798969-834","https://www.google.com/maps/place/Fountain+Park/@35.0100332,-81.3429928,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m5!1s0x8856885692a80adf:0x16d70e92a40b2cc6!8m2!3d34.9233211!4d-81.024468!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjWh4iHHRoaW5ncyB0byBkbyBpbiByb2NrIGhpbGwgc2OSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnBiV0ZRWkRsblJSQUI","Fountain Park","4.7","cityofrockhill.com","300 E Main St, Rock Hill, SC 29730","null","null","https://lh5.googleusercontent.com/p/AF1QipMqAKpoTIVHDyqjkZpAkaV3JvQIiHDhngmVBP1B=w408-h306-k-no","null"
"1654798907-828","https://www.google.com/maps/place/The+Dixie+Pig+Rock+Hill/@34.950123,-81.0522794,13z/data=!4m6!1m2!2m1!1sfood+in+rock+hill+sc!3m2!1s0x88568f490e36f6db:0xb205ddfad6b57f72!15sChRmb29kIGluIHJvY2sgaGlsbCBzY1oWIhRmb29kIGluIHJvY2sgaGlsbCBzY5IBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","The Dixie Pig Rock Hill","4.6","thedixiepigbbq.com","2007 Celanese Rd, Rock Hill, SC 29732","null","null","https://lh5.googleusercontent.com/p/AF1QipO2MWVCOGWjJTBr7_jQFzT4BQKE486mlXBRC4P7=w427-h240-k-no","null"
"1654798990-836","https://www.google.com/maps/place/Museum+of+York+County/@34.9621272,-81.1482015,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m5!1s0x88568e8eae7387e1:0xa4a38544d4a6d3d5!8m2!3d35.0100979!4d-81.0628805!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjSO6G9ITmgICACFoeIhx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjYgkJUJ2Y45yxm3qSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oTms5TGQyaG5SUkFC","Museum of York County","4.7","chmuseums.org","4621 Mt Gallant Rd, Rock Hill, SC 29732","null","null","https://lh5.googleusercontent.com/p/AF1QipPZu5lNy_06o7GiXhixaj7e3VP-foA1N3UVY3Sx=w426-h240-k-no","null"
"1654798979-835","https://www.google.com/maps/place/Museum+of+York+County/@35.0100332,-81.3429928,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m6!1s0x88568e8eae7387e1:0xa4a38544d4a6d3d5!8m2!3d35.0100979!4d-81.0628805!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjSO6G9ITmgICACFoeIhx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjYgkJUJ2Y45yxm3qSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oTms5TGQyaG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Heritage museum with a naturalist center & hands-on programs, plus specimens, a planetarium & store."
"1654798897-827","https://www.google.com/maps/place/The+Dixie+Pig+Rock+Hill/@34.950123,-81.0522794,13z/data=!4m10!1m2!2m1!1sfood+in+rock+hill+sc!3m6!1s0x88568f490e36f6db:0xb205ddfad6b57f72!8m2!3d34.9761055!4d-81.0054234!10e1!15sChRmb29kIGluIHJvY2sgaGlsbCBzY1oWIhRmb29kIGluIHJvY2sgaGlsbCBzY5IBE2JhcmJlY3VlX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   High chairs","null","Intimate locale serving familiar barbecue grub such as pulled pork & ribs in low-key surrounds."
"1654798928-830","https://www.google.com/maps/place/Manchester+Meadows+Park/@35.0100332,-81.3429928,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m5!1s0x885686207267d8cf:0x869ecd50577a9a35!8m2!3d34.9440169!4d-80.9836032!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjWh4iHHRoaW5ncyB0byBkbyBpbiByb2NrIGhpbGwgc2OSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXljRXRpY1hwQlJSQUI","Manchester Meadows Park","4.7","cityofrockhill.com","337 E Mt Gallant Rd, Rock Hill, SC 29730","null","null","https://lh5.googleusercontent.com/p/AF1QipMXXnactpL2QsWeOzHFUwyiu5HUusg4gjLBvjQ_=w426-h240-k-no","null"
"1654798959-833","https://www.google.com/maps/place/Fountain+Park/@35.0100332,-81.3429928,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m6!1s0x8856885692a80adf:0x16d70e92a40b2cc6!8m2!3d34.9233211!4d-81.024468!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjWh4iHHRoaW5ncyB0byBkbyBpbiByb2NrIGhpbGwgc2OSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnBiV0ZRWkRsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Community area with a lawn & event space, plus a circular fountain with illuminated displays."
"1654798948-832","https://www.google.com/maps/place/Main+Street+Children's+Museum/@35.0100332,-81.3429928,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+rock+hill+sc!3m5!1s0x88568855eaee6243:0x19f6aa5ba8b427da!8m2!3d34.9256428!4d-81.0268653!15sChx0aGluZ3MgdG8gZG8gaW4gcm9jayBoaWxsIHNjWh4iHHRoaW5ncyB0byBkbyBpbiByb2NrIGhpbGwgc2OSARBjaGlsZHJlbnNfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF3ZG05SVVIQjNSUkFC","Main Street Children's Museum","4.3","chmuseums.org","133 E Main St, Rock Hill, SC 29730","null","null","https://lh5.googleusercontent.com/p/AF1QipNMlpAXgPbblj0hGDppsnaAB_8LyqTsW59YjQD7=w426-h240-k-no","null"
