web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654799160-843","https://www.google.com/maps/place/Swan+Lake+Iris+Gardens/@34.9944229,-83.4509293,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+sumter+sc!3m6!1s0x88ff68d3cb837055:0xa9412815c43b9697!8m2!3d33.9194566!4d-80.3708248!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlPRGhZYWpSUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Tranquil park known for its swans, geese & ducks, plus Japanese iris blooms & a lake with turtles."
"1654799109-838","https://www.google.com/maps/place/Simply+Southern+Bistro/@33.9389508,-80.4180623,13z/data=!4m9!1m2!2m1!1sfood+in+sumter+sc!3m5!1s0x88ff68a70276cfe7:0xc027843a44248c8d!8m2!3d33.9513121!4d-80.3801972!15sChFmb29kIGluIHN1bXRlciBzY1oTIhFmb29kIGluIHN1bXRlciBzY5IBCnJlc3RhdXJhbnQ","Simply Southern Bistro","4.4","simplysouthernbistro.com","65 W Wesmark Blvd, Sumter, SC 29150","null","null","https://lh5.googleusercontent.com/p/AF1QipO9yfM5UFF3x9NQmlmjJmtXlKVTQl2k_lJc1E5W=w439-h240-k-no","null"
"1654799170-844","https://www.google.com/maps/place/Swan+Lake+Iris+Gardens/@34.9944229,-83.4509293,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+sumter+sc!3m5!1s0x88ff68d3cb837055:0xa9412815c43b9697!8m2!3d33.9194566!4d-80.3708248!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlPRGhZYWpSUlJSQUI","Swan Lake Iris Gardens","4.7","sumtersc.gov","822 W Liberty St, Sumter, SC 29150","null","null","https://lh5.googleusercontent.com/p/AF1QipOnOXS6S_-emVqFX_28_hUITb1YoXnT9shRfeEe=w408-h271-k-no","null"
"1654799181-845","https://www.google.com/maps/place/Sumter+County+Museum/@34.9944229,-83.4509293,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+sumter+sc!3m6!1s0x88ff6f3dddb5b811:0xd5b30c939fa450bb!8m2!3d33.9233766!4d-80.3448047!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRlRkJRWXpaQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Historical exhibits in an Edwardian house & re-enactments staged in a log cabin complex."
"1654799119-839","https://www.google.com/maps/place/Fort+Sumter+National+Monument/@32.7523476,-84.3571144,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+sumter+sc!3m6!1s0x88fe76d4e9efb1c1:0xeb621a56355d9e74!8m2!3d32.7523476!4d-79.8746925!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQ1oaXN0b3JpY19zaXRlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJIYjB0eGQyNW5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Accessed by boat, this fort with ruins, gun emplacements & a museum saw the Civil War’s first shots."
"1654799129-840","https://www.google.com/maps/place/Fort+Sumter+National+Monument/@34.9944229,-83.4509293,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+sumter+sc!3m5!1s0x88fe76d4e9efb1c1:0xeb621a56355d9e74!8m2!3d32.7523476!4d-79.8746925!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQ1oaXN0b3JpY19zaXRlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJIYjB0eGQyNW5SUkFC","Fort Sumter National Monument","4.7","nps.gov","South Carolina 29412","null","null","https://lh5.googleusercontent.com/p/AF1QipPLOSHVuzhKKsoZwsVeAHKX9-ONqwgcuenjknc=w408-h306-k-no","null"
"1654799191-846","https://www.google.com/maps/place/Sumter+County+Museum/@34.9944229,-83.4509293,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+sumter+sc!3m5!1s0x88ff6f3dddb5b811:0xd5b30c939fa450bb!8m2!3d33.9233766!4d-80.3448047!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnRlRkJRWXpaQlJSQUI","Sumter County Museum","4.7","sumtercountymuseum.org","122 N Washington St Suite A, Sumter, SC 29150","null","null","https://lh5.googleusercontent.com/p/AF1QipO1aqB96Cy1dgXXibzKEjF9S-zbQCeZ2QbhFCgw=w408-h306-k-no","null"
"1654799099-837","https://www.google.com/maps/place/Simply+Southern+Bistro/@33.9389508,-80.4180623,13z/data=!4m10!1m2!2m1!1sfood+in+sumter+sc!3m6!1s0x88ff68a70276cfe7:0xc027843a44248c8d!8m2!3d33.9513121!4d-80.3801972!10e1!15sChFmb29kIGluIHN1bXRlciBzY1oTIhFmb29kIGluIHN1bXRlciBzY5IBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Grilled meats, seafood & straightforward Southern staples in a laid-back eatery with booths."
"1654799140-841","https://www.google.com/maps/place/Patriot+Park/@34.9944229,-83.4509293,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+sumter+sc!3m6!1s0x88ff684110cd6403:0x7a2e24bc0dc496a2!8m2!3d33.9339234!4d-80.4304993!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYmpkcFNqbG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Green space with a sports complex housing baseball/soccer fields, plus a pond & dog-friendly trails."
"1654799150-842","https://www.google.com/maps/place/Patriot+Park/@34.9944229,-83.4509293,7z/data=!4m6!1m2!2m1!1sthings+to+do+in+sumter+sc!3m2!1s0x88ff684110cd6403:0x7a2e24bc0dc496a2!15sChl0aGluZ3MgdG8gZG8gaW4gc3VtdGVyIHNjWhsiGXRoaW5ncyB0byBkbyBpbiBzdW10ZXIgc2OSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5IYmpkcFNqbG5SUkFC","Patriot Park","4.6","null","380 General Dr, Sumter, SC 29150","null","null","https://lh5.googleusercontent.com/p/AF1QipNQLRpsVXL6niSAlIykJk8zeMJv6SSDDF07fSn8=w408-h725-k-no","null"
