web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654747285-590","https://www.google.com/maps/place/Mavericks+Steak+%26+Cocktails/@44.3797937,-103.7428166,14z/data=!3m1!5s0x5332a6a070272489:0x2e7969f566dbde61!4m9!1m2!2m1!1sfood+in+deadwoodd+sd!3m5!1s0x5332a6ba0a883b29:0xe72af288e777ef3c!8m2!3d44.3766937!4d-103.7307205!15sChNmb29kIGluIGRlYWR3b29kIHNkWhUiE2Zvb2QgaW4gZGVhZHdvb2Qgc2SSAQtzdGVha19ob3VzZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVHSnRaVmRCRUFF","Mavericks Steak & Cocktails","4.4","maverickssteak.com","688 Main St, Deadwood, SD 57732","null","null","https://lh5.googleusercontent.com/p/AF1QipPiJJzlfTMweKKaBCPp3dGB76K7R6MQHjVWlCY=w408-h299-k-no","null"
"1654747348-596","https://www.google.com/maps/place/Days+of+'76+Museum/@44.3757487,-108.2118752,7z/data=!4m6!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m2!1s0x5332a6a04400fd97:0x653e0732c6b3007a!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhNbHA2UlUxUkVBRQ","Days of '76 Museum","4.5","deadwoodhistory.com","18 76th Dr, Deadwood, SD 57732","null","null","https://lh5.googleusercontent.com/p/AF1QipMLv79z5QSBt-xjTqCJwLOZVH6dbEYKq5FBh8LX=w408-h272-k-no","null"
"1654747296-591","https://www.google.com/maps/place/Tatanka+Story+of+Bison/@44.3757487,-108.2118752,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m6!1s0x5332a6a04400fd97:0x5397769b24431eea!8m2!3d44.3983768!4d-103.7141177!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhRXR5YldSUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Unique spot featuring bison & Native American history exhibits, life-size sculptures & a gift shop."
"1654747306-592","https://www.google.com/maps/place/Tatanka+Story+of+Bison/@44.3757487,-108.2118752,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m5!1s0x5332a6a04400fd97:0x5397769b24431eea!8m2!3d44.3983768!4d-103.7141177!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhRXR5YldSUkVBRQ","Tatanka Story of Bison","4.4","storyofthebison.com","100 Tatanka Dr, Deadwood, SD 57732","null","null","https://lh5.googleusercontent.com/p/AF1QipOSUtQbGtsrOhmAlnK4nDno8DsbqgYgJRJRry9b=w408-h271-k-no","null"
"1654747275-589","https://www.google.com/maps/place/Mavericks+Steak+%26+Cocktails/@44.3797937,-103.7428166,14z/data=!3m1!5s0x5332a6a070272489:0x2e7969f566dbde61!4m10!1m2!2m1!1sfood+in+deadwoodd+sd!3m6!1s0x5332a6ba0a883b29:0xe72af288e777ef3c!8m2!3d44.3766937!4d-103.7307205!10e1!15sChNmb29kIGluIGRlYWR3b29kIHNkWhUiE2Zvb2QgaW4gZGVhZHdvb2Qgc2SSAQtzdGVha19ob3VzZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVHSnRaVmRCRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance","Amenities    Bar onsite   High chairs   Restroom","null","Steaks, burgers, draft beer & sports on TV in a Western-themed setting at the Gold Dust Casino."
"1654747358-597","https://www.google.com/maps/place/Adams+Museum/@44.3757487,-108.2118752,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m6!1s0x5332a6a02338e48d:0x65bbefa0053a46d5!8m2!3d44.3757487!4d-103.7294533!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMmNYQmhXVTUzRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Gender-neutral restroom   Good for kids   Restaurant","null","Joint venture combining a Black Hills history museum & the 1892 home of one of Deadwood's founders."
"1654747317-593","https://www.google.com/maps/place/Broken+Boot+Gold+Mine/@44.3757487,-108.2118752,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m6!1s0x5332a6ba0a8dd44b:0x3ed9a005bb4758f8!8m2!3d44.3707038!4d-103.7428503!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhPUzFIVTFkUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Rustic local attraction featuring guided tours of underground former gold mines."
"1654747368-598","https://www.google.com/maps/place/Adams+Museum/@44.4172192,-102.7088543,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m5!1s0x5332a6a02338e48d:0x65bbefa0053a46d5!8m2!3d44.3757487!4d-103.7294533!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMmNYQmhXVTUzRUFF","Adams Museum","4.5","deadwoodhistory.com","54 Sherman St, Deadwood, SD 57732","null","null","https://lh5.googleusercontent.com/p/AF1QipNTlw8LSWfYYLljPiSNzab_u0hdGlSuO6tKCNRh=w408-h294-k-no","null"
"1654747327-594","https://www.google.com/maps/place/Broken+Boot+Gold+Mine/@44.3757487,-108.2118752,7z/data=!4m9!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m5!1s0x5332a6ba0a8dd44b:0x3ed9a005bb4758f8!8m2!3d44.3707038!4d-103.7428503!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhPUzFIVTFkUkVBRQ","Broken Boot Gold Mine","4.5","brokenbootgoldmine.com","1200 Pioneer Way, Deadwood, SD 57732","null","null","https://lh5.googleusercontent.com/p/AF1QipM3KXkgRZMqSJ69pJC6oB4s8tr0xpnD7WGO2Oel=w426-h240-k-no","null"
"1654747337-595","https://www.google.com/maps/place/Days+of+'76+Museum/@44.3757487,-108.2118752,7z/data=!4m10!1m2!2m1!1sthings+to+do+in+deadwoodd+sd!3m6!1s0x5332a6a04400fd97:0x653e0732c6b3007a!8m2!3d44.385831!4d-103.7159666!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gZGVhZHdvb2RkIHNkWh4iHHRoaW5ncyB0byBkbyBpbiBkZWFkd29vZGQgc2SSAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhNbHA2UlUxUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Seasonal museum to the annual Days of '76 festival, with memorabilia & a range of exhibits."
