web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654747080-581","https://www.google.com/maps/place/La+Minestra/@44.3656693,-100.3897171,14z/data=!4m10!1m2!2m1!1sfood+in+pierre+sd!3m6!1s0x8780123c9017b5a9:0x8cfc39d4bb6a2ac0!8m2!3d44.3655026!4d-100.3545107!10e1!15sChFmb29kIGluIHBpZXJyZSBzZFoTIhFmb29kIGluIHBpZXJyZSBzZJIBEml0YWxpYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    High chairs","null","Gourmet pizza, traditional Italian cuisine & cocktails offered in a relaxed restaurant."
"1654747069-580","https://www.google.com/maps/place/RedRossa+Italian+Grille/@44.3656693,-100.3897171,14z/data=!4m9!1m2!2m1!1sfood+in+pierre+sd!3m5!1s0x878011e53e7c18db:0x66ba44aff2750b0c!8m2!3d44.3720807!4d-100.3623456!15sChFmb29kIGluIHBpZXJyZSBzZFoTIhFmb29kIGluIHBpZXJyZSBzZJIBEml0YWxpYW5fcmVzdGF1cmFudA","RedRossa Italian Grille","4.2","redrossa.com","808 W Sioux Ave Ste 200, Pierre, SD 57501","null","null","https://lh5.googleusercontent.com/p/AF1QipNjX6wxy1HKHrKMRSnN0YBznwoDHaUwHWByGXSx=w408-h270-k-no","null"
"1654747111-584","https://www.google.com/maps/place/Oahe+Downstream+State+Recreation+Area/@44.371909,-100.5036327,12z/data=!3m1!5s0x8780121c28919e51:0xd6ce12872a7bbb94!4m6!1m2!2m1!1sthings+to+do+in+pierre+sd!3m2!1s0x87800f200857a81f:0xa20bc29f506833dc!15sChl0aGluZ3MgdG8gZG8gaW4gcGllcnJlIHNkWhsiGXRoaW5ncyB0byBkbyBpbiBwaWVycmUgc2SSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oZDBsSFJuUkJSUkFC","Oahe Downstream State Recreation Area","4.6","gfp.sd.gov","20439 Marina Loop, Fort Pierre, SD 57532","null","null","https://lh5.googleusercontent.com/p/AF1QipNwZg2mFgJoTYjhE33RJHBYOYUkfRWsCMiz4asr=w426-h240-k-no","null"
"1654747131-586","https://www.google.com/maps/place/South+Dakota+State+Capitol/@44.371909,-100.5036327,12z/data=!3m1!5s0x8780121c28919e51:0xd6ce12872a7bbb94!4m9!1m2!2m1!1sthings+to+do+in+pierre+sd!3m5!1s0x8780121c288b8ae5:0x87b7b15e29632ed!8m2!3d44.3671406!4d-100.3463686!15sChl0aGluZ3MgdG8gZG8gaW4gcGllcnJlIHNkWhsiGXRoaW5ncyB0byBkbyBpbiBwaWVycmUgc2SSARdzdGF0ZV9nb3Zlcm5tZW50X29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVE4zUlBNSGRCUlJBQg","South Dakota State Capitol","4.6","boa.sd.gov","500 E Capitol Ave, Pierre, SD 57501","null","null","https://lh5.googleusercontent.com/p/AF1QipOONXBxCQPUVnzfGXFUN5EVVesIvXNRJy11NgZA=w426-h240-k-no","null"
"1654747121-585","https://www.google.com/maps/place/South+Dakota+State+Capitol/@44.371909,-100.5036327,12z/data=!3m1!5s0x8780121c28919e51:0xd6ce12872a7bbb94!4m10!1m2!2m1!1sthings+to+do+in+pierre+sd!3m6!1s0x8780121c288b8ae5:0x87b7b15e29632ed!8m2!3d44.3671406!4d-100.3463686!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gcGllcnJlIHNkWhsiGXRoaW5ncyB0byBkbyBpbiBwaWVycmUgc2SSARdzdGF0ZV9nb3Zlcm5tZW50X29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVE4zUlBNSGRCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom","null","null","Early-1900s neoclassical government seat with a marble staircase & rotunda, plus paintings & murals."
"1654747059-579","https://www.google.com/maps/place/RedRossa+Italian+Grille/@44.3656693,-100.3897171,14z/data=!4m10!1m2!2m1!1sfood+in+pierre+sd!3m6!1s0x878011e53e7c18db:0x66ba44aff2750b0c!8m2!3d44.3720807!4d-100.3623456!10e1!15sChFmb29kIGluIHBpZXJyZSBzZFoTIhFmb29kIGluIHBpZXJyZSBzZJIBEml0YWxpYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Casual restaurant with wood & stone accents turning out classic Italian entrees, wine & cocktails."
"1654747152-588","https://www.google.com/maps/place/South+Dakota+Discovery+Center/@44.3658523,-100.3779325,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+pierre+sd!3m5!1s0x878011e53e7c190b:0x1fd9253454d5ea82!8m2!3d44.371909!4d-100.363557!15sChl0aGluZ3MgdG8gZG8gaW4gcGllcnJlIHNkWhsiGXRoaW5ncyB0byBkbyBpbiBwaWVycmUgc2SSAQ5zY2llbmNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWVWb3RiMjVCUlJBQg","South Dakota Discovery Center","4.7","sd-discovery.org","805 W Sioux Ave, Pierre, SD 57501","null","null","https://lh5.googleusercontent.com/p/AF1QipMU9mNokN9ZYWHCTL_ZY1Dt5SGPdlvMbDUCDQPY=w426-h240-k-no","null"
"1654747090-582","https://www.google.com/maps/place/La+Minestra/@44.3656693,-100.3897171,14z/data=!4m9!1m2!2m1!1sfood+in+pierre+sd!3m5!1s0x8780123c9017b5a9:0x8cfc39d4bb6a2ac0!8m2!3d44.3655026!4d-100.3545107!15sChFmb29kIGluIHBpZXJyZSBzZFoTIhFmb29kIGluIHBpZXJyZSBzZJIBEml0YWxpYW5fcmVzdGF1cmFudA","La Minestra","4.5","null","106 E Dakota Ave, Pierre, SD 57501","null","null","https://lh5.googleusercontent.com/p/AF1QipPzO7TBdFSpXfY8FLsNFrokFGJ9cJ5hzBJFZ449=w408-h408-k-no","null"
"1654747142-587","https://www.google.com/maps/place/South+Dakota+Discovery+Center/@44.371909,-100.5036327,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+pierre+sd!3m6!1s0x878011e53e7c190b:0x1fd9253454d5ea82!8m2!3d44.371909!4d-100.363557!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gcGllcnJlIHNkWhsiGXRoaW5ncyB0byBkbyBpbiBwaWVycmUgc2SSAQ5zY2llbmNlX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWVWb3RiMjVCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom","null","Playful museum offering over 60 interactive science exhibits for young children."
"1654747100-583","https://www.google.com/maps/place/Oahe+Downstream+State+Recreation+Area/@44.435214,-100.531979,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+pierre+sd!3m6!1s0x87800f200857a81f:0xa20bc29f506833dc!8m2!3d44.435214!4d-100.3919033!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gcGllcnJlIHNkWhsiGXRoaW5ncyB0byBkbyBpbiBwaWVycmUgc2SSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5oZDBsSFJuUkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Waterfront campground & hiking area with fishing, disc golf & wildlife, including bald eagles."
