web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654748391-602","https://www.google.com/maps/place/Wind+Cave+National+Park/@43.5724388,-103.7217158,11z/data=!4m10!1m3!2m2!1sthings+to+do+in+watertown+sd!6e1!3m5!1s0x877cd6682456d573:0x39ed508f2559a57f!8m2!3d43.5724388!4d-103.4415644!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQ1uYXRpb25hbF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YUdNdGMxQm5FQUU","Wind Cave National Park","4.6","nps.gov","26611 US Highway 385
Hot Springs , SD 57747","null","null","https://lh5.googleusercontent.com/p/AF1QipMi8TOmQ0YJgzZ0mjFiRPrDtazejB01Y0NXRfNq=w408-h306-k-no","null"
"1654748370-600","https://www.google.com/maps/place/Mount+Rushmore+National+Memorial/@43.8791025,-103.7392181,11z/data=!4m10!1m3!2m2!1sthings+to+do+in+watertown+sd!6e1!3m5!1s0x877d35d8b53ed6df:0xdaf53dbe055cc641!8m2!3d43.8791025!4d-103.4590667!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQ1tZW1vcmlhbF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54YkdKeWNGaEJFQUU","Mount Rushmore National Memorial","4.7","nps.gov","13000 SD-244, Keystone, SD 57751","null","null","https://lh5.googleusercontent.com/p/AF1QipN77i3hnEERBZxibwEBiIXwTYFrJ9h9Oc7R3AGg=w408-h306-k-no","null"
"1654748380-601","https://www.google.com/maps/place/Wind+Cave+National+Park/@43.5724388,-103.7217158,11z/data=!4m11!1m3!2m2!1sthings+to+do+in+watertown+sd!6e1!3m6!1s0x877cd6682456d573:0x39ed508f2559a57f!8m2!3d43.5724388!4d-103.4415644!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQ1uYXRpb25hbF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YUdNdGMxQm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Wildlife-rich prairie land named for one of the world’s longest caves, open year-round for tours."
"1654748360-599","https://www.google.com/maps/place/Mount+Rushmore+National+Memorial/@43.8791025,-103.7392181,11z/data=!4m11!1m3!2m2!1sthings+to+do+in+watertown+sd!6e1!3m6!1s0x877d35d8b53ed6df:0xdaf53dbe055cc641!8m2!3d43.8791025!4d-103.4590667!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQ1tZW1vcmlhbF9wYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54YkdKeWNGaEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Massive mountainside sculpture drawing crowds for its depiction of 4 former American presidents."
"1654748411-604","https://www.google.com/maps/place/Dempsey's+Brewery+Restaurant+%26+Pub/@44.9048712,-97.2899886,11z/data=!4m10!1m3!2m2!1sthings+to+do+in+watertown+sd!6e1!3m5!1s0x52ccd7dae0fa3e2f:0xc62931bd567e4a58!8m2!3d44.902844!4d-97.113937!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSARNldXJvcGVhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ2ZFRkSE1tRm5FQUU","Dempsey's Brewery Restaurant & Pub","4.7","dempseybrewpub.com","127 N Broadway, Watertown, SD 57201","null","null","https://lh5.googleusercontent.com/p/AF1QipPKlRbghSmMoKHHLG0mzSPZGRtothmPCg6DGgfy=w408-h544-k-no","null"
"1654748432-606","https://www.google.com/maps/place/The+Codington+County+Heritage+Museum/@44.9048712,-97.2899886,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+watertown+sd!3m5!1s0x52ccd7d06f04e70f:0xc1550dc0afa332ad!8m2!3d44.899235!4d-97.113566!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlJjVFpxTkd0QlJSQUI","The Codington County Heritage Museum","4.7","cchsmuseum.org","27 1st Ave SE, Watertown, SD 57201","null","null","https://lh5.googleusercontent.com/p/AF1QipMI2ORO0Plt5RdaRmDqFOoOpNJ3VL9dhBg27cdL=w408-h291-k-no","null"
"1654748421-605","https://www.google.com/maps/place/The+Codington+County+Heritage+Museum/@44.9048712,-97.2899886,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+watertown+sd!3m6!1s0x52ccd7d06f04e70f:0xc1550dc0afa332ad!8m2!3d44.899235!4d-97.113566!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlJjVFpxTkd0QlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Museum in a 1906 library featuring permanent & temporary exhibitions about town & county history."
"1654748401-603","https://www.google.com/maps/place/Dempsey's+Brewery+Restaurant+%26+Pub/@44.9048712,-97.2899886,11z/data=!4m11!1m3!2m2!1sthings+to+do+in+watertown+sd!6e1!3m6!1s0x52ccd7dae0fa3e2f:0xc62931bd567e4a58!8m2!3d44.902844!4d-97.113937!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSARNldXJvcGVhbl9yZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ2ZFRkSE1tRm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs","null","Irish pub grub, brick-oven pies & microbrews served in a flag-adorned space with a seasonal deck."
"1654748442-607","https://www.google.com/maps/place/Bramble+Park+Zoo/@44.9048712,-97.2899886,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+watertown+sd!3m6!1s0x52cd2818dbf2b7b7:0x976fcf138f6fb169!8m2!3d44.9091545!4d-97.1306772!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkJaMDlMY1dsblJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Historic zoo housing more than 800 animals from over 100 species in habitats spread across 15 acres."
"1654748452-608","https://www.google.com/maps/place/Bramble+Park+Zoo/@44.9048712,-97.2899886,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+watertown+sd!3m5!1s0x52cd2818dbf2b7b7:0x976fcf138f6fb169!8m2!3d44.9091545!4d-97.1306772!15sChx0aGluZ3MgdG8gZG8gaW4gd2F0ZXJ0b3duIHNkWh4iHHRoaW5ncyB0byBkbyBpbiB3YXRlcnRvd24gc2SSAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkJaMDlMY1dsblJSQUI","Bramble Park Zoo","4.6","brambleparkzoo.com","800 10th St NW, Watertown, SD 57201","null","null","https://lh5.googleusercontent.com/p/AF1QipNSxe9Tdym3YBad6H6Bcidyvaq-5njiHpalfH0E=w408-h306-k-no","null"
