web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654746277-557","https://www.google.com/maps/place/Tennessee+Aquarium/@35.0348656,-85.447151,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m6!1s0x88605e61ec8dceb9:0xf15811d16389331e!8m2!3d35.0558229!4d-85.3110646!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0wWDAxaVRWcDNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Waterfront complex with sea & river animals, birds & butterflies, plus interactive shows & cruises."
"1654746236-553","https://www.google.com/maps/place/Rock+City+Gardens/@35.0348656,-85.447151,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m6!1s0x88605c46a76dc48f:0x3f1336669be76ea1!8m2!3d34.9733918!4d-85.3501772!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBBmdhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOVE15MVVTRVpSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Ancient rock formations, gardens & panoramic views of 7 states draw visitors to this walking trail."
"1654746287-558","https://www.google.com/maps/place/Tennessee+Aquarium/@35.0348656,-85.447151,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m5!1s0x88605e61ec8dceb9:0xf15811d16389331e!8m2!3d35.0558229!4d-85.3110646!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU0wWDAxaVRWcDNFQUU","Tennessee Aquarium","4.7","tnaqua.org","1 Broad St, Chattanooga, TN 37402","null","null","//lh6.googleusercontent.com/proxy/-2arM1YhzmO8bU0AfQvLN32DkyZb--fnM3o0_-UKyHXvLbtLTfBzGSjB8RPljijZc7Uem8_SJ-0Mp1xhNHF0DYEVATcWZ1B4z8dS9PLuryUezBSVoke_v5l85-IJlgUSjKUKInRamqEA_5zHl81K_ZBh5gL6yr8=w408-h272-k-no","null"
"1654746195-549","https://www.google.com/maps/place/Champy's/@35.0432533,-85.3721675,13z/data=!4m10!1m2!2m1!1sfood+in+chattanooga+tn!3m6!1s0x88605e88a93ae913:0x98cb86dc88a1c30!8m2!3d35.0432734!4d-85.3021522!10e1!15sChZmb29kIGluIGNoYXR0YW5vb2dhIHRuWhgiFmZvb2QgaW4gY2hhdHRhbm9vZ2EgdG6SARJjaGlja2VuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Fried chicken is the draw at this country-hip Southern eatery with live music & a long beer list."
"1654746216-551","https://www.google.com/maps/place/Lookout+Mountain+Incline+Railway/@35.0348656,-85.447151,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m6!1s0x88605c441d1c3b93:0xf363469be830741e!8m2!3d35.0093186!4d-85.3287577!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGFHUnVhWEJSUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","100+-yr.-old vertical gauge railway ride to historic sites & trails with impressive vistas."
"1654746205-550","https://www.google.com/maps/place/Champy's/@35.0271599,-85.269451,13z/data=!4m9!1m2!2m1!1sfood+in+chattanooga+tn!3m5!1s0x88605e88a93ae913:0x98cb86dc88a1c30!8m2!3d35.0432734!4d-85.3021522!15sChZmb29kIGluIGNoYXR0YW5vb2dhIHRuWhgiFmZvb2QgaW4gY2hhdHRhbm9vZ2EgdG6SARJjaGlja2VuX3Jlc3RhdXJhbnQ","Champy's","4.6","champyschicken.com","526 E M L King Blvd, Chattanooga, TN 37403","null","null","https://lh5.googleusercontent.com/p/AF1QipP_qzReIB6VKfOd_hwjkmYYqgGBAsBlpDfhenhN=w532-h240-k-no","null"
"1654746267-556","https://www.google.com/maps/place/The+Chattanooga+Zoo+at+Warner+Park/@35.0348656,-85.447151,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m5!1s0x88605e05c79cc7f3:0x7b9f517507e93325!8m2!3d35.0426283!4d-85.2820876!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeE1HSkxURTluRUFF","The Chattanooga Zoo at Warner Park","4.4","chattzoo.org","301 N Holtzclaw Ave, Chattanooga, TN 37404","null","null","https://lh5.googleusercontent.com/p/AF1QipO4k1g4nPiEsglxgKqHfzUXKSuC1cklaI-0xjb0=w408-h271-k-no","null"
"1654746226-552","https://www.google.com/maps/place/Lookout+Mountain+Incline+Railway/@35.0348656,-85.447151,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m5!1s0x88605c441d1c3b93:0xf363469be830741e!8m2!3d35.0093186!4d-85.3287577!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGFHUnVhWEJSUlJBQg","Lookout Mountain Incline Railway","4.4","ridetheincline.com","3917 St Elmo Ave, Chattanooga, TN 37409","null","null","https://lh5.googleusercontent.com/p/AF1QipNCCOPpVOnkukhdEgnxJFjcOTbiN3efP9cmZz3q=w408-h544-k-no","null"
"1654746246-554","https://www.google.com/maps/place/Rock+City+Gardens/@35.0348656,-85.447151,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m2!1s0x88605c46a76dc48f:0x3f1336669be76ea1!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBBmdhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOVE15MVVTRVpSRUFF","Rock City Gardens","4.7","seerockcity.com","1400 Patten Rd, Lookout Mountain, GA 30750","null","null","https://lh5.googleusercontent.com/p/AF1QipOXVnGTw1FHQazz3CifNXO6PVLrYwrYSkfvSvYT=w408-h306-k-no","null"
"1654746257-555","https://www.google.com/maps/place/The+Chattanooga+Zoo+at+Warner+Park/@35.0348656,-85.447151,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chattanooga++tn!3m6!1s0x88605e05c79cc7f3:0x7b9f517507e93325!8m2!3d35.0426283!4d-85.2820876!10e1!15sCh90aGluZ3MgdG8gZG8gaW4gY2hhdHRhbm9vZ2EgIHRuWiAiHnRoaW5ncyB0byBkbyBpbiBjaGF0dGFub29nYSB0bpIBA3pvb5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeE1HSkxURTluRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","This educational wildlife park houses a large collection of species from around the globe."
