web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654746033-547","https://www.google.com/maps/place/Gatlinburg+Space+Needle/@35.7136711,-83.5653913,13.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m6!1s0x885955c528f9d517:0xa873e0d4d14c5baf!8m2!3d35.7106247!4d-83.5183792!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTE5XUllXVzUzUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Opened in 1969, the 407-ft. observation tower offers an outdoor viewing deck, a theater & an arcade."
"1654745992-543","https://www.google.com/maps/place/Hollywood+Star+Cars+Museum/@35.7136711,-83.5653913,13.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m6!1s0x885955c518b600c7:0xce89cf9907192bf6!8m2!3d35.7105117!4d-83.5190814!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVVMVRRa2hCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Automobile archive featuring famous film & TV cars including the General Lee & 1966 Batmobile."
"1654746044-548","https://www.google.com/maps/place/Gatlinburg+Space+Needle/@35.7136711,-83.5653913,13.29z/data=!4m9!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m5!1s0x885955c528f9d517:0xa873e0d4d14c5baf!8m2!3d35.7106247!4d-83.5183792!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTE5XUllXVzUzUlJBQg","Gatlinburg Space Needle","4.5","gatlinburgspaceneedle.com","115 Historic Nature Trail, Gatlinburg, TN 37738","null","null","https://lh5.googleusercontent.com/p/AF1QipOG-2IK-TjaF3TNjX42VgaloNb79G-cnX3WQcHM=w408-h309-k-no","null"
"1654746023-546","https://www.google.com/maps/place/Ripley's+Aquarium+of+the+Smokies/@35.7136711,-83.5653913,13.29z/data=!4m9!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m5!1s0x885955dbf75c1ffb:0xdb9b8f6503c78339!8m2!3d35.7142227!4d-83.5131843!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5Ym1ScFpFcEJFQUU","Ripley's Aquarium of the Smokies","4.6","ripleyaquariums.com","88 River Rd, Gatlinburg, TN 37738","null","null","https://lh5.googleusercontent.com/p/AF1QipODROvJUNdY9oU-SaakwIFkw_Zu8W1MIckUhQfh=w408-h306-k-no","null"
"1654746003-544","https://www.google.com/maps/place/Hollywood+Star+Cars+Museum/@35.7136711,-83.5653913,13.29z/data=!4m9!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m5!1s0x885955c518b600c7:0xce89cf9907192bf6!8m2!3d35.7105117!4d-83.5190814!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWVVMVRRa2hCRUFF","Hollywood Star Cars Museum","4.6","starcarstn.com","914 Parkway, Gatlinburg, TN 37738","null","null","https://lh5.googleusercontent.com/p/AF1QipO5ToLl25K5FeEOvFLu2oHt1qO5Q54uNljG4NmA=w408-h408-k-no","null"
"1654745951-539","https://www.google.com/maps/place/Bubba+Gump+Shrimp+Co./@35.7108381,-83.5888677,13z/data=!4m10!1m2!2m1!1sfood+in+gatlinburg+tn!3m6!1s0x885955c5204eee39:0x243ebbdb2140ef3c!8m2!3d35.710839!4d-83.5188291!10e1!15sChVmb29kIGluIGdhdGxpbmJ1cmcgdG5aFyIVZm9vZCBpbiBnYXRsaW5idXJnIHRukgESc2VhZm9vZF9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Family-friendly chain for seafood & American fare served in a fishing boat-themed setting."
"1654746013-545","https://www.google.com/maps/place/Ripley's+Aquarium+of+the+Smokies/@35.7136711,-83.5653913,13.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m6!1s0x885955dbf75c1ffb:0xdb9b8f6503c78339!8m2!3d35.7142227!4d-83.5131843!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBCGFxdWFyaXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5Ym1ScFpFcEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Sprawling aquarium showcasing sharks, sea turtles, stingrays, penguins & a glass-bottom boat ride."
"1654745982-542","https://www.google.com/maps/place/Gatlinburg+Scenic+Overlook/@35.7136711,-83.5653913,13.29z/data=!4m9!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m5!1s0x885955b85f3b5979:0x81fdf450c1c9610d!8m2!3d35.7114316!4d-83.5299462!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBC3NjZW5pY19zcG90mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TFRjeUxUWlJSUkFC","Gatlinburg Scenic Overlook","4.8","null","Gatlinburg, TN 37738","null","null","https://lh5.googleusercontent.com/p/AF1QipP1z5R7Rq1XdrFoAs1rgJXPyMGoEr_W_nGD3Kf0=w408-h306-k-no","null"
"1654745972-541","https://www.google.com/maps/place/Gatlinburg+Scenic+Overlook/@35.7136711,-83.5653913,13.29z/data=!4m10!1m2!2m1!1sthings+to+do+in+gatlinburg+tn!3m6!1s0x885955b85f3b5979:0x81fdf450c1c9610d!8m2!3d35.7114316!4d-83.5299462!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0blofIh10aGluZ3MgdG8gZG8gaW4gZ2F0bGluYnVyZyB0bpIBC3NjZW5pY19zcG90mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TFRjeUxUWlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","This popular roadside overlook features panoramic views of the city & surrounding mountains."
"1654745961-540","https://www.google.com/maps/place/Bubba+Gump+Shrimp+Co./@35.7108381,-83.5888677,13z/data=!4m9!1m2!2m1!1sfood+in+gatlinburg+tn!3m5!1s0x885955c5204eee39:0x243ebbdb2140ef3c!8m2!3d35.710839!4d-83.5188291!15sChVmb29kIGluIGdhdGxpbmJ1cmcgdG5aFyIVZm9vZCBpbiBnYXRsaW5idXJnIHRukgESc2VhZm9vZF9yZXN0YXVyYW50","Bubba Gump Shrimp Co.","4.2","bubbagump.com","900 Parkway, Gatlinburg, TN 37738","null","null","https://lh5.googleusercontent.com/p/AF1QipPGHn9Q4wqwWGruHVw4vBFvOtYHtcDhHcaKGlbu=w408-h240-k-no-pi0-ya247.83246-ro-0-fo100","null"
