web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654745697-538","https://www.google.com/maps/place/Ijams+Nature+Center/@35.9487952,-84.0436954,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m5!1s0x885c1714a434de65:0xd008ef76f620af0e!8m2!3d35.9564735!4d-83.8667995!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQ9uYXR1cmVfcHJlc2VydmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmpiVFZ4UkVObkVBRQ","Ijams Nature Center","4.8","ijams.org","2915 Island Home Ave, Knoxville, TN 37920","null","null","https://lh5.googleusercontent.com/p/AF1QipMRyIfWmCQStC3esK0dkdwBEzJCug0uIlxhiwqu=w475-h240-k-no","null"
"1654745677-536","https://www.google.com/maps/place/Knoxville+Museum+of+Art/@35.9487952,-84.0436954,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m5!1s0x885c17dc12625c3b:0x1843f0e248ca6f9a!8m2!3d35.9624258!4d-83.9252288!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YlU1VWJEbDNSUkFC","Knoxville Museum of Art","4.7","knoxart.org","1050 Worlds Fair Park Dr, Knoxville, TN 37916","null","null","https://lh5.googleusercontent.com/p/AF1QipP-LDDg_exkkH9pwk2NoTencgkW0HCMeTjvg5ek=w408-h306-k-no","null"
"1654745625-531","https://www.google.com/maps/place/Charles+Krutch+Park/@35.9487952,-84.0436954,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m6!1s0x885c17c459481f1d:0x5fb89179f17982f9!8m2!3d35.9643732!4d-83.9185786!10e1!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJaTVdaSU9HNTNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Small, serene park with colorful public art installations, benches & a water feature."
"1654745656-534","https://www.google.com/maps/place/World's+Fair+Park/@35.9487952,-84.0436954,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m5!1s0x885c17db60e6466f:0xcde24dbf9356d235!8m2!3d35.9624719!4d-83.9241961!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5T0RjdE1VSm5FQUU","World's Fair Park","4.7","worldsfairpark.org","525 Henley St, Knoxville, TN 37902","null","null","//lh6.googleusercontent.com/proxy/edXTr3qVvcXhYta_NlPwJhyLWZK4gIUVKD5oaktRXpkTeo-pAXLcCBCzoxmih2sX4RzgLuoB5bu0sgV7w8nUVB86EORNDoYLnENFkASAYIQzDw1GKnzqOZe1JNPZMiNTh9DJ4_FYglI3d0odjP8E63shxgk=w408-h272-k-no","null"
"1654745615-530","https://www.google.com/maps/place/Stock+%26+Barrel/@35.9529366,-84.0756813,12z/data=!4m9!1m2!2m1!1sfood+in+knoxville+tn!3m5!1s0x885c17c4e47d108f:0xa368ee06f2946643!8m2!3d35.965608!4d-83.9202375!15sChRmb29kIGluIGtub3h2aWxsZSB0bloWIhRmb29kIGluIGtub3h2aWxsZSB0bpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Stock & Barrel","4.7","thestockandbarrel.com","35 Market Square, Knoxville, TN 37902","null","null","https://lh5.googleusercontent.com/p/AF1QipPWPWBXEf7Ah-_aoFs0Y7QpoK4U0wrP3X3n6shb=w408-h544-k-no","null"
"1654745605-529","https://www.google.com/maps/place/Stock+%26+Barrel/@35.9529366,-84.0756813,12z/data=!4m10!1m2!2m1!1sfood+in+knoxville+tn!3m6!1s0x885c17c4e47d108f:0xa368ee06f2946643!8m2!3d35.965608!4d-83.9202375!10e1!15sChRmb29kIGluIGtub3h2aWxsZSB0bloWIhRmb29kIGluIGtub3h2aWxsZSB0bpIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Stylish restaurant featuring thoughtfully sourced burgers & an extensive selection of bourbons."
"1654745636-532","https://www.google.com/maps/place/Charles+Krutch+Park/@35.9487952,-84.0436954,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m2!1s0x885c17c459481f1d:0x5fb89179f17982f9!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJaTVdaSU9HNTNSUkFC","Charles Krutch Park","4.5","null","504 Market St, Knoxville, TN 37902","null","null","https://lh5.googleusercontent.com/p/AF1QipOoAbmG7Onq81ojU0fufUbWCa7p8zVDPERVtJ4T=w408-h306-k-no","null"
"1654745687-537","https://www.google.com/maps/place/Ijams+Nature+Center/@35.9487952,-84.0436954,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m6!1s0x885c1714a434de65:0xd008ef76f620af0e!8m2!3d35.9564735!4d-83.8667995!10e1!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQ9uYXR1cmVfcHJlc2VydmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmpiVFZ4UkVObkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Wetlands & rock formations fill urban nature park with 10 miles of trails plus bike & canoe rental."
"1654745667-535","https://www.google.com/maps/place/Knoxville+Museum+of+Art/@35.9487952,-84.0436954,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m6!1s0x885c17dc12625c3b:0x1843f0e248ca6f9a!8m2!3d35.9624258!4d-83.9252288!10e1!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YlU1VWJEbDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Exhibits of regional art & traveling shows, plus concerts & classes, in a modern 4-story facility."
"1654745646-533","https://www.google.com/maps/place/World's+Fair+Park/@35.9487952,-84.0436954,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+knoxville+tn!3m6!1s0x885c17db60e6466f:0xcde24dbf9356d235!8m2!3d35.9624719!4d-83.9241961!10e1!15sChx0aGluZ3MgdG8gZG8gaW4ga25veHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBrbm94dmlsbGUgdG6SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5T0RjdE1VSm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Site of 1982 World's Fair, with an amphitheater, events & a sunsphere tower with observation deck."
