web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654745473-526","https://www.google.com/maps/place/Memphis+Rock+'n'+Soul+Museum/@35.1063639,-90.0888584,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+memphistn!3m5!1s0x87d57e97345bb629:0x967bcf12a8a69262!8m2!3d35.1385281!4d-90.0521499!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhjbkUzVGxWQkVBRQ","Memphis Rock 'n' Soul Museum","4.6","memphisrocknsoul.org","Just South of Beale at FedExForum, 191 Beale St, Memphis, TN 38103","null","null","https://lh5.googleusercontent.com/p/AF1QipOEo7VnLmAtTY4pl7Z2vrSgN-L8FagckEqrYB14=w408-h544-k-no","null"
"1654745411-520","https://www.google.com/maps/place/Gus's+World+Famous+Fried+Chicken/@35.1339551,-90.042209,14.14z/data=!4m9!1m2!2m1!1sfood+in+memphis+tn!3m5!1s0x87d57ebd2e95d7f5:0xae27bb2a9815686!8m2!3d35.138305!4d-90.0579081!15sChJmb29kIGluIG1lbXBoaXMgdG5aFCISZm9vZCBpbiBtZW1waGlzIHRukgESY2hpY2tlbl9yZXN0YXVyYW50","Gus's World Famous Fried Chicken","4.6","gusfriedchicken.com","310 S Front St, Memphis, TN 38103","null","null","https://lh5.googleusercontent.com/p/AF1QipNWgfpNC6We4CAy16ZMiRl_0dz4c3sUJd5bu9va=w408-h372-k-no","null"
"1654745494-528","https://www.google.com/maps/place/Children's+Museum+of+Memphis/@35.1063639,-90.0888584,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+memphistn!3m5!1s0x887f87335e6406d5:0x98f3d77bc6ae4528!8m2!3d35.125208!4d-89.976525!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZDB4VVJVZFJFQUU","Children's Museum of Memphis","4.6","cmom.com","2525 Central Ave, Memphis, TN 38104","null","null","https://lh5.googleusercontent.com/p/AF1QipPs_SAJu-31i5o-3Dy9Bh2Qv6XVb77AR_ck5tAC=w408-h306-k-no","null"
"1654745452-524","https://www.google.com/maps/place/Graceland/@35.1384943,-90.3323272,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+memphistn!3m5!1s0x87d57d31cebd7225:0xfd48f1ff0c23cb11!8m2!3d35.0476912!4d-90.0260493!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhOMlZwU1VwUkVBRQ","Graceland","4.5","graceland.com","Elvis Presley Blvd, Memphis, TN 38116","null","null","https://lh5.googleusercontent.com/p/AF1QipNwW-_v32E0Jl6pz5RMBFboYrI2z5kg6Q9HhoZl=w408-h306-k-no","null"
"1654745442-523","https://www.google.com/maps/place/Graceland/@35.1384943,-90.3323272,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+memphistn!3m6!1s0x87d57d31cebd7225:0xfd48f1ff0c23cb11!8m2!3d35.0476912!4d-90.0260493!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhOMlZwU1VwUkVBRQ","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant   Restroom","null","Elvis Presley's famed estate featuring mansion tours, exhibits, a car museum & 2 jets."
"1654745432-522","https://www.google.com/maps/place/Shelby+Farms+Park/@35.1384943,-90.3323272,11z/data=!3m1!5s0x87d57ea25a93922d:0x8070cc03e6b6a3d6!4m6!1m2!2m1!1sthings+to+do+in+memphistn!3m2!1s0x887f9c987f988c63:0xca99d6d67a4aaa02!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZUdGWFRtOVJSUkFC","Shelby Farms Park","4.8","shelbyfarmspark.org","6903 Great View Dr N, Memphis, TN 38134","null","null","https://lh5.googleusercontent.com/p/AF1QipNyz6q8hzn4Rm8TYJTbqJuUqTbn0C4DEJZRwE0P=w408-h305-k-no","null"
"1654745401-519","https://www.google.com/maps/place/Gus's+World+Famous+Fried+Chicken/@35.1382775,-90.0896537,14z/data=!4m10!1m2!2m1!1sfood+in+memphis+tn!3m6!1s0x87d57ebd2e95d7f5:0xae27bb2a9815686!8m2!3d35.138305!4d-90.0579081!10e1!15sChJmb29kIGluIG1lbXBoaXMgdG5aFCISZm9vZCBpbiBtZW1waGlzIHRukgESY2hpY2tlbl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Long-running chain serving spicy fried chicken & comfort sides in a low-key setting."
"1654745421-521","https://www.google.com/maps/place/Shelby+Farms+Park/@35.138077,-90.1139884,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+memphistn!3m6!1s0x887f9c987f988c63:0xca99d6d67a4aaa02!8m2!3d35.138077!4d-89.833837!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15ZUdGWFRtOVJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","4,500 acres with biking & horse trails, many bodies of water for fishing & boating plus playgrounds."
"1654745483-527","https://www.google.com/maps/place/Children's+Museum+of+Memphis/@35.1063639,-90.0888584,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+memphistn!3m6!1s0x887f87335e6406d5:0x98f3d77bc6ae4528!8m2!3d35.125208!4d-89.976525!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZDB4VVJVZFJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Interactive permanent displays & traveling exhibits create learning opportunities for kids."
"1654745463-525","https://www.google.com/maps/place/Memphis+Rock+'n'+Soul+Museum/@35.1384943,-90.3323272,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+memphistn!3m6!1s0x87d57e97345bb629:0x967bcf12a8a69262!8m2!3d35.1385281!4d-90.0521499!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gbWVtcGhpc3RuWhsiGXRoaW5ncyB0byBkbyBpbiBtZW1waGlzdG6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhjbkUzVGxWQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom","null","Story of the roots & influence of Bluff City's rock & soul music told through interactive media."
