web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654745247-518","https://www.google.com/maps/place/The+Parthenon/@36.1496737,-87.0934981,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+nashville+tn!3m5!1s0x8864614bd6f28fe5:0x70f4d37bc63ae1a6!8m2!3d36.1496737!4d-86.8133467!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4YlV4TVZrSkJFQUU","The Parthenon","4.6","nashvilleparthenon.com","2500 West End Ave, Nashville, TN 37203","null","null","https://lh5.googleusercontent.com/p/AF1QipM34FpFRYiCwVBl-MQqrrGF753d-WzA7XqTl0fH=w426-h240-k-no","null"
"1654745164-510","https://www.google.com/maps/place/Puckett's+Grocery+%26+Restaurant+-+Downtown+Nashville/@36.1632246,-86.9205388,12z/data=!4m9!1m2!2m1!1sfood+in+nashville+tn!3m5!1s0x886466585918858d:0x53ff51b15293338b!8m2!3d36.1632246!4d-86.7804631!15sChRmb29kIGluIG5hc2h2aWxsZSB0bloWIhRmb29kIGluIG5hc2h2aWxsZSB0bpIBEWZhbWlseV9yZXN0YXVyYW50","Puckett's Grocery & Restaurant - Downtown Nashville","4.4","puckettsgro.com","500 Church St, Nashville, TN 37219","null","null","https://lh5.googleusercontent.com/p/AF1QipOucVSjePlM9Gt8YJzDcysBWE3Mt9tSPYAE_6RH=w408-h579-k-no","null"
"1654745174-511","https://www.google.com/maps/place/Centennial+Park/@36.1496737,-87.0934981,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+nashville+tn!3m6!1s0x886466bb1b724719:0xf36ffc30f0ea08d4!8m2!3d36.1489459!4d-86.8127498!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYTlhSaVlrMTNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Urban recreation area with walking paths, band shell, dog park, exercise trail, gardens & museums."
"1654745215-515","https://www.google.com/maps/place/Nashville+Zoo+at+Grassmere/@36.1496737,-87.0934981,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+nashville+tn!3m6!1s0x88646f80019684b7:0xf60b6d2f174d7de6!8m2!3d36.089705!4d-86.742096!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhhazVUU1hSQlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Multiple habitats housing a global array of animals, plus a popular playground for kids."
"1654745195-513","https://www.google.com/maps/place/Country+Music+Hall+of+Fame+and+Museum/@36.1496737,-87.0934981,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+nashville+tn!3m6!1s0x8864665c3134654b:0xa5b810c860cc0e67!8m2!3d36.1582632!4d-86.7761258!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxiVGhQZGxwQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Attraction tells the story of popular American music through artifacts & interactive exhibits."
"1654745236-517","https://www.google.com/maps/place/The+Parthenon/@36.1496737,-87.0934981,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+nashville+tn!3m6!1s0x8864614bd6f28fe5:0x70f4d37bc63ae1a6!8m2!3d36.1496737!4d-86.8133467!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQphcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ4YlV4TVZrSkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","Built in 1897, this full-scale replica of the Athenian Parthenon also houses American art galleries."
"1654745226-516","https://www.google.com/maps/place/Nashville+Zoo+at+Grassmere/@36.1496737,-87.0934981,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+nashville+tn!3m5!1s0x88646f80019684b7:0xf60b6d2f174d7de6!8m2!3d36.089705!4d-86.742096!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQN6b2-aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhhazVUU1hSQlJSQUI","Nashville Zoo at Grassmere","4.5","nashvillezoo.org","3777 Nolensville Pike, Nashville, TN 37211","null","null","https://lh5.googleusercontent.com/p/AF1QipOgZcKcSuYJ3GvMJPSU7pqqBib0rZHjjk8DfHyc=w408-h306-k-no","null"
"1654745154-509","https://www.google.com/maps/place/Puckett's+Grocery+%26+Restaurant+-+Downtown+Nashville/@36.1632246,-86.9205388,12z/data=!3m1!5s0x88646658600cb533:0x92c2ff6713e78787!4m10!1m2!2m1!1sfood+in+nashville+tn!3m6!1s0x886466585918858d:0x53ff51b15293338b!8m2!3d36.1632246!4d-86.7804631!10e1!15sChRmb29kIGluIG5hc2h2aWxsZSB0bloWIhRmb29kIGluIG5hc2h2aWxsZSB0bpIBEWZhbWlseV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","Southern bar & grill with an old-general-store feel & a large stage for live music acts."
"1654745205-514","https://www.google.com/maps/place/Country+Music+Hall+of+Fame+and+Museum/@36.1496737,-87.0934981,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+nashville+tn!3m5!1s0x8864665c3134654b:0xa5b810c860cc0e67!8m2!3d36.1582632!4d-86.7761258!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQZtdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkxiVGhQZGxwQkVBRQ","Country Music Hall of Fame and Museum","4.6","countrymusichalloffame.org","222 Rep. John Lewis Way S, Nashville, TN 37203","null","null","https://lh5.googleusercontent.com/p/AF1QipOhuIJSwWOO1CJ6ce8_YdSqPUo46kHSKF9rz0vP=w408-h306-k-no","null"
"1654745185-512","https://www.google.com/maps/place/Centennial+Park/@36.1496737,-87.0934981,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+nashville+tn!3m5!1s0x886466bb1b724719:0xf36ffc30f0ea08d4!8m2!3d36.1489459!4d-86.8127498!15sChx0aGluZ3MgdG8gZG8gaW4gbmFzaHZpbGxlIHRuWh4iHHRoaW5ncyB0byBkbyBpbiBuYXNodmlsbGUgdG6SAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYTlhSaVlrMTNFQUU","Centennial Park","4.7","nashville.gov","2500 West End Ave, Nashville, TN 37203","null","null","https://lh5.googleusercontent.com/p/AF1QipOas-Y56GLGdeyZmoC6T0GUguoPwXDjwbvdyF06=w408-h544-k-no","null"
