web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654749045-619","https://www.google.com/maps/place/Museum+of+the+Weird/@30.3170696,-98.1016343,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+austin+tx!3m6!1s0x8644b5a653afdba5:0x90c03c90f426a422!8m2!3d30.2670543!4d-97.7387097!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBOa2xMUzIxM1JSQUI","null","null","null","null","null","Amenities    Good for kids","null","Museum featuring an array of curios & oddities, from Bigfoot to shrunken heads, plus a gift shop."
"1654749105-622","https://www.google.com/maps/place/Blanton+Museum+of+Art/@30.3170696,-98.1016343,10z/data=!3m1!5s0x8644b59ebdad304d:0x32278f9b851cecc0!4m9!1m2!2m1!1sthings+to+do+in+austin+tx!3m5!1s0x8644b59e64da373b:0xbecfe07b753cc76d!8m2!3d30.2808109!4d-97.7376838!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TkRjdGQzRlJSUkFC","Blanton Museum of Art","4.7","blantonmuseum.org","200 E Martin Luther King Jr Blvd, Austin, TX 78712","null","null","https://lh5.googleusercontent.com/p/AF1QipOfKRADe1L43wEpoYKLKjtSepgfB5G-zmUghoxI=w408-h306-k-no","null"
"1654749085-621","https://www.google.com/maps/place/Blanton+Museum+of+Art/@30.3170696,-98.1016343,10z/data=!3m1!5s0x8644b59ebdad304d:0x32278f9b851cecc0!4m10!1m2!2m1!1sthings+to+do+in+austin+tx!3m6!1s0x8644b59e64da373b:0xbecfe07b753cc76d!8m2!3d30.2808109!4d-97.7376838!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5TkRjdGQzRlJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Renaissance to 20th-century American paintings, Latin American art, plus Greek & Roman sculpture."
"1654749166-625","https://www.google.com/maps/place/Zilker+Metropolitan+Park/@30.3170696,-98.1016343,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+austin+tx!3m6!1s0x8644b586e0f968db:0x9b503f3c7a9772ba!8m2!3d30.2664531!4d-97.7688115!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QYUV4WVZrSkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","351-acre, urban park with botanical gardens, a spring-fed pool, a theater & sports facilities."
"1654749186-626","https://www.google.com/maps/place/Zilker+Metropolitan+Park/@30.3170696,-98.1016343,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+austin+tx!3m5!1s0x8644b586e0f968db:0x9b503f3c7a9772ba!8m2!3d30.2664531!4d-97.7688115!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQRwYXJrmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QYUV4WVZrSkJFQUU","Zilker Metropolitan Park","4.8","austintexas.gov","2207 Lou Neff Rd, Austin, TX 78746","null","null","https://lh5.googleusercontent.com/p/AF1QipOJSI7xYPrNj5HwSoybJjgwOoKYsFVFRmx8Tg_-=w408-h544-k-no","null"
"1654749065-620","https://www.google.com/maps/place/Museum+of+the+Weird/@30.3170696,-98.1016343,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+austin+tx!3m5!1s0x8644b5a653afdba5:0x90c03c90f426a422!8m2!3d30.2670543!4d-97.7387097!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQZtdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBOa2xMUzIxM1JSQUI","Museum of the Weird","4.2","museumoftheweird.com","412 E 6th St, Austin, TX 78701","null","null","https://lh5.googleusercontent.com/p/AF1QipPB5az1Dl0TEDXUwq0FxPEXPtJ7DgPgJ417gqKY=w408-h252-k-no","null"
"1654749126-623","https://www.google.com/maps/place/Zilker+Botanical+Garden/@30.3170696,-98.1016343,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+austin+tx!3m6!1s0x8644b53a292acda9:0x2b9fdfde794a46ad!8m2!3d30.2697617!4d-97.7721793!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5oTkhSRUxVWjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","31-acre garden in Zilker Park with plants, ponds & trails, plus educational programs for kids."
"1654748902-612","https://www.google.com/maps/place/True+Food+Kitchen/@30.2895112,-97.7778922,13z/data=!4m9!1m2!2m1!1sfood+in+austin+tx!3m5!1s0x8644b50e2ee3f607:0xddc3ee2020881bac!8m2!3d30.2675855!4d-97.7520312!15sChFmb29kIGluIGF1c3RpbiB0eFoTIhFmb29kIGluIGF1c3RpbiB0eJIBFmhlYWx0aF9mb29kX3Jlc3RhdXJhbnQ","True Food Kitchen","4.6","truefoodkitchen.com","222 West Ave Ste HR100, Austin, TX 78701","null","null","https://lh5.googleusercontent.com/p/AF1QipPZTCrz4BdkOBgbBVHefNhfiCgj5rrQNF_-fEOy=w426-h240-k-no","null"
"1654749024-618","https://www.google.com/maps/place/Cathedral+of+Junk/@30.3170696,-98.1016343,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+austin+tx!3m5!1s0x8644b4bae201aad3:0xb1eebde07830e720!8m2!3d30.2186485!4d-97.7715176!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQthcnRfZ2FsbGVyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWJXVklia05uRUFF","Cathedral of Junk","4.4","roadsideamerica.com","4422 Lareina Dr, Austin, TX 78745","null","null","https://lh5.googleusercontent.com/p/AF1QipPvhoGKFqyCQOkRJgkIfVt5oODnV-ASOYkiqpnO=w408-h544-k-no","null"
"1654748943-614","https://www.google.com/maps/place/McKinney+Falls+State+Park/@30.3170696,-98.1016343,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+austin+tx!3m5!1s0x8644b3be3538b38b:0xfb83098f6001c693!8m2!3d30.1836487!4d-97.7221944!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQpzdGF0ZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTWtsUU5EbFJSUkFC","McKinney Falls State Park","4.6","tpwd.texas.gov","5808 McKinney Falls Pkwy, Austin, TX 78744","null","null","https://lh5.googleusercontent.com/p/AF1QipMRXw-WTfgJxUSwNZgf4v2hXtLEC8nJiqxPSWnY=w408-h544-k-no","null"
"1654748922-613","https://www.google.com/maps/place/McKinney+Falls+State+Park/@30.3170696,-98.1016343,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+austin+tx!3m6!1s0x8644b3be3538b38b:0xfb83098f6001c693!8m2!3d30.1836487!4d-97.7221944!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gYXVzdGluIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBhdXN0aW4gdHiSAQpzdGF0ZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJYTWtsUU5EbFJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Popular site for camping, hiking, biking & fishing, & for ""Old Baldy,"" a 500+-year-old cypress tree."
