web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654750660-647","https://www.google.com/maps/place/Rodeo+Goat/@32.7972052,-96.9639906,12z/data=!4m10!1m2!2m1!1sfood+in+dallas+tx!3m6!1s0x864e994e038ea6dd:0x3ea5b4778860d1f0!8m2!3d32.7972052!4d-96.8239149!10e1!15sChFmb29kIGluIGRhbGxhcyB0eFoTIhFmb29kIGluIGRhbGxhcyB0eJIBFGhhbWJ1cmdlcl9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Casual joint offering inventive variations on house-ground burgers & a lengthy craft-beer lineup."
"1654750803-661","https://www.google.com/maps/place/The+Dallas+Arboretum+and+Botanical+Garden/@32.7733367,-96.9103587,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+dallas+tx!3m6!1s0x864ea19a64681b47:0x68139237078b7642!8m2!3d32.821384!4d-96.717068!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyZEhOMlRsRjNFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","70-acre botanical garden set on White Rock Lake with frequent concerts, special exhibits & classes."
"1654750813-662","https://www.google.com/maps/place/The+Dallas+Arboretum+and+Botanical+Garden/@32.7733367,-96.9103587,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+dallas+tx!3m5!1s0x864ea19a64681b47:0x68139237078b7642!8m2!3d32.821384!4d-96.717068!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSARBib3RhbmljYWxfZ2FyZGVumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVEyZEhOMlRsRjNFQUU","The Dallas Arboretum and Botanical Garden","4.7","dallasarboretum.org","8525 Garland Rd, Dallas, TX 75218","null","null","https://lh5.googleusercontent.com/p/AF1QipPUlA5buHn4A8P7IaMK--pyO79T4b6NurPZySo=w408-h408-k-no","null"
"1654750700-651","https://www.google.com/maps/place/The+Dallas+World+Aquarium/@32.7733367,-96.9103587,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+dallas+tx!3m6!1s0x864e993d0ea3c1ff:0x1859d2cc74f588e2!8m2!3d32.7833099!4d-96.8050918!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSAQhhcXVhcml1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWGVXVkxVRVpCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Replica habitats containing exotic birds, mammals & fish are open for public tours & private events."
"1654750772-658","https://www.google.com/maps/place/Klyde+Warren+Park/@32.7733367,-96.9103587,11z/data=!3m1!5s0x864e99244952e84d:0x9ca1806c5be54189!4m9!1m2!2m1!1sthings+to+do+in+dallas+tx!3m5!1s0x864e9924c29cfe65:0x504980b16ca5cf6a!8m2!3d32.789413!4d-96.8016106!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54WjI5SFRHbG5SUkFC","Klyde Warren Park","4.7","klydewarrenpark.org","2012 Woodall Rodgers Fwy, Dallas, TX 75201","null","null","https://lh5.googleusercontent.com/p/AF1QipP_n1_w1ZusdlCR-7KNGItNQqAUDQEBTdubV-Kn=w408-h458-k-no","null"
"1654750792-660","https://www.google.com/maps/place/Dallas+Museum+of+Art/@32.7733367,-96.9103587,11z/data=!3m1!5s0x864e9924832b72dd:0xd310293f1a4425f0!4m9!1m2!2m1!1sthings+to+do+in+dallas+tx!3m5!1s0x864e992482b7c47b:0x6f19f40e6daf5b0!8m2!3d32.7876959!4d-96.8010444!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZEV0aFRqTkJSUkFC","Dallas Museum of Art","4.7","dma.org","1717 N Harwood St, Dallas, TX 75201","null","null","https://lh5.googleusercontent.com/p/AF1QipODBORpa4OKKdxY0tIM-XEucTrMwULNHeuABheb=w426-h240-k-no","null"
"1654750762-657","https://www.google.com/maps/place/Klyde+Warren+Park/@32.7733367,-96.9103587,11z/data=!3m1!5s0x864e99244952e84d:0x9ca1806c5be54189!4m10!1m2!2m1!1sthings+to+do+in+dallas+tx!3m6!1s0x864e9924c29cfe65:0x504980b16ca5cf6a!8m2!3d32.789413!4d-96.8016106!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54WjI5SFRHbG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Urban park hosting lunchtime food trucks & frequent arts, music, fitness & children's events."
"1654750670-648","https://www.google.com/maps/place/Rodeo+Goat/@32.8493521,-96.8690759,12z/data=!4m6!1m2!2m1!1sfood+in+dallas+tx!3m2!1s0x864e994e038ea6dd:0x3ea5b4778860d1f0!15sChFmb29kIGluIGRhbGxhcyB0eFoTIhFmb29kIGluIGRhbGxhcyB0eJIBFGhhbWJ1cmdlcl9yZXN0YXVyYW50","Rodeo Goat","4.6","rodeogoat.com","1926 Market Center Blvd, Dallas, TX 75207","null","null","https://lh5.googleusercontent.com/p/AF1QipM20a6wSaGBBgRnWzZbfedyx-mEIuXQDJ13TqW9=w429-h240-k-no","null"
"1654750711-652","https://www.google.com/maps/place/The+Dallas+World+Aquarium/@32.7733367,-96.9103587,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+dallas+tx!3m5!1s0x864e993d0ea3c1ff:0x1859d2cc74f588e2!8m2!3d32.7833099!4d-96.8050918!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSAQhhcXVhcml1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWGVXVkxVRVpCRUFF","The Dallas World Aquarium","4.4","dwazoo.com","1801 N Griffin St, Dallas, TX 75202","null","null","https://lh5.googleusercontent.com/p/AF1QipPKWQEqM9E6V_54SWxtL5Z_QT-QLMh3LQumE3kA=w408-h306-k-no","null"
"1654750782-659","https://www.google.com/maps/place/Dallas+Museum+of+Art/@32.7733367,-96.9103587,11z/data=!3m1!5s0x864e9924832b72dd:0xd310293f1a4425f0!4m10!1m2!2m1!1sthings+to+do+in+dallas+tx!3m6!1s0x864e992482b7c47b:0x6f19f40e6daf5b0!8m2!3d32.7876959!4d-96.8010444!10e1!15sChl0aGluZ3MgdG8gZG8gaW4gZGFsbGFzIHR4WhsiGXRoaW5ncyB0byBkbyBpbiBkYWxsYXMgdHiSAQphcnRfbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5ZEV0aFRqTkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids","null","Arts District anchor with an encyclopedic collection spanning ancient times to the present."
