web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654796073-692","https://www.google.com/maps/place/Franklin+Mountains+State+Park/@31.7676119,-107.0054529,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m5!1s0x86e755d78613cd45:0x1e86c03e0f5638e3!8m2!3d31.9117027!4d-106.5173673!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXllbkZIY0c5UlJSQUI","Franklin Mountains State Park","4.7","tpwd.state.tx.us","Tom Mays Park Access Rd, El Paso, TX 79930","null","null","https://lh5.googleusercontent.com/p/AF1QipMS3q72C2BzgBtmnbwz_YSKDTHh-bCRVnYpPEjy=w408-h306-k-no","null"
"1654796177-702","https://www.google.com/maps/place/El+Paso+Museum+of+Archaeology/@31.7676119,-107.0054529,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m5!1s0x86e7516632314a09:0x72b4a3eeb7a1b89e!8m2!3d31.9036702!4d-106.4490514!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReU5VcG1XRnAzRUFF","El Paso Museum of Archaeology","4.7","epmarch.org","4301 Woodrow Bean Transmountain Dr, El Paso, TX 79924","null","null","https://lh5.googleusercontent.com/p/AF1QipP_vkQ_oezgwS1J3H00_SpGGOvhTneKzKY8ori1=w443-h240-k-no","null"
"1654796094-694","https://www.google.com/maps/place/El+Paso+Holocaust+Museum+%26+Study+Center/@31.7676119,-107.0054529,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m5!1s0x86e758feeaa0eae5:0xa924775eac9f1c19!8m2!3d31.762324!4d-106.491945!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOemEwOVRWR0ZuRUFF","El Paso Holocaust Museum & Study Center","4.7","elpasoholocaustmuseum.org","715 N Oregon St, El Paso, TX 79902","null","null","https://lh5.googleusercontent.com/p/AF1QipMZCim9lsQBGVWvC8P57GTNlQs4niNk5QDoUTda=w408-h271-k-no","null"
"1654796187-703","https://www.google.com/maps/place/Chamizal+National+Memorial/@31.7676119,-107.0054529,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m6!1s0x86e7597718060a57:0x2b97589386ba4c41!8m2!3d31.7672409!4d-106.4543374!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBDW5hdGlvbmFsX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmhMVTVVU25WM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","55-acre park is home to a U.S.-Mexico-border museum & an amphitheater, plus a visitors center."
"1654796063-691","https://www.google.com/maps/place/Franklin+Mountains+State+Park/@31.7676119,-107.0054529,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m6!1s0x86e755d78613cd45:0x1e86c03e0f5638e3!8m2!3d31.9117027!4d-106.5173673!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBCnN0YXRlX3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXllbkZIY0c5UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","24,247 acres of scenic desert offering climbing, hiking, wildlife, camping & views."
"1654796218-706","https://www.google.com/maps/place/El+Paso+Zoo+and+Botanical+Gardens/@31.8346044,-106.5837481,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m5!1s0x86e7597e4112b037:0x7f0ce946ce96a758!8m2!3d31.7676119!4d-106.4451502!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGN6WXRXbmxuUlJBQg","El Paso Zoo and Botanical Gardens","4.3","elpasozoo.org","4001 E Paisano Dr, El Paso, TX 79905","null","null","https://lh5.googleusercontent.com/p/AF1QipO6HMV6cRnMWO9JZcVk2GN8Em2X5lPTwY0LbBLs=w408-h306-k-no","null"
"1654796104-695","https://www.google.com/maps/place/Magoffin+Home+State+Historic+Site/@31.7676119,-107.0054529,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m6!1s0x86e75905e40017b7:0x296271d1f2d7a07b!8m2!3d31.7625115!4d-106.4769883!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBDWhpc3RvcmljX3NpdGWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhOVFpRZVVOUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Adobe Territorial home of a pioneering multicultural family, now open for house & garden tours."
"1654796208-705","https://www.google.com/maps/place/El+Paso+Zoo+and+Botanical+Gardens/@31.7676119,-107.0054529,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m6!1s0x86e7597e4112b037:0x7f0ce946ce96a758!8m2!3d31.7676119!4d-106.4451502!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBA3pvb5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGN6WXRXbmxuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","220 African, American & Asian species residing in facsimiles of natural habitats in a 35-acre park."
"1654796084-693","https://www.google.com/maps/place/El+Paso+Holocaust+Museum+%26+Study+Center/@31.7676119,-107.0054529,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m6!1s0x86e758feeaa0eae5:0xa924775eac9f1c19!8m2!3d31.762324!4d-106.491945!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOemEwOVRWR0ZuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Bilingual narrative of WWII genocide with photos & artifacts in a center for tolerance & research."
"1654796156-700","https://www.google.com/maps/place/El+Paso+Museum+of+Art/@31.7676119,-107.0054529,10z/data=!3m1!5s0x86e758fdaeaadf0b:0x1cad7159526fe490!4m9!1m2!2m1!1sthings+to+do+in+el+paso+tx!3m5!1s0x86e7591dfca315bb:0xecad4ea0c1291c98!8m2!3d31.7585876!4d-106.4902692!15sChp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eFocIhp0aGluZ3MgdG8gZG8gaW4gZWwgcGFzbyB0eJIBEW1vZGVybl9hcnRfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15T1UwelEwSm5FQUU","El Paso Museum of Art","4.6","epma.art","1 Arts Festival Plaza, El Paso, TX 79901","null","null","https://lh5.googleusercontent.com/p/AF1QipMC2WcmKlz5H5CqTGUkS1O14G67E7Bl9CPczrdF=w408-h306-k-no","null"
