web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654752138-682","https://www.google.com/maps/place/Morgan's+Wonderland/@29.5095705,-98.799827,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m5!1s0x865c8ca6db6d0d5d:0xb4c78114419287d4!8m2!3d29.5391049!4d-98.3926044!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgEKdGhlbWVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTmMzSkhNbUZSRUFF","Morgan's Wonderland","4.8","morganswonderland.com","5223 David Edwards Dr, San Antonio, TX 78233","null","null","https://lh5.googleusercontent.com/p/AF1QipOQn6Q7J1ScU0rtpICAiR9RtcX-Tp15Y9U7fXIG=w408-h306-k-no","null"
"1654752118-680","https://www.google.com/maps/place/The+Alamo/@29.5095705,-98.799827,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m5!1s0x865c5f554d36895f:0x17f98f0f84e7c422!8m2!3d29.4259671!4d-98.4861419!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgENaGlzdG9yaWNfc2l0ZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSGJYVkllRFJuUlJBQg","The Alamo","4.6","thealamo.org","300 Alamo Plaza, San Antonio, TX 78205","null","null","https://lh5.googleusercontent.com/p/AF1QipMn7mzFfDWAz__vHgiTdzhS3gDzuubsqWyg6k0L=w408-h544-k-no","null"
"1654752087-677","https://www.google.com/maps/place/San+Antonio+Museum+of+Art+(SAMA)/@29.5095705,-98.799827,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m6!1s0x865cf5f826191f19:0x6f67589ef2a8c821!8m2!3d29.4372761!4d-98.4821898!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgEKYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWRWbHRTek5SUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Egyptian, Greek, Roman, Latin American & contemporary collections in the former Lone Star Brewery."
"1654752077-676","https://www.google.com/maps/place/Briscoe+Western+Art+Museum/@29.5095705,-98.799827,10z/data=!3m1!5s0x865c58ab70a5a6d1:0x7f7cf059bcecf840!4m9!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m5!1s0x865c58ab418dc83f:0x7d94c0e00d4e73ff!8m2!3d29.4229603!4d-98.4891439!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgEKYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSaGRHUmxSSFJCUlJBQg","Briscoe Western Art Museum","4.7","briscoemuseum.org","210 W Market St, San Antonio, TX 78205","null","null","https://lh5.googleusercontent.com/p/AF1QipNcxPvtubfknoHE-MZoUwseEo-q5hrwyzcAbTi9=w408-h306-k-no","null"
"1654752046-673","https://www.google.com/maps/place/The+DoSeum/@29.5095705,-98.799827,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m6!1s0x865cf5927ca75521:0xdac4d98ce5ae066a!8m2!3d29.4525491!4d-98.4722335!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgEQY2hpbGRyZW5zX211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeU5XOURYMGhSRUFF","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restaurant","null","2-story museum promoting learning & discovery through interactive exhibits & creative programs."
"1654752005-669","https://www.google.com/maps/place/Southerleigh+Fine+Food+And+Brewery/@29.4654367,-98.6209098,12z/data=!4m10!1m2!2m1!1sfood+in+san+antonio+tx!3m6!1s0x865cf5f436e239b3:0x82bf51841eb8d2ce!8m2!3d29.4425203!4d-98.4806628!10e1!15sChZmb29kIGluIHNhbiBhbnRvbmlvIHR4WhgiFmZvb2QgaW4gc2FuIGFudG9uaW8gdHiSAQpyZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs","null","This eatery serving Texas cuisine in a historic space also offers a second-story microbrewery."
"1654752128-681","https://www.google.com/maps/place/Morgan's+Wonderland/@29.5095705,-98.799827,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m6!1s0x865c8ca6db6d0d5d:0xb4c78114419287d4!8m2!3d29.5391049!4d-98.3926044!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgEKdGhlbWVfcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTmMzSkhNbUZSRUFF","null","null","null","null","Accessibility    Assistive hearing loop   Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair rental","Amenities    Good for kids   Restaurant   Restroom","null","Amusement center with acres of themed areas, rides & attractions for individuals with special needs."
"1654752097-678","https://www.google.com/maps/place/San+Antonio+Museum+of+Art+(SAMA)/@29.5095705,-98.799827,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m5!1s0x865cf5f826191f19:0x6f67589ef2a8c821!8m2!3d29.4372761!4d-98.4821898!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgEKYXJ0X211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VReWRWbHRTek5SUlJBQg","San Antonio Museum of Art (SAMA)","4.7","samuseum.org","200 W Jones Ave, San Antonio, TX 78215","null","null","https://lh5.googleusercontent.com/p/AF1QipO_J2xzvIpavC6I8qZFWEv5oGmFq4fb7O_8xLVW=w408-h306-k-no","null"
"1654752148-683","https://www.google.com/maps/place/San+Antonio+Zoo/@29.5095705,-98.799827,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+san+antonio+tx!3m6!1s0x865cf59ad8dd658d:0x29d4de62fd5bc2a4!8m2!3d29.4623904!4d-98.4737232!10e1!15sCh50aGluZ3MgdG8gZG8gaW4gc2FuIGFudG9uaW8gdHhaICIedGhpbmdzIHRvIGRvIGluIHNhbiBhbnRvbmlvIHR4kgEDem9vmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVI1TVhKeU1uRkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Sprawling zoo with 750 species (from alligators to zebras), cageless habitats, exhibits & a train."
"1654751985-667","https://www.google.com/maps/place/The+Cove/@29.4654367,-98.6209098,12z/data=!4m10!1m2!2m1!1sfood+in+san+antonio+tx!3m6!1s0x865c5f441f983e2f:0x65ab5f768c99f903!8m2!3d29.440464!4d-98.500532!10e1!15sChZmb29kIGluIHNhbiBhbnRvbmlvIHR4WhgiFmZvb2QgaW4gc2FuIGFudG9uaW8gdHiSARJvcmdhbmljX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Free Wi-Fi","null","Quirky kid-friendly venue with organic American fare, live music, a laundromat & car wash."
