web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654797382-752","https://www.google.com/maps/place/Hill+Aerospace+Museum/@41.2152652,-112.117212,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+ogden+ut!3m5!1s0x875304606910025f:0x8468a34c24c018a1!8m2!3d41.1621585!4d-112.0192185!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgEGbXVzZXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJMYWpaZlNWOTNSUkFC","Hill Aerospace Museum","4.8","aerospaceutah.org","7961 Cottonwood St Building 1955, Hill AFB, UT 84056","null","null","https://lh5.googleusercontent.com/p/AF1QipNWsi8U5A6Y2oJABDuli1NYLGNupmH-FZ_CFKzZ=w423-h240-k-no","null"
"1654797454-759","https://www.google.com/maps/place/Ogden+Botanical+Gardens/@41.2152652,-112.117212,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+ogden+ut!3m6!1s0x87530eccbc3a9895:0x90a4b41ca1fc5ee8!8m2!3d41.235215!4d-111.9535048!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWNuSlhaV0pCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Peaceful landscaped gardens with distinct sections, grilling stations & a lawn hosting events."
"1654797330-747","https://www.google.com/maps/place/Lucky+Slice+Pizza+Ogden/@41.2177862,-112.0126486,13z/data=!3m1!5s0x87530ede26ab030d:0x28e0445a76f74f38!4m10!1m2!2m1!1sfood+in+ogden+ut!3m6!1s0x87530ede2030808b:0xc88726cb7c78f018!8m2!3d41.2205725!4d-111.9757643!10e1!15sChBmb29kIGluIG9nZGVuIHV0WhIiEGZvb2QgaW4gb2dkZW4gdXSSARBwaXp6YV9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom   Good for kids   High chairs   Restroom   Free Wi-Fi","null","Welcoming pizzeria with gourmet sauces, toppings & specialty pies offered whole or by-the-slice."
"1654797485-762","https://www.google.com/maps/place/Ogden's+George+S.+Eccles+Dinosaur+Park/@41.2152652,-112.117212,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+ogden+ut!3m5!1s0x8753093a4e0654f7:0xa255e8f71aa48f72!8m2!3d41.237827!4d-111.937941!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YVdKdFoxSkJFQUU","Ogden's George S. Eccles Dinosaur Park","4.7","dinosaurpark.org","1544 Park Blvd, Ogden, UT 84401","null","null","https://lh5.googleusercontent.com/p/AF1QipNfcsGN3zyguQx5vi51vSgPvLmG9jRsdBN6NfhW=w408-h304-k-no","null"
"1654797475-761","https://www.google.com/maps/place/Ogden's+George+S.+Eccles+Dinosaur+Park/@41.2152652,-112.117212,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+ogden+ut!3m6!1s0x8753093a4e0654f7:0xa255e8f71aa48f72!8m2!3d41.237827!4d-111.937941!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgEGbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVF5YVdKdFoxSkJFQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","5-acre park featuring more than 100 dinosaur replicas, plus a museum with hands-on activities."
"1654797495-763","https://www.google.com/maps/place/Ogden+Union+Station/@41.2152652,-112.117212,11z/data=!3m1!5s0x87530ee128b83d51:0xac810a7ce2c73bfa!4m10!1m2!2m1!1sthings+to+do+in+ogden+ut!3m6!1s0x87530ee12dbeb6b7:0x16e0c646dc2fac19!8m2!3d41.2207103!4d-111.9797967!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgELcmFpbF9tdXNldW2aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXlPSFZEVldGM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restroom   Restaurant","null","Historic 1920s train station converted to an indoor marketplace with museums, art gallery & eatery."
"1654797361-750","https://www.google.com/maps/place/Pig+%26+a+Jelly+Jar+Ogden/@41.2177862,-112.0126486,13z/data=!4m9!1m2!2m1!1sfood+in+ogden+ut!3m5!1s0x87530ede3a87c83f:0xcee08c80267ed2c3!8m2!3d41.2205444!4d-111.9752231!15sChBmb29kIGluIG9nZGVuIHV0WhIiEGZvb2QgaW4gb2dkZW4gdXSSARFicnVuY2hfcmVzdGF1cmFudA","Pig & a Jelly Jar Ogden","4.3","pigandajellyjar.com","227 25th St, Ogden, UT 84401","null","null","https://lh5.googleusercontent.com/p/AF1QipPFYQTQ3nXupmj_C7xTbutJtoLJd5v_7TWhntF6=w408-h272-k-no","null"
"1654797423-756","https://www.google.com/maps/place/Fort+Buenaventura+Park/@41.2152652,-112.117212,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+ogden+ut!3m5!1s0x87530efae40eb803:0x84318be9802cd0b2!8m2!3d41.2204023!4d-111.9882658!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeU9UVnRTMEozRUFF","Fort Buenaventura Park","4.5","webercountyutah.gov","2450 A Ave, Ogden, UT 84401","null","null","https://lh5.googleusercontent.com/p/AF1QipOOcf7YdFqLzD5UYrSqZXUrQHwqV8o1cFKH3Yww=w408-h306-k-no","null"
"1654797526-766","https://www.google.com/maps/place/Treehouse+Museum/@41.2152652,-112.117212,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+ogden+ut!3m5!1s0x87530edcc7a62fe7:0x6f76db0a6efd9b59!8m2!3d41.2265067!4d-111.9719324!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgEQY2hpbGRyZW5zX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGFVNUxNbmhCUlJBQg","Treehouse Museum","4.8","treehousemuseum.org","347 22nd St, Ogden, UT 84401","null","null","https://lh5.googleusercontent.com/p/AF1QipPOT5V3y6Vr6vX-EUd5z7KV8X-h5OW9GlgLk4N2=w408-h252-k-no","null"
"1654797413-755","https://www.google.com/maps/place/Fort+Buenaventura+Park/@41.2152652,-112.117212,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+ogden+ut!3m6!1s0x87530efae40eb803:0x84318be9802cd0b2!8m2!3d41.2204023!4d-111.9882658!10e1!15sChh0aGluZ3MgdG8gZG8gaW4gb2dkZW4gdXRaGiIYdGhpbmdzIHRvIGRvIGluIG9nZGVuIHV0kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeU9UVnRTMEozRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Fur-trading & battle history, Native American artifacts, hiking trails, fishing & a visitor center."
