web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654798117-789","https://www.google.com/maps/place/No+Name+Saloon/@40.6525031,-111.5202313,14z/data=!4m10!1m2!2m1!1sfood+in+park+cityut!3m6!1s0x875272bd49308ec9:0x2107789955580e4a!8m2!3d40.6438332!4d-111.4962205!10e1!15sChRmb29kIGluIHBhcmsgY2l0eSB1dFoWIhRmb29kIGluIHBhcmsgY2l0eSB1dJIBDWJhcl9hbmRfZ3JpbGyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlNamcyU214M1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Bar onsite   Restroom   Free Wi-Fi","null","Happening red-brick saloon with pub grub like bison burgers plus a robust beer & whiskey menu."
"1654798210-798","https://www.google.com/maps/place/Kimball+Art+Center/@40.6961222,-111.816256,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+park+city+ut!3m5!1s0x875272bd4aefa585:0xf5be25c6d855b31a!8m2!3d40.660534!4d-111.5040453!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSARFhcnRzX29yZ2FuaXphdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbmVHTmxZbE5uRUFF","Kimball Art Center","3.8","kimballartcenter.org","1251 Kearns Blvd, Park City, UT 84060","null","null","https://lh5.googleusercontent.com/p/AF1QipOtH4pkztmp1Y95PEddOdOCt7DTScEmgDpup-fL=w640-h240-k-no","null"
"1654798138-791","https://www.google.com/maps/place/Woodward+Park+City/@40.6961222,-111.816256,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+park+city+ut!3m6!1s0x8752697632e8cc19:0x79488e938bd281a5!8m2!3d40.754513!4d-111.58564!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSARdhZHZlbnR1cmVfc3BvcnRzX2NlbnRlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWEwbzJNbnBCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Gender-neutral restroom","null","Forested mountain complex offering skiing, snowboarding & tubing, plus a large indoor tumbling area."
"1654798272-804","https://www.google.com/maps/place/Park+City+Mountain/@40.6961222,-111.816256,11z/data=!3m1!5s0x87526d625276bbdd:0xfd1f93510d857091!4m9!1m2!2m1!1sthings+to+do+in+park+city+ut!3m5!1s0x8752729c585de5df:0xfb4938052215e3af!8m2!3d40.6514199!4d-111.5079947!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQpza2lfcmVzb3J0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5YTAxdVNEaDNSUkFC","Park City Mountain","4.5","parkcitymountain.com","1345 Lowell Ave, Park City, UT 84060","null","null","https://lh5.googleusercontent.com/p/AF1QipPOLRNadlHwnqjyp7h899qWAraG3sakigs0U5YR=w408-h306-k-no","null"
"1654798128-790","https://www.google.com/maps/place/No+Name+Saloon/@40.6525031,-111.5202313,14z/data=!4m9!1m2!2m1!1sfood+in+park+cityut!3m5!1s0x875272bd49308ec9:0x2107789955580e4a!8m2!3d40.6438332!4d-111.4962205!15sChRmb29kIGluIHBhcmsgY2l0eSB1dFoWIhRmb29kIGluIHBhcmsgY2l0eSB1dJIBDWJhcl9hbmRfZ3JpbGyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXlNamcyU214M1JSQUI","No Name Saloon","4.5","nonamesaloon.com","447 Main St, Park City, UT 84060","null","null","https://lh5.googleusercontent.com/p/AF1QipNzz1Grrr-S6tvGx9X7TCrXENGCjMjJlbIashBY=w408-h240-k-no-pi-0-ya209.3343-ro-0-fo100","null"
"1654798282-805","https://www.google.com/maps/place/Park+City+Museum/@40.6961222,-111.816256,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+park+city+ut!3m6!1s0x875272bd01ad24db:0xd9550e1ead42b459!8m2!3d40.6445641!4d-111.4961957!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWNVdDVWMDFCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restaurant","null","Local history museum offering interactive exhibits, artifacts & the city's original basement jail."
"1654798097-787","https://www.google.com/maps/place/Squatters+Roadhouse+Grill/@40.6609311,-111.5457306,14z/data=!4m10!1m2!2m1!1sfood+in+park+cityut!3m6!1s0x87526d64d6123723:0x77a8dbaaedee4ae8!8m2!3d40.6609311!4d-111.5107117!10e1!15sChRmb29kIGluIHBhcmsgY2l0eSB1dFoWIhRmb29kIGluIHBhcmsgY2l0eSB1dJIBCnJlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Bar onsite   Good for kids   High chairs   Restroom","null","Outpost of a relaxed microbrewery chain crafting seasonal & year-round beers & eclectic pub grub."
"1654798262-803","https://www.google.com/maps/place/Park+City+Mountain/@40.6961222,-111.816256,11z/data=!3m1!5s0x87526d625276bbdd:0xfd1f93510d857091!4m10!1m2!2m1!1sthings+to+do+in+park+city+ut!3m6!1s0x8752729c585de5df:0xfb4938052215e3af!8m2!3d40.6514199!4d-111.5079947!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQpza2lfcmVzb3J0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5YTAxdVNEaDNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Bar onsite   Good for kids   Restaurant   Restroom   Free Wi-Fi","null","Renowned resort with skiing, snowboarding & other activities, plus hotels, restaurants & shops."
"1654798200-797","https://www.google.com/maps/place/Kimball+Art+Center/@40.6961222,-111.816256,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+park+city+ut!3m6!1s0x875272bd4aefa585:0xf5be25c6d855b31a!8m2!3d40.660534!4d-111.5040453!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSARFhcnRzX29yZ2FuaXphdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbmVHTmxZbE5uRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Gallery displaying works as well as hosting educational art programs & other events."
"1654798251-802","https://www.google.com/maps/place/Park+Silly+Sunday+Market/@40.6961222,-111.816256,11z/data=!3m1!5s0x875272a2be9ddedd:0xf4928902a07d7e5b!4m9!1m2!2m1!1sthings+to+do+in+park+city+ut!3m5!1s0x875272a2cad4c369:0xa3b40eaea9ffefc1!8m2!3d40.647254!4d-111.4977616!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQZtYXJrZXSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUnhPVkJpY1VsM0VBRQ","Park Silly Sunday Market","4.6","parksillysundaymarket.com","780 Main St, Park City, UT 84060","null","null","https://lh5.googleusercontent.com/p/AF1QipOIvtRhmythRX4JxP_FMXxrmY_soVf06fKGOsQE=w408-h306-k-no","null"
"1654798107-788","https://www.google.com/maps/place/Squatters+Roadhouse+Grill/@40.6525031,-111.5202313,14z/data=!4m9!1m2!2m1!1sfood+in+park+cityut!3m5!1s0x87526d64d6123723:0x77a8dbaaedee4ae8!8m2!3d40.6609311!4d-111.5107117!15sChRmb29kIGluIHBhcmsgY2l0eSB1dFoWIhRmb29kIGluIHBhcmsgY2l0eSB1dJIBCnJlc3RhdXJhbnQ","Squatters Roadhouse Grill","4.3","saltlakebrewingco.com","1900 Park Ave, Park City, UT 84098","null","null","https://lh5.googleusercontent.com/p/AF1QipPDD5EJLfmkRUsRfTKgVjNXquH-BIMW8vLQct1c=w408-h273-k-no","null"
"1654798148-792","https://www.google.com/maps/place/Woodward+Park+City/@40.6961222,-111.816256,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+park+city+ut!3m5!1s0x8752697632e8cc19:0x79488e938bd281a5!8m2!3d40.754513!4d-111.58564!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSARdhZHZlbnR1cmVfc3BvcnRzX2NlbnRlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWEwbzJNbnBCUlJBQg","Woodward Park City","4.3","woodwardparkcity.com","3863 Kilby Rd, Park City, UT 84098","null","null","https://lh5.googleusercontent.com/p/AF1QipNZwdFi6qlQh9DJBoMi0nWQqRB9OKcbgYIdx_03=w408-h272-k-no","null"
"1654798220-799","https://www.google.com/maps/place/Utah+Olympic+Park/@40.6961222,-111.816256,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+park+city+ut!3m6!1s0x87526c05262e49bf:0x8b0dbbb05bf05584!8m2!3d40.7117726!4d-111.5618448!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQ5zcG9ydHNfY29tcGxleJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGFuUkhaMVpCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","null","null","Sprawling park built for the 2002 Olympics featuring ski jumps, bobsled rides, a zip line & museums."
"1654798293-806","https://www.google.com/maps/place/Park+City+Museum/@40.6961222,-111.816256,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+park+city+ut!3m5!1s0x875272bd01ad24db:0xd9550e1ead42b459!8m2!3d40.6445641!4d-111.4961957!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQ5oaXN0b3J5X211c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReWNVdDVWMDFCRUFF","Park City Museum","4.6","parkcityhistory.org","528 Main St, Park City, UT 84060","null","null","https://lh5.googleusercontent.com/p/AF1QipMi5O_HAjdnLPaAz6qaVMBNpytuPayELjUGqpIS=w408-h271-k-no","null"
"1654798169-794","https://www.google.com/maps/place/Prospector+Park/@40.6961222,-111.816256,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+park+city+ut!3m2!1s0x87526d51ceee9ba7:0xb09ddedfe7c362df!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QTjAwdE9IRkJSUkFC","Prospector Park","4.3","parkcity.org","2500 Wyatt Earp Way, Park City, UT 84060","null","null","https://lh5.googleusercontent.com/p/AF1QipMKY-uVtaUqaJpl1JFlZyYXFq5CHB7WVDogVG6c=w408-h306-k-no","null"
"1654798231-800","https://www.google.com/maps/place/Utah+Olympic+Park/@40.6961222,-111.816256,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+park+city+ut!3m5!1s0x87526c05262e49bf:0x8b0dbbb05bf05584!8m2!3d40.7117726!4d-111.5618448!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSAQ5zcG9ydHNfY29tcGxleJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeGFuUkhaMVpCRUFF","Utah Olympic Park","4.6","utaholympiclegacy.org","3419 Olympic Pkwy, Park City, UT 84098","null","null","https://lh5.googleusercontent.com/p/AF1QipNTJGQzyYRV2ZkrQRugh86HswPXcTVgmJIwyLDh=w408-h306-k-no","null"
"1654798190-796","https://www.google.com/maps/place/Red+Pine+Adventures/@40.6961222,-111.816256,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+park+city+ut!3m5!1s0x87526db450254d65:0xf5c3e3f675733a7d!8m2!3d40.6797325!4d-111.5508804!15sChx0aGluZ3MgdG8gZG8gaW4gcGFyayBjaXR5IHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBwYXJrIGNpdHkgdXSSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRhRm95ZEdObkVBRQ","Red Pine Adventures","4.7","redpinetours.com","2050 White Pine Canyon Rd, Park City, UT 84060","null","null","https://lh5.googleusercontent.com/p/AF1QipN90sRwmhMDEUZwpIKahBHojI8rYhBMPC8lN1q5=w425-h240-k-no","null"
