web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654796555-711","https://www.google.com/maps/place/Utah+State+Capitol/@40.7673645,-112.0440105,12z/data=!3m1!5s0x8752f5a6a2909f37:0x8f059e026c9c236a!4m10!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m6!1s0x8752f511bd28ae05:0xec6d0cba75d8fd4a!8m2!3d40.7774076!4d-111.8881773!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgEXc3RhdGVfZ292ZXJubWVudF9vZmZpY2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXljMk41YzB4M0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Built in 1916, the renovated neoclassical revival building offers original murals, exhibits & tours."
"1654796709-726","https://www.google.com/maps/place/Hogle+Zoo/@40.750814,-111.9375698,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m5!1s0x8752f51b7961dc89:0x73f1a804eb909466!8m2!3d40.7501796!4d-111.8141044!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgEDem9vmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54TlU4dFdGZG5FQUU","Hogle Zoo","4.5","hoglezoo.org","2600 Sunnyside Ave S, Salt Lake City, UT 84108","null","null","https://lh5.googleusercontent.com/p/AF1QipP35bo1UBptcdSc-X_Osh7zTuNt-3Z72ay2F6FR=w408-h306-k-no","null"
"1654796637-719","https://www.google.com/maps/place/Red+Butte+Garden/@40.750814,-111.9375698,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m6!1s0x87525fc2552e7cdd:0xe1472a655215b7b1!8m2!3d40.7661478!4d-111.8247707!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgEQYm90YW5pY2FsX2dhcmRlbg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","University of Utah's botanical garden features nature trails, workshops & an outdoor concert series."
"1654796576-713","https://www.google.com/maps/place/Clark+Planetarium/@40.7673645,-112.0440105,12z/data=!3m1!5s0x8752f501c1ef742b:0x7edf0a3ad89a669c!4m10!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m6!1s0x8752f501bbfa91bb:0x673714599979c094!8m2!3d40.7666699!4d-111.9033733!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgELcGxhbmV0YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhkVzlxUzI1UlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids   Restaurant","null","State-of-the-art venue featuring 3-D IMAX films, laser light shows & exhibits about space & science."
"1654796545-710","https://www.google.com/maps/place/R%26R+BBQ/@40.7490277,-111.9173048,13z/data=!4m6!1m2!2m1!1sfood+in+salt+lake+city+ut!3m2!1s0x8752f51c21be8bc1:0xacf58feb10ad32fe!15sChlmb29kIGluIHNhbHQgbGFrZSBjaXR5IHV0WhsiGWZvb2QgaW4gc2FsdCBsYWtlIGNpdHkgdXSSARNiYXJiZWN1ZV9yZXN0YXVyYW50","R&R BBQ","4.4","randrbbq.com","307 W 600 S, Salt Lake City, UT 84101","null","null","https://lh5.googleusercontent.com/p/AF1QipPBy6dgWTKxDWYWD-m0Hg9Rfoqz28BbRNBgGVHj=w408-h306-k-no","null"
"1654796566-712","https://www.google.com/maps/place/Utah+State+Capitol/@40.7673645,-112.0440105,12z/data=!3m1!5s0x8752f5a6a2909f37:0x8f059e026c9c236a!4m9!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m5!1s0x8752f511bd28ae05:0xec6d0cba75d8fd4a!8m2!3d40.7774076!4d-111.8881773!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgEXc3RhdGVfZ292ZXJubWVudF9vZmZpY2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXljMk41YzB4M0VBRQ","Utah State Capitol","4.7","utahstatecapitol.utah.gov","350 State St, Salt Lake City, UT 84103","null","null","https://lh5.googleusercontent.com/p/AF1QipM2NTAlyf_FF1LMKl_tc0Dj_HVlz8do2-pWURGw=w408-h268-k-no","null"
"1654796658-721","https://www.google.com/maps/place/Liberty+Park/@40.750814,-111.9375698,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m6!1s0x8752f54425332f67:0x354cd3a2499141d0!8m2!3d40.7457244!4d-111.8740153!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgEEcGFya5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSTE1IQTNSMkZCRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Home to an aviary & museum, this serene landmark features a lake with ducks & paddle-boat rentals."
"1654796586-714","https://www.google.com/maps/place/Clark+Planetarium/@40.7673645,-112.0440105,12z/data=!3m1!5s0x8752f501c1ef742b:0x7edf0a3ad89a669c!4m9!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m5!1s0x8752f501bbfa91bb:0x673714599979c094!8m2!3d40.7666699!4d-111.9033733!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgELcGxhbmV0YXJpdW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhkVzlxUzI1UlJSQUI","Clark Planetarium","4.6","slco.org","110 400 W, Salt Lake City, UT 84101","null","null","https://lh5.googleusercontent.com/p/AF1QipOEtW4cWItCcoFrY2F78XyF4knVUM4Qe3rcdF4=w408-h291-k-no","null"
"1654796607-716","https://www.google.com/maps/place/Discovery+Gateway+Children's+Museum/@40.750814,-111.9375698,12z/data=!4m6!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m2!1s0x8752f5002f956463:0xf921d18f5c42326b!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgEQY2hpbGRyZW5zX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWIyRmZZV3RCUlJBQg","Discovery Gateway Children's Museum","4.5","discoverygateway.org","444 W 100 S, Salt Lake City, UT 84101","null","null","https://lh5.googleusercontent.com/p/AF1QipP2hLH_gzYAGDrzQ8TU6DdoLWV2Q026yfGKStk=w408-h272-k-no","null"
"1654796596-715","https://www.google.com/maps/place/Discovery+Gateway+Children's+Museum/@40.7673645,-112.0440105,12z/data=!3m1!5s0x8752f5003a1c9bad:0x7edf0a3a87fac930!4m10!1m2!2m1!1sthings+to+do+in+salt+lake+city+ut!3m6!1s0x8752f5002f956463:0xf921d18f5c42326b!8m2!3d40.7673645!4d-111.9039348!10e1!15sCiF0aGluZ3MgdG8gZG8gaW4gc2FsdCBsYWtlIGNpdHkgdXRaIyIhdGhpbmdzIHRvIGRvIGluIHNhbHQgbGFrZSBjaXR5IHV0kgEQY2hpbGRyZW5zX211c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeWIyRmZZV3RCUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Free Wi-Fi   Restaurant","null","Children's museum featuring interactive exhibits & workshops, plus a terrace with a real helicopter."
