web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654797082-743","https://www.google.com/maps/place/St.+George+Dinosaur+Discovery+Site+at+Johnson+Farm/@37.1264037,-113.8617353,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+george+ut!3m6!1s0x80ca5afb0c07dd23:0x7ebe630331d83dc4!8m2!3d37.1011653!4d-113.5349224!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBzdCBnZW9yZ2UgdXSSARZuYXR1cmFsX2hpc3RvcnlfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJYTUhSMldsSm5FQUU","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Good for kids   Restroom   Free Wi-Fi   Restaurant","null","Educational spot featuring prehistoric dino tracks along with fossilized fish & plant life."
"1654797061-741","https://www.google.com/maps/place/Red+Hills+Desert+Garden/@37.1264037,-113.8617353,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+george+ut!3m6!1s0x80ca44cc8e0f5d71:0x74abbaf2dd479e5!8m2!3d37.1138459!4d-113.575131!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBzdCBnZW9yZ2UgdXSSARBib3RhbmljYWxfZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5MWjBveU5tdG5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","5-acre preserve with more than 5,000 desert plants, a stream, replica slot canyon & dinosaur tracks."
"1654796948-730","https://www.google.com/maps/place/Black+Bear+Diner+St.+George/@37.1015869,-113.6127899,13z/data=!4m9!1m2!2m1!1sfood+in+st+george+ut!3m5!1s0x80ca453013dc74d3:0x66181c570d21e6f5!8m2!3d37.086575!4d-113.5838345!15sChRmb29kIGluIHN0IGdlb3JnZSB1dFoWIhRmb29kIGluIHN0IGdlb3JnZSB1dJIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","Black Bear Diner St. George","4.4","blackbeardiner.com","1245 S Main St, St. George, UT 84770","null","null","https://lh5.googleusercontent.com/p/AF1QipM8lIeULUW4EK9vx6q7g8xiCm-C9USM8baqj2ld=w408-h272-k-no","null"
"1654796969-732","https://www.google.com/maps/place/Snow+Canyon+State+Park/@37.1264037,-113.8617353,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+st+george+ut!3m5!1s0x80ca69dbff8e87e5:0x680b16022dc66697!8m2!3d37.2178145!4d-113.6395961!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBzdCBnZW9yZ2UgdXSSAQpzdGF0ZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4YTBsbVNHZEJSUkFC","Snow Canyon State Park","4.8","stateparks.utah.gov","1002 Snow Canyon Dr, Ivins, UT 84738","null","null","https://lh5.googleusercontent.com/p/AF1QipP1q8Hm2M9vekbvnMcph4YPE6aYkP79X8LSS0AE=w408-h306-k-no","null"
"1654797041-739","https://www.google.com/maps/place/Thunder+Junction+All+Abilities+Park/@37.1264037,-113.8617353,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+george+ut!3m6!1s0x80ca451437983853:0xfbd4398a74fdc4ae!8m2!3d37.0778283!4d-113.6003145!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBzdCBnZW9yZ2UgdXSSAQljaXR5X3BhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnhkV041U1hKM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Public restroom","null","Play equipment, a dinosaur-themed garden, train rides & picnics for kids with different abilities."
"1654796989-734","https://www.google.com/maps/place/St.+George+Children%E2%80%99s+Museum/@37.1264037,-113.8617353,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+st+george+ut!3m5!1s0x80ca44d01269cc43:0x43a3f1792f6a77d5!8m2!3d37.1068066!4d-113.5836408!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0SNWC3720rICACFoeIhx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0YgkJ37U9xCBPEkySARBjaGlsZHJlbnNfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5QYVU1UE1GQjNFQUU","St. George Children’s Museum","4.7","sgchildrensmuseum.org","86 S Main St, St. George, UT 84770","null","null","https://lh5.googleusercontent.com/p/AF1QipOHyyFyyMbJZkDB7SyeV7wouSXWgOiHLL8JgCit=w441-h240-k-no","null"
"1654796958-731","https://www.google.com/maps/place/Snow+Canyon+State+Park/@37.1264037,-113.8617353,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+george+ut!3m6!1s0x80ca69dbff8e87e5:0x680b16022dc66697!8m2!3d37.2178145!4d-113.6395961!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBzdCBnZW9yZ2UgdXSSAQpzdGF0ZV9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4YTBsbVNHZEJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Scenic locale offering trails for hiking, climbing & horseback riding amid dunes & sandstone cliffs."
"1654796938-729","https://www.google.com/maps/place/Black+Bear+Diner+St.+George/@37.1015869,-113.6127899,13z/data=!4m10!1m2!2m1!1sfood+in+st+george+ut!3m6!1s0x80ca453013dc74d3:0x66181c570d21e6f5!8m2!3d37.086575!4d-113.5838345!10e1!15sChRmb29kIGluIHN0IGdlb3JnZSB1dFoWIhRmb29kIGluIHN0IGdlb3JnZSB1dJIBE2FtZXJpY2FuX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids   High chairs   Restroom   Free Wi-Fi","null","Easygoing chain serving familiar all-day comfort food & desserts in a woodsy setting."
"1654796999-735","https://www.google.com/maps/place/The+Dixie+Sugarloaf/@37.1264037,-113.8617353,10z/data=!4m10!1m2!2m1!1sthings+to+do+in+st+george+ut!3m6!1s0x80ca44c965c6e927:0xda65b2e38fae8281!8m2!3d37.1155265!4d-113.5794531!10e1!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBzdCBnZW9yZ2UgdXSSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhObGxwU1VKM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible parking lot","Amenities    Good for kids","null","Enormous red sandstone formation labeled ""DIXIE"" in white letters, with trails to the top & vistas."
"1654797010-736","https://www.google.com/maps/place/The+Dixie+Sugarloaf/@37.1264037,-113.8617353,10z/data=!4m9!1m2!2m1!1sthings+to+do+in+st+george+ut!3m5!1s0x80ca44c965c6e927:0xda65b2e38fae8281!8m2!3d37.1155265!4d-113.5794531!15sChx0aGluZ3MgdG8gZG8gaW4gc3QgZ2VvcmdlIHV0Wh4iHHRoaW5ncyB0byBkbyBpbiBzdCBnZW9yZ2UgdXSSARJ0b3VyaXN0X2F0dHJhY3Rpb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmhObGxwU1VKM0VBRQ","The Dixie Sugarloaf","4.8","wchsutah.org","Red Hills Pkwy, St. George, UT 84770","null","null","https://lh5.googleusercontent.com/p/AF1QipOdqOzNDlLsE2hyhY8-TIhcTjcivc509J7DcQ4a=w408-h306-k-no","null"
