web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654735056-429","https://www.google.com/maps/place/Virtue+Feed+%26+Grain/@38.8052821,-77.116886,13z/data=!4m10!1m2!2m1!1sfood+in+alexandria+va!3m6!1s0x89b7b058a737b351:0x4f6850db08057a92!8m2!3d38.8037863!4d-77.0400629!10e1!15sChVmb29kIGluIGFsZXhhbmRyaWEgdmFaFyIVZm9vZCBpbiBhbGV4YW5kcmlhIHZhkgETYW1lcmljYW5fcmVzdGF1cmFudA","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible restroom   Wheelchair accessible seating   Wheelchair accessible parking lot","Amenities    Bar onsite   High chairs   Restroom","null","In a revamped 18th-century granary, this hip tavern offers elevated pub grub & a lively bar scene."
"1654735128-436","https://www.google.com/maps/place/Carlyle+House+Historic+Park/@38.7864531,-77.237839,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+alexandria+va!3m5!1s0x89b7b0f64a408761:0x83b3b01437779bce!8m2!3d38.8052181!4d-77.0419543!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBF2hpc3RvcmljYWxfcGxhY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54T1VwTFRGZEJFQUU","Carlyle House Historic Park","4.7","novaparks.com","121 N Fairfax St, Alexandria, VA 22314","null","null","https://lh5.googleusercontent.com/p/AF1QipPoZBVRW7RJGx931QlZS784phLGfG0BG9lZliMe=w408-h544-k-no","null"
"1654735118-435","https://www.google.com/maps/place/Carlyle+House+Historic+Park/@38.7864531,-77.237839,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+va!3m6!1s0x89b7b0f64a408761:0x83b3b01437779bce!8m2!3d38.8052181!4d-77.0419543!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBF2hpc3RvcmljYWxfcGxhY2VfbXVzZXVtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54T1VwTFRGZEJFQUU","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Elegant, circa-1753 manor home featuring lush gardens & tours plus concerts & other events."
"1654735138-437","https://www.google.com/maps/place/Old+Town+Alexandria+Waterfront/@38.7864531,-77.237839,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+va!3m6!1s0x89b7b058bb494527:0xa25ce94537e6d3dc!8m2!3d38.8034266!4d-77.03943!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBCGxhbmRtYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54ZUc5VE5tOUJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","null","null","Bars, restaurants & ice cream parlors, plus live music, on a parklike riverside promenade."
"1654735097-433","https://www.google.com/maps/place/Stabler-Leadbeater+Apothecary+Museum/@38.7864531,-77.237839,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+va!3m6!1s0x89b7b0f7d8002b51:0x3c9d3933322bfb29!8m2!3d38.8042204!4d-77.0427131!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWNISnlRVmRuRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids   Restaurant","null","An apothecary until 1933, the museum now offers 30-minute tours explaining its famed potions."
"1654735087-432","https://www.google.com/maps/place/Athenaeum/@38.7864531,-77.237839,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+alexandria+va!3m5!1s0x89b7b05888fa176b:0x7eb261010a12248c!8m2!3d38.8034561!4d-77.0418067!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBC2FydF9nYWxsZXJ5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5uZDFBelkzRkJSUkFC","Athenaeum","4.3","nvfaa.org","201 Prince St, Alexandria, VA 22314","null","null","https://lh5.googleusercontent.com/p/AF1QipMwDC6FrQJRRnyEGrSXyi5IiSWlGqkul_bfQmLJ=w408-h296-k-no","null"
"1654735108-434","https://www.google.com/maps/place/Stabler-Leadbeater+Apothecary+Museum/@38.7864531,-77.237839,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+alexandria+va!3m5!1s0x89b7b0f7d8002b51:0x3c9d3933322bfb29!8m2!3d38.8042204!4d-77.0427131!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBBm11c2V1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWNISnlRVmRuRUFF","Stabler-Leadbeater Apothecary Museum","4.7","alexandriava.gov","105-107 S Fairfax St, Alexandria, VA 22314","null","null","https://lh5.googleusercontent.com/p/AF1QipMgUSNHFMyTWj1PN6AI49v3Y4ChedSRj4VCiBRy=w408-h306-k-no","null"
"1654735066-430","https://www.google.com/maps/place/Virtue+Feed+%26+Grain/@38.8052821,-77.116886,13z/data=!4m6!1m2!2m1!1sfood+in+alexandria+va!3m2!1s0x89b7b058a737b351:0x4f6850db08057a92!15sChVmb29kIGluIGFsZXhhbmRyaWEgdmFaFyIVZm9vZCBpbiBhbGV4YW5kcmlhIHZhkgETYW1lcmljYW5fcmVzdGF1cmFudA","Virtue Feed & Grain","4.5","virtuefeedgrain.com","106 S Union St, Alexandria, VA 22314","null","null","https://lh5.googleusercontent.com/p/AF1QipP0PatR1N8Yg4WEWYIDWzDMPp2BsF3ffSVff5_H=w408-h306-k-no","null"
"1654735149-438","https://www.google.com/maps/place/Old+Town+Alexandria+Waterfront/@38.7864531,-77.237839,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+alexandria+va!3m5!1s0x89b7b058bb494527:0xa25ce94537e6d3dc!8m2!3d38.8034266!4d-77.03943!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBCGxhbmRtYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU54ZUc5VE5tOUJSUkFC","Old Town Alexandria Waterfront","4.8","visitalexandriava.com","1 Prince St, Alexandria, VA 22314","null","null","https://lh5.googleusercontent.com/p/AF1QipN3I5alOd3QSUfP988Kbcw5fcrf11ZC2Rw5PmOQ=w408-h305-k-no","null"
"1654735077-431","https://www.google.com/maps/place/Athenaeum/@38.7864531,-77.237839,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+alexandria+va!3m6!1s0x89b7b05888fa176b:0x7eb261010a12248c!8m2!3d38.8034561!4d-77.0418067!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YVofIh10aGluZ3MgdG8gZG8gaW4gYWxleGFuZHJpYSB2YZIBC2FydF9nYWxsZXJ5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5uZDFBelkzRkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Gender-neutral restroom   Restaurant","null","This storied Greek Revival building is now a venue for visual & performing arts with a gallery."
