web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654734785-419","https://www.google.com/maps/place/Kervan+Kebab+House/@36.8690408,-76.437907,12.14z/data=!4m10!1m2!2m1!1sfood+in+chesapeake+va!3m6!1s0x89babce27e60bc05:0xae59aa1199a274d0!8m2!3d36.7929799!4d-76.2383253!10e1!15sChVmb29kIGluIGNoZXNhcGVha2UgdmFaFyIVZm9vZCBpbiBjaGVzYXBlYWtlIHZhkgESdHVya2lzaF9yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids   Restroom   Free Wi-Fi","null","Unfussy Turkish counter serve with a few eat-in tables & section of imported groceries."
"1654734795-420","https://www.google.com/maps/place/Kervan+Kebab+House/@36.8690408,-76.437907,12.14z/data=!4m9!1m2!2m1!1sfood+in+chesapeake+va!3m5!1s0x89babce27e60bc05:0xae59aa1199a274d0!8m2!3d36.7929799!4d-76.2383253!15sChVmb29kIGluIGNoZXNhcGVha2UgdmFaFyIVZm9vZCBpbiBjaGVzYXBlYWtlIHZhkgESdHVya2lzaF9yZXN0YXVyYW50","Kervan Kebab House","4.7","null","1757 Parkview Dr Suite B, Chesapeake, VA 23320","null","null","https://lh5.googleusercontent.com/p/AF1QipNCt4k9XBZ7AETRNmpIyVGJ968AExVmfPV4Fzex=w408-h306-k-no","null"
"1654734826-423","https://www.google.com/maps/place/Chesapeake+Planetarium/@36.743345,-76.5193814,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m6!1s0x89babb2229b42feb:0x8ab827ec48350372!8m2!3d36.7160482!4d-76.2509713!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBC3BsYW5ldGFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50TnpoSExXNTNSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Good for kids","null","Circa-1963 theater providing educational programming to schools & free public shows on Thursdays."
"1654734816-422","https://www.google.com/maps/place/Northwest+River+Park/@36.743345,-76.5193814,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m5!1s0x89bab698512e4781:0x7f1b368a752c50d!8m2!3d36.5861149!4d-76.1526456!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBjMDgzT1RKM1JSQUI","Northwest River Park","4.7","cityofchesapeake.net","1733 Indian Creek Rd, Chesapeake, VA 23322","null","null","https://lh5.googleusercontent.com/p/AF1QipPaYgbGRBa6KBr7ZRE_gYH1V8btbodvIaYqBEub=w408-h306-k-no","null"
"1654734877-428","https://www.google.com/maps/place/Chesapeake+Arboretum/@36.9002155,-76.3968346,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m5!1s0x89babb64d4d27519:0x6cc552d1443faced!8m2!3d36.743345!4d-76.23923!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBCWFyYm9yZXR1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMmFYWnVhRmRSRUFF","Chesapeake Arboretum","4.6","cityofchesapeake.net","624 Oak Grove Rd, Chesapeake, VA 23320","null","null","https://lh5.googleusercontent.com/p/AF1QipN7_DnJtAaL7qHSRLWlG83EkBTddGMolmhf4sA_=w408-h544-k-no","null"
"1654734847-425","https://www.google.com/maps/place/Chesapeake+City+Park/@36.743345,-76.5193814,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m6!1s0x89babc8037449e93:0x9bcb35a0e3fedb5c!8m2!3d36.7512864!4d-76.2281344!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXllbVpRYzFoM0VBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Pine forest featuring open space for dog & skate parks plus an expansive playground & horseshoes."
"1654734857-426","https://www.google.com/maps/place/Chesapeake+City+Park/@36.743345,-76.5193814,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m5!1s0x89babc8037449e93:0x9bcb35a0e3fedb5c!8m2!3d36.7512864!4d-76.2281344!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXllbVpRYzFoM0VBRQ","Chesapeake City Park","4.7","cityofchesapeake.net","900 City Park Dr, Chesapeake, VA 23320","null","null","https://lh5.googleusercontent.com/p/AF1QipMf_8t2mPWO-mhtrON87nk4Kh4a4RObonXCYFwC=w408-h306-k-no","null"
"1654734867-427","https://www.google.com/maps/place/Chesapeake+Arboretum/@36.743345,-76.5193814,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m6!1s0x89babb64d4d27519:0x6cc552d1443faced!8m2!3d36.743345!4d-76.23923!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBCWFyYm9yZXR1bZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMmFYWnVhRmRSRUFF","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Site devoted to nature appreciation & education, with forest trails & gardens across 45 acres."
"1654734805-421","https://www.google.com/maps/place/Northwest+River+Park/@36.5861149,-76.432797,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m6!1s0x89bab698512e4781:0x7f1b368a752c50d!8m2!3d36.5861149!4d-76.1526456!10e1!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBjMDgzT1RKM1JSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Riverside park offering fishing, boating, camping, horse riding, putt-putt & more. Open year-round."
"1654734836-424","https://www.google.com/maps/place/Chesapeake+Planetarium/@36.743345,-76.5193814,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+chesapeake+va!3m5!1s0x89babb2229b42feb:0x8ab827ec48350372!8m2!3d36.7160482!4d-76.2509713!15sCh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YVofIh10aGluZ3MgdG8gZG8gaW4gY2hlc2FwZWFrZSB2YZIBC3BsYW5ldGFyaXVtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU50TnpoSExXNTNSUkFC","Chesapeake Planetarium","4.8","virginia.org","310 Shea Dr, Chesapeake, VA 23322","null","null","https://lh5.googleusercontent.com/p/AF1QipPDpkB34N8_Om0bI6o95EIqBgEuVaBL1xJp2B7X=w408-h272-k-no","null"
