web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654735316-444","https://www.google.com/maps/place/Virginia+Air+%26+Space+Science+Center/@37.0425766,-76.5223588,11z/data=!4m6!1m2!2m1!1sthings+to+do+in+hampton+va!3m2!1s0x89ba84b71d1c847f:0xa5df2fbbd3e7d879!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBDnZpc2l0b3JfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QYzBwdU1XNW5SUkFC","Virginia Air & Space Science Center","4.4","vasc.org","600 Settlers Landing Rd, Hampton, VA 23669","null","null","https://lh5.googleusercontent.com/p/AF1QipOFYGieL4q8AvF5ObJ63SpEuCSsYZQ9Wi6Gi9xa=w408-h306-k-no","null"
"1654735337-446","https://www.google.com/maps/place/Hampton+History+Museum/@37.0425766,-76.5223588,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+hampton+va!3m5!1s0x89ba84b0cb8b5c95:0x4b5d17a5ebe04bb!8m2!3d37.0253331!4d-76.346679!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGNrMHphemRuUlJBQg","Hampton History Museum","4.5","hampton.gov","120 Old Hampton Ln, Hampton, VA 23669","null","null","https://lh5.googleusercontent.com/p/AF1QipNSkeIDsiclOjG_lT78UNqLAgkLHjVzXOd_UFH3=w408-h296-k-no","null"
"1654735296-442","https://www.google.com/maps/place/Buckroe+Beach+and+Park/@37.0425766,-76.5223588,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+hampton+va!3m5!1s0x89ba856d765e21a9:0x75af40e218f38ca7!8m2!3d37.0402512!4d-76.2908049!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhORXhYUlVaQkVBRQ","Buckroe Beach and Park","4.6","hampton.gov","100 S 1st St, Hampton, VA 23664","null","null","https://lh5.googleusercontent.com/p/AF1QipONu0sPQWef43shx7vOzCBVFZCSqNllYY45iAwQ=w408-h306-k-no","null"
"1654735326-445","https://www.google.com/maps/place/Hampton+History+Museum/@37.0425766,-76.5223588,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+hampton+va!3m6!1s0x89ba84b0cb8b5c95:0x4b5d17a5ebe04bb!8m2!3d37.0253331!4d-76.346679!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBBm11c2V1bZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGNrMHphemRuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Venue displaying the city's history via art & artifacts, including period dresses & Civil War ruins."
"1654735265-439","https://www.google.com/maps/place/Brown+Chicken+Brown+Cow/@37.0514143,-76.4074756,13.14z/data=!4m10!1m2!2m1!1sfood+in+hampton+va!3m6!1s0x89ba84b779752545:0x3a4d5a91983eeec8!8m2!3d37.0258616!4d-76.3437291!10e1!15sChJmb29kIGluIGhhbXB0b24gdmFaFCISZm9vZCBpbiBoYW1wdG9uIHZhkgEUaGFtYnVyZ2VyX3Jlc3RhdXJhbnQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair accessible seating","Amenities    Bar onsite   High chairs   Restroom","null","Elevated pub & brunch eats, craft beers & floats with booth or patio seating, plus live music."
"1654735357-448","https://www.google.com/maps/place/Air+Power+Park/@37.0425766,-76.5223588,11z/data=!4m9!1m2!2m1!1sthings+to+do+in+hampton+va!3m5!1s0x89ba8361b3363537:0x99c87084c253ebcc!8m2!3d37.0433511!4d-76.3663101!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlja3N5Tm5ablJSQUI","Air Power Park","4.4","hampton.gov","413 W Mercury Blvd, Hampton, VA 23669","null","null","https://lh5.googleusercontent.com/p/AF1QipNDvfWpfcMprrXGZm7QvdRjwOlLfCpqfgd2yMxQ=w408-h306-k-no","null"
"1654735306-443","https://www.google.com/maps/place/Virginia+Air+%26+Space+Science+Center/@37.0425766,-76.5223588,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+hampton+va!3m6!1s0x89ba84b71d1c847f:0xa5df2fbbd3e7d879!8m2!3d37.0240853!4d-76.3441011!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBDnZpc2l0b3JfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5QYzBwdU1XNW5SUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids","null","Movie theater chain known for presenting 3D films on a giant screen, including blockbusters."
"1654735275-440","https://www.google.com/maps/place/Brown+Chicken+Brown+Cow/@37.0514143,-76.4074756,13.14z/data=!4m9!1m2!2m1!1sfood+in+hampton+va!3m5!1s0x89ba84b779752545:0x3a4d5a91983eeec8!8m2!3d37.0258616!4d-76.3437291!15sChJmb29kIGluIGhhbXB0b24gdmFaFCISZm9vZCBpbiBoYW1wdG9uIHZhkgEUaGFtYnVyZ2VyX3Jlc3RhdXJhbnQ","Brown Chicken Brown Cow","4.4","bchixbcow.com","13 E Queens Way, Hampton, VA 23669","null","null","https://lh5.googleusercontent.com/p/AF1QipPXHLN70UzOjvSvotcdTPFfbpH-NOWQYGj9-5WP=w408-h544-k-no","null"
"1654735285-441","https://www.google.com/maps/place/Buckroe+Beach+and+Park/@37.0425766,-76.5223588,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+hampton+va!3m6!1s0x89ba856d765e21a9:0x75af40e218f38ca7!8m2!3d37.0402512!4d-76.2908049!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBBHBhcmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkhORXhYUlVaQkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Recreational beach park with kayak/paddleboat rentals, a playground, stage pavilion & picnic sites."
"1654735347-447","https://www.google.com/maps/place/Air+Power+Park/@37.0425766,-76.5223588,11z/data=!4m10!1m2!2m1!1sthings+to+do+in+hampton+va!3m6!1s0x89ba8361b3363537:0x99c87084c253ebcc!8m2!3d37.0433511!4d-76.3663101!10e1!15sChp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YVocIhp0aGluZ3MgdG8gZG8gaW4gaGFtcHRvbiB2YZIBBHBhcmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlja3N5Tm5ablJSQUI","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Park featuring jets, missiles & rockets, plus a playground & a museum with model aircraft."
