web-scraper-order,web-scraper-start-url,name,rating,website,location,wheelchair,family,image_link-src,description
"1654734369-405","https://www.google.com/maps/place/Maymont/@37.5444272,-77.542859,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+richmond+va!3m6!1s0x89b113d90ddfc423:0x4318c1b884a177c4!8m2!3d37.5341784!4d-77.474571!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFaHSIbdGhpbmdzIHRvIGRvIGluIHJpY2htb25kIHZhkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaGNEa3laamxuUlJBQg","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom","Amenities    Gender-neutral restroom   Good for kids","null","A 19th-century estate hosting events & tours of its Gilded Age mansion, gardens & wildlife center."
"1654734390-407","https://www.google.com/maps/place/Science+Museum+of+Virginia/@37.5444272,-77.542859,12z/data=!3m1!5s0x89b11154b8ea3cab:0x50420502428c409d!4m10!1m2!2m1!1sthings+to+do+in+richmond+va!3m6!1s0x89b11154c7e6d8b3:0x915e0980d3781355!8m2!3d37.5610827!4d-77.4657929!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFaHSIbdGhpbmdzIHRvIGRvIGluIHJpY2htb25kIHZhkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkphblppY1hCUlJSQUI","null","null","null","null","Accessibility    Wheelchair accessible elevator   Wheelchair accessible entrance   Wheelchair accessible parking lot   Wheelchair accessible restroom   Wheelchair rental","Amenities    Good for kids   Restroom   Restaurant","null","Kid-focused, hands-on exhibits about animals, the human body, the cosmos & the environment."
"1654734359-404","https://www.google.com/maps/place/Agecroft+Hall+%26+Gardens/@37.5444272,-77.542859,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+richmond+va!3m5!1s0x89b1139a690602ad:0x559fd71763c464e8!8m2!3d37.5530231!4d-77.5051983!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFaHSIbdGhpbmdzIHRvIGRvIGluIHJpY2htb25kIHZhkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YVUxUFdYUkJSUkFC","Agecroft Hall & Gardens","4.6","agecrofthall.com","4305 Sulgrave Rd, Richmond, VA 23221","null","null","https://lh5.googleusercontent.com/p/AF1QipN0x9K1NEjbQOOZpvjVp2aTB-E39ieSNxv_4XXW=w408-h306-k-no","null"
"1654734318-400","https://www.google.com/maps/place/Mama+J's+Kitchen/@37.5574181,-77.4963513,13z/data=!4m9!1m2!2m1!1sfood+in+richmond+va!3m5!1s0x89b1113a4d219dc3:0xec36c134b47ba4a6!8m2!3d37.5464704!4d-77.4396196!15sChNmb29kIGluIHJpY2htb25kIHZhWhUiE2Zvb2QgaW4gcmljaG1vbmQgdmGSARZzb3V0aGVybl91c19yZXN0YXVyYW50","Mama J's Kitchen","4.5","mamajskitchen.com","415 N 1st St, Richmond, VA 23219","null","null","https://lh5.googleusercontent.com/p/AF1QipPaHUbE3EQ5E6PteCx47Yo8S_jWtHxm7gWcBjA2=w437-h240-k-no","null"
"1654734348-403","https://www.google.com/maps/place/Agecroft+Hall+%26+Gardens/@37.5530231,-77.645274,12z/data=!4m10!1m2!2m1!1sthings+to+do+in+richmond+va!3m6!1s0x89b1139a690602ad:0x559fd71763c464e8!8m2!3d37.5530231!4d-77.5051983!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFaHSIbdGhpbmdzIHRvIGRvIGluIHJpY2htb25kIHZhkgESdG91cmlzdF9hdHRyYWN0aW9umgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU15YVUxUFdYUkJSUkFC","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Lavish Tudor mansion built in 16th-century England & moved here in the 1920s, now open for tours."
"1654734338-402","https://www.google.com/maps/place/Lewis+Ginter+Botanical+Garden/@37.5530231,-77.645274,12z/data=!4m10!1m3!2m2!1sthings+to+do+in+richmond+va!6e1!3m5!1s0x89b115d8ae72e02f:0x48cfaecff31c41b2!8m2!3d37.6211866!4d-77.4709142!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFIm7_OBFodIht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFiCQnnP3KUwzlSRpIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRkMlZIZGxkUkVBRQ","Lewis Ginter Botanical Garden","4.8","lewisginter.org","1800 Lakeside Ave, Henrico, VA 23228","null","null","https://lh5.googleusercontent.com/p/AF1QipOsTOyEZW1spRyKgk5r4uBqmwoHGvBCXemR1pxF=w408-h272-k-no","null"
"1654734400-408","https://www.google.com/maps/place/Science+Museum+of+Virginia/@37.5444272,-77.542859,12z/data=!3m1!5s0x89b11154b8ea3cab:0x50420502428c409d!4m9!1m2!2m1!1sthings+to+do+in+richmond+va!3m5!1s0x89b11154c7e6d8b3:0x915e0980d3781355!8m2!3d37.5610827!4d-77.4657929!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFaHSIbdGhpbmdzIHRvIGRvIGluIHJpY2htb25kIHZhkgEOc2NpZW5jZV9tdXNldW2aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkphblppY1hCUlJSQUI","Science Museum of Virginia","4.7","smv.org","2500 W Broad St, Richmond, VA 23220","null","null","https://lh5.googleusercontent.com/p/AF1QipNJ1siFVqJM-JG-728p7ElmHJd7xMIEhKHnNloI=w408-h270-k-no","null"
"1654734328-401","https://www.google.com/maps/place/Lewis+Ginter+Botanical+Garden/@37.6211866,-77.6109899,12z/data=!4m11!1m3!2m2!1sthings+to+do+in+richmond+va!6e1!3m6!1s0x89b115d8ae72e02f:0x48cfaecff31c41b2!8m2!3d37.6211866!4d-77.4709142!10e1!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFIm7_OBFodIht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFiCQnnP3KUwzlSRpIBEGJvdGFuaWNhbF9nYXJkZW6aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRkMlZIZGxkUkVBRQ","null","null","null","null","Accessibility    Wheelchair accessible entrance   Wheelchair accessible parking lot","Amenities    Good for kids","null","Year-round locale with 50 acres of themed gardens, dining options & a classical domed conservatory."
"1654734307-399","https://www.google.com/maps/place/Mama+J's+Kitchen/@37.5574181,-77.4963513,13z/data=!4m10!1m2!2m1!1sfood+in+richmond+va!3m6!1s0x89b1113a4d219dc3:0xec36c134b47ba4a6!8m2!3d37.5464704!4d-77.4396196!10e1!15sChNmb29kIGluIHJpY2htb25kIHZhWhUiE2Zvb2QgaW4gcmljaG1vbmQgdmGSARZzb3V0aGVybl91c19yZXN0YXVyYW50","null","null","null","null","Accessibility    Wheelchair accessible entrance","Amenities    Good for kids   High chairs","null","Southern & soul food with a full bar are offered in a casual, modern cafe setting with a chill vibe."
"1654734379-406","https://www.google.com/maps/place/Maymont/@37.5444272,-77.542859,12z/data=!4m9!1m2!2m1!1sthings+to+do+in+richmond+va!3m5!1s0x89b113d90ddfc423:0x4318c1b884a177c4!8m2!3d37.5341784!4d-77.474571!15sCht0aGluZ3MgdG8gZG8gaW4gcmljaG1vbmQgdmFaHSIbdGhpbmdzIHRvIGRvIGluIHJpY2htb25kIHZhkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaGNEa3laamxuUlJBQg","Maymont","4.8","maymont.org","1700 Hampton St, Richmond, VA 23220","null","null","https://lh5.googleusercontent.com/p/AF1QipMH7K2ULnvcQBHJXVzgCURiulqWA5MBVQ9EjD9f=w408-h306-k-no","null"
